match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
23b381a6,Viktoria Plzeň,Tomáš Chorý,15,CZE,FW,27-259,45,0,0,0,0,2,1,0,0,16,0,0,1,0.2,0.2,0.0,1,0,5,8,62.5,0,6,0,1,0
23b381a6,Viktoria Plzeň,Jan Kliment,9,CZE,FW,29-041,45,1,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,2,9,0,0,0
23b381a6,Viktoria Plzeň,Jhon Mosquera,18,COL,LW,32-157,90,0,1,0,0,3,1,1,0,51,3,2,0,0.2,0.2,0.1,4,1,19,33,57.6,1,23,2,3,0
23b381a6,Viktoria Plzeň,Jan Kopic,10,CZE,RW,32-130,24,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,4,2,0,0
23b381a6,Viktoria Plzeň,Erik Jirka,77,SVK,RW,25-023,66,0,0,0,0,3,0,0,0,28,1,0,0,0.2,0.2,0.0,4,1,14,21,66.7,4,14,0,0,0
23b381a6,Viktoria Plzeň,Adam Vlkanova,88,CZE,AM,28-038,80,1,0,0,0,2,1,0,0,40,1,0,0,0.1,0.1,0.0,0,0,23,30,76.7,2,15,0,2,0
23b381a6,Viktoria Plzeň,Václav Pilař,6,CZE,AM,33-364,10,0,0,0,0,2,0,0,0,11,0,0,0,0.1,0.1,0.0,1,0,7,8,87.5,1,5,0,0,0
23b381a6,Viktoria Plzeň,Pavel Bucha,20,CZE,DM,24-215,90,0,0,0,0,0,0,0,0,52,2,1,2,0.0,0.0,0.4,2,0,35,40,87.5,5,28,2,2,1
23b381a6,Viktoria Plzeň,Lukáš Kalvach,23,CZE,DM,27-085,90,0,0,0,0,1,1,0,0,62,3,2,1,0.0,0.0,0.1,4,0,34,51,66.7,4,23,0,0,0
23b381a6,Viktoria Plzeň,Václav Jemelka,21,CZE,LB,27-111,45,0,0,0,0,0,0,0,0,20,3,0,0,0.0,0.0,0.2,1,0,11,16,68.8,0,4,0,0,0
23b381a6,Viktoria Plzeň,Luděk Pernica,4,CZE,LB,32-118,45,0,0,0,0,1,1,0,0,17,0,0,1,0.3,0.3,0.0,0,0,8,11,72.7,2,3,0,0,0
23b381a6,Viktoria Plzeň,Mohamed Tijani,3,BEN,CB,25-094,90,0,0,0,0,0,0,0,0,44,0,2,1,0.0,0.0,0.0,0,0,32,39,82.1,1,22,0,0,0
23b381a6,Viktoria Plzeň,Lukáš Hejda,2,CZE,CB,32-217,90,0,0,0,0,0,0,0,0,22,3,1,0,0.0,0.0,0.0,0,0,15,18,83.3,0,11,1,0,0
23b381a6,Viktoria Plzeň,Milan Havel,24,CZE,RB,28-066,45,0,0,0,0,0,0,0,0,20,2,1,0,0.0,0.0,0.0,1,0,9,12,75.0,1,7,1,0,0
23b381a6,Viktoria Plzeň,Libor Holík,44,CZE,RB,24-153,45,0,1,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.1,2,2,11,18,61.1,0,9,1,1,0
23b381a6,Viktoria Plzeň,Jindřich Staněk,36,CZE,GK,26-168,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,18,29,62.1,0,14,0,0,0
23b381a6,Bayern Munich,Thomas Müller,25,GER,FW,33-029,27,1,1,0,0,1,1,0,0,11,0,0,0,0.4,0.4,0.0,0,0,5,9,55.6,1,9,0,0,0
23b381a6,Bayern Munich,Mathys Tel,39,FRA,"FW,RW",17-168,63,0,0,0,0,3,1,0,0,29,0,1,3,0.4,0.4,0.1,3,0,17,20,85.0,0,21,3,1,0
23b381a6,Bayern Munich,Sadio Mané,17,SEN,"LW,AM",30-185,90,1,0,0,0,2,1,0,0,52,0,0,0,0.3,0.3,0.4,6,1,39,46,84.8,6,41,7,1,1
23b381a6,Bayern Munich,Kingsley Coman,11,FRA,RW,26-121,45,0,1,0,0,1,1,0,0,40,1,0,2,0.1,0.1,0.4,2,2,26,34,76.5,7,23,1,0,0
23b381a6,Bayern Munich,Eric Maxim Choupo-Moting,13,CMR,"FW,AM",33-203,45,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,1,0,12,15,80.0,1,16,2,0,0
23b381a6,Bayern Munich,Leroy Sané,10,GER,"AM,RW",26-274,69,0,1,0,0,2,0,0,0,50,1,0,1,0.2,0.2,0.9,5,2,39,44,88.6,7,35,3,2,0
23b381a6,Bayern Munich,Marcel Sabitzer,18,AUT,RM,28-209,21,0,0,0,0,0,0,1,0,11,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,0,7,0,0,0
23b381a6,Bayern Munich,Leon Goretzka,8,GER,DM,27-248,55,2,1,0,0,3,3,0,0,42,0,0,0,1.1,1.1,0.3,1,1,27,36,75.0,2,25,0,1,0
23b381a6,Bayern Munich,Ryan Gravenberch,38,NED,"LM,DM",20-149,35,0,0,0,0,2,1,0,0,22,1,0,0,0.4,0.4,0.0,0,0,10,14,71.4,1,11,1,0,0
23b381a6,Bayern Munich,Joshua Kimmich,6,GER,"DM,CM",27-246,90,0,0,0,0,1,0,0,0,101,3,2,0,0.0,0.0,0.1,2,1,83,93,89.2,10,68,3,0,0
23b381a6,Bayern Munich,Josip Stanišić,44,CRO,"LB,CB",22-193,90,0,0,0,0,0,0,0,0,79,1,2,2,0.0,0.0,0.0,2,0,66,71,93.0,8,53,3,1,0
