match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4626a08d,Viktoria Plzeň,Jhon Mosquera,18,COL,"LW,FW,LM",32-128,90,0,0,0,0,2,0,0,0,28,1,0,1,0.1,0.1,0.0,0,0,11,18,61.1,1,13,3,2,1
4626a08d,Viktoria Plzeň,Tomáš Chorý,15,CZE,FW,27-230,71,0,0,0,0,1,0,0,0,20,0,0,2,0.0,0.0,0.0,2,0,5,9,55.6,0,10,0,1,0
4626a08d,Viktoria Plzeň,Fortune Bassey,90,NGA,FW,23-342,19,0,0,0,0,2,1,0,0,7,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,6,1,1,0
4626a08d,Viktoria Plzeň,Adam Vlkanova,88,CZE,"AM,CM",28-009,83,0,0,0,0,2,0,0,0,37,1,0,0,0.0,0.0,0.0,5,0,19,24,79.2,4,18,2,3,2
4626a08d,Viktoria Plzeň,Aleš Čermák,25,CZE,CM,27-347,7,0,0,0,0,0,0,0,0,17,0,2,1,0.0,0.0,0.0,0,0,11,13,84.6,2,11,0,0,0
4626a08d,Viktoria Plzeň,Lukáš Kalvach,23,CZE,"DM,CM",27-056,75,0,0,0,0,0,0,1,0,45,1,0,2,0.0,0.0,0.0,0,0,29,40,72.5,5,16,0,0,0
4626a08d,Viktoria Plzeň,Modou Biramé Ndiaye,99,SEN,CM,25-319,15,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,2,0,0,0
4626a08d,Viktoria Plzeň,Pavel Bucha,20,CZE,"DM,CM",24-186,60,0,0,0,0,0,0,0,1,24,1,0,0,0.0,0.0,0.0,2,0,17,19,89.5,4,11,0,0,0
4626a08d,Viktoria Plzeň,Jan Sýkora,7,CZE,"RW,WB",28-258,71,0,0,0,0,1,0,1,0,19,0,2,0,0.1,0.1,0.0,2,0,8,11,72.7,2,11,3,2,1
4626a08d,Viktoria Plzeň,Erik Jirka,77,SVK,"RM,RW",24-359,19,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.1,0,0,5,8,62.5,0,4,0,1,0
4626a08d,Viktoria Plzeň,Milan Havel,24,CZE,"RB,WB",28-037,75,0,0,0,0,0,0,0,0,34,3,0,2,0.0,0.0,0.1,3,0,19,25,76.0,0,10,2,1,1
4626a08d,Viktoria Plzeň,Libor Holík,44,CZE,RB,24-124,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,3,0,1,0
4626a08d,Viktoria Plzeň,Václav Jemelka,21,CZE,"LB,CB",27-082,90,0,0,0,0,0,0,1,0,41,2,3,4,0.0,0.0,0.0,0,0,21,27,77.8,4,14,3,0,0
4626a08d,Viktoria Plzeň,Lukáš Hejda,2,CZE,CB,32-188,90,0,0,0,0,0,0,0,0,37,3,2,2,0.0,0.0,0.0,1,0,25,26,96.2,0,16,0,0,0
4626a08d,Viktoria Plzeň,Luděk Pernica,4,CZE,CB,32-089,90,0,0,0,0,0,0,0,0,42,0,2,2,0.0,0.0,0.0,0,0,28,30,93.3,3,15,0,0,0
4626a08d,Viktoria Plzeň,Jindřich Staněk,36,CZE,GK,26-139,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,17,28,60.7,0,15,0,0,0
4626a08d,Inter,Joaquín Correa,11,ARG,FW,28-031,71,0,1,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.1,3,2,25,27,92.6,4,23,2,2,1
4626a08d,Inter,Lautaro Martínez,10,ARG,FW,25-022,19,0,0,0,0,2,0,0,0,13,0,0,0,0.1,0.1,0.0,0,0,8,9,88.9,1,7,1,0,0
4626a08d,Inter,Edin Džeko,9,BIH,FW,36-180,90,1,1,0,0,3,3,0,0,42,0,0,0,0.3,0.3,0.5,4,1,24,33,72.7,3,23,4,3,0
