match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
9b5a5b22,Manchester City,Erling Haaland,9,NOR,FW,22-264,90,1,1,0,0,5,2,0,0,27,0,1,1,0.8,0.8,0.1,2,1,12,15,80.0,1,16,2,0,0
9b5a5b22,Manchester City,Jack Grealish,10,ENG,LW,27-213,90,0,0,0,0,1,0,0,0,56,0,0,1,0.1,0.1,0.2,4,1,37,44,84.1,1,37,3,6,3
9b5a5b22,Manchester City,Bernardo Silva,20,POR,RW,28-244,90,1,1,0,0,1,1,1,0,48,8,1,1,0.1,0.1,0.1,6,1,29,35,82.9,5,28,2,7,3
9b5a5b22,Manchester City,İlkay Gündoğan,8,GER,CM,32-169,90,0,0,0,0,2,1,0,0,43,1,0,2,0.4,0.4,0.1,5,0,29,36,80.6,4,26,1,1,0
9b5a5b22,Manchester City,Kevin De Bruyne,17,BEL,CM,31-287,67,0,0,0,0,0,0,0,0,44,2,0,0,0.0,0.0,0.4,3,0,24,37,64.9,4,22,2,1,0
9b5a5b22,Manchester City,Julián Álvarez,19,ARG,CM,23-070,23,0,0,0,0,2,1,0,0,15,1,0,0,0.1,0.1,0.0,2,1,6,10,60.0,1,9,0,0,0
9b5a5b22,Manchester City,Rodri,16,ESP,DM,26-293,90,1,0,0,0,2,2,0,0,73,4,1,1,0.1,0.1,0.0,1,1,50,61,82.0,5,44,1,3,3
9b5a5b22,Manchester City,John Stones,5,ENG,DM,28-318,90,0,1,0,0,1,0,0,0,38,0,0,0,0.0,0.0,0.5,2,1,28,35,80.0,1,23,0,0,0
9b5a5b22,Manchester City,Nathan Aké,6,NED,LB,28-052,90,0,0,0,0,1,1,0,0,58,3,1,1,0.0,0.0,0.0,2,0,38,46,82.6,2,27,2,0,0
9b5a5b22,Manchester City,Rúben Dias,3,POR,CB,25-332,90,0,0,0,0,2,1,0,0,76,3,0,3,0.3,0.3,0.0,0,0,55,63,87.3,1,49,1,0,0
9b5a5b22,Manchester City,Manuel Akanji,25,SUI,RB,27-266,90,0,0,0,0,0,0,0,0,68,7,2,1,0.0,0.0,0.0,2,0,45,59,76.3,8,36,3,0,0
9b5a5b22,Manchester City,Ederson,31,BRA,GK,29-237,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,20,27,74.1,0,19,0,0,0
9b5a5b22,Bayern Munich,Serge Gnabry,7,GER,"FW,LW",27-271,79,0,0,0,0,0,0,0,0,39,3,0,1,0.0,0.0,0.0,1,0,19,26,73.1,2,24,1,3,0
9b5a5b22,Bayern Munich,Thomas Müller,25,GER,LW,33-210,11,0,0,0,0,0,0,0,0,7,0,0,2,0.0,0.0,0.0,0,0,4,6,66.7,0,4,0,0,0
9b5a5b22,Bayern Munich,Leroy Sané,10,GER,"LW,AM",27-090,90,0,0,0,0,5,4,0,0,49,0,1,2,0.2,0.2,0.3,5,0,29,34,85.3,4,31,5,5,3
9b5a5b22,Bayern Munich,Kingsley Coman,11,FRA,RW,26-302,90,0,0,0,0,1,0,0,0,42,0,0,3,0.1,0.1,0.3,3,0,24,29,82.8,3,33,6,10,4
9b5a5b22,Bayern Munich,Jamal Musiala,42,GER,AM,20-044,68,0,0,0,0,1,0,0,0,38,0,0,1,0.2,0.2,0.1,4,0,19,25,76.0,2,29,1,7,3
9b5a5b22,Bayern Munich,Sadio Mané,17,SEN,FW,31-001,22,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,2,1,0,0
9b5a5b22,Bayern Munich,Leon Goretzka,8,GER,DM,28-064,90,0,0,0,0,0,0,0,0,53,2,4,3,0.0,0.0,0.0,2,0,39,44,88.6,5,22,1,0,0
9b5a5b22,Bayern Munich,Joshua Kimmich,6,GER,DM,28-062,90,0,0,0,0,2,0,0,0,82,2,2,4,0.1,0.1,0.1,2,0,61,68,89.7,10,52,1,0,0
9b5a5b22,Bayern Munich,Alphonso Davies,19,CAN,LB,22-160,79,0,0,0,0,1,0,1,0,80,2,1,1,0.0,0.0,0.0,1,0,58,60,96.7,6,42,3,7,3
9b5a5b22,Bayern Munich,João Cancelo,22,POR,LB,28-319,11,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,9,1,0,0
9b5a5b22,Bayern Munich,Matthijs de Ligt,4,NED,CB,23-242,90,0,0,0,0,1,0,0,0,84,0,1,0,0.1,0.1,0.0,2,0,71,77,92.2,4,65,1,0,0
9b5a5b22,Bayern Munich,Dayot Upamecano,2,FRA,CB,24-166,90,0,0,0,0,0,0,0,0,102,0,0,0,0.0,0.0,0.0,0,0,83,97,85.6,1,79,1,0,0
9b5a5b22,Bayern Munich,Benjamin Pavard,5,FRA,RB,27-014,90,0,0,0,0,1,0,1,0,79,1,3,1,0.2,0.2,0.0,2,0,53,67,79.1,7,34,1,1,1
9b5a5b22,Bayern Munich,Yann Sommer,27,SUI,GK,34-115,90,0,0,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.0,0,0,36,41,87.8,0,29,0,0,0
