match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a1157ba5,Paris S-G,Kylian Mbappé,7,FRA,FW,23-260,90,2,0,0,0,6,3,0,0,53,0,0,0,1.2,1.2,0.0,5,2,36,43,83.7,3,50,3,3,1
a1157ba5,Paris S-G,Neymar,10,BRA,LW,30-213,90,0,1,0,0,4,2,0,0,90,1,0,0,0.3,0.3,0.4,7,1,70,78,89.7,7,82,5,4,2
a1157ba5,Paris S-G,Lionel Messi,30,ARG,RW,35-074,83,0,0,0,0,2,1,0,0,79,0,1,0,0.1,0.1,0.6,5,0,66,73,90.4,7,76,6,2,0
a1157ba5,Paris S-G,Carlos Soler,28,ESP,RW,25-247,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,1,4,0,0,0
a1157ba5,Paris S-G,Nuno Mendes,25,POR,LM,20-079,90,0,0,0,0,0,0,0,0,60,1,0,2,0.0,0.0,0.1,2,0,38,47,80.9,0,38,4,4,1
a1157ba5,Paris S-G,Vitinha,17,POR,CM,22-205,77,0,0,0,0,1,0,0,0,84,2,2,1,0.0,0.0,0.1,1,0,71,76,93.4,3,73,2,1,0
a1157ba5,Paris S-G,Danilo Pereira,15,POR,CM,30-362,13,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,10,10,100.0,1,11,1,1,0
a1157ba5,Paris S-G,Marco Verratti,6,ITA,CM,29-305,86,0,0,0,0,2,0,1,0,122,6,2,2,0.1,0.1,0.0,4,0,109,112,97.3,3,105,3,3,2
a1157ba5,Paris S-G,Renato Sanches,18,POR,CM,25-019,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,0,0
a1157ba5,Paris S-G,Achraf Hakimi,2,MAR,RM,23-306,77,0,1,0,0,0,0,0,0,42,0,1,0,0.0,0.0,0.2,1,1,37,39,94.9,1,39,1,1,0
a1157ba5,Paris S-G,Nordi Mukiele,26,FRA,RM,24-309,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,5,0,0,0
a1157ba5,Paris S-G,Presnel Kimpembe,3,FRA,CB,27-024,90,0,0,0,0,0,0,0,0,67,1,1,1,0.0,0.0,0.0,0,0,59,63,93.7,0,52,1,0,0
a1157ba5,Paris S-G,Marquinhos,5,BRA,CB,28-115,90,0,0,0,0,0,0,0,0,36,0,2,0,0.0,0.0,0.0,0,0,33,34,97.1,1,30,0,0,0
a1157ba5,Paris S-G,Sergio Ramos,4,ESP,CB,36-160,90,0,0,0,0,0,0,1,0,79,1,2,0,0.0,0.0,0.0,0,0,69,72,95.8,4,69,0,0,0
a1157ba5,Paris S-G,Gianluigi Donnarumma,99,ITA,GK,23-193,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,0,13,0,0,0
a1157ba5,Juventus,Arkadiusz Milik,14,POL,FW,28-190,67,0,0,0,0,1,1,0,0,20,1,0,1,0.1,0.1,0.1,3,0,14,16,87.5,1,16,2,0,0
a1157ba5,Juventus,Manuel Locatelli,5,ITA,"FW,CM",24-241,23,0,0,0,0,2,0,0,0,25,0,1,0,0.2,0.2,0.0,0,0,16,21,76.2,3,20,0,0,0
a1157ba5,Juventus,Dušan Vlahović,9,SRB,FW,22-221,90,0,0,0,0,3,1,0,0,20,0,0,0,0.3,0.3,0.0,2,0,14,14,100.0,3,15,1,0,0
a1157ba5,Juventus,Fabio Miretti,20,ITA,CM,19-034,45,0,0,0,0,0,0,1,0,20,0,0,0,0.0,0.0,0.0,0,0,14,20,70.0,1,19,1,1,1
a1157ba5,Juventus,Weston McKennie,8,USA,CM,24-009,45,1,0,0,0,2,1,0,0,28,2,0,0,0.2,0.2,0.0,1,0,19,21,90.5,2,22,1,1,1
a1157ba5,Juventus,Leandro Paredes,32,ARG,CM,28-069,90,0,0,0,0,0,0,0,0,100,2,1,2,0.0,0.0,0.0,4,1,82,86,95.3,7,84,2,3,1
a1157ba5,Juventus,Adrien Rabiot,25,FRA,CM,27-156,86,0,0,0,0,1,0,0,0,52,2,0,2,0.0,0.0,0.1,3,0,39,42,92.9,4,49,4,2,1
a1157ba5,Juventus,Moise Kean,18,ITA,FW,22-190,4,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,1,1,1
a1157ba5,Juventus,Filip Kostić,17,SRB,WB,29-309,90,0,1,0,0,3,1,0,0,44,3,0,0,0.2,0.2,0.3,3,1,24,34,70.6,1,29,3,1,0
a1157ba5,Juventus,Juan Cuadrado,11,COL,WB,34-103,73,0,0,0,0,0,0,0,0,56,1,2,2,0.0,0.0,0.1,5,0,39,47,83.0,2,43,1,4,2
a1157ba5,Juventus,Mattia De Sciglio,2,ITA,CB,29-321,17,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,7,0,0,0
a1157ba5,Juventus,Danilo,6,BRA,"CB,WB",31-053,90,0,0,0,0,0,0,1,0,63,2,1,2,0.0,0.0,0.0,0,0,49,56,87.5,4,51,2,0,0
a1157ba5,Juventus,Leonardo Bonucci,19,ITA,CB,35-128,90,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,0,0,55,61,90.2,2,53,0,0,0
a1157ba5,Juventus,Gleison Bremer,3,BRA,CB,25-172,90,0,0,0,0,1,0,1,0,58,0,3,0,0.0,0.0,0.0,0,0,49,51,96.1,0,48,0,0,0
a1157ba5,Juventus,Mattia Perin,36,ITA,GK,29-300,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,24,25,96.0,0,17,0,0,0
