match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d72e39b0,Tottenham,Harry Kane,10,ENG,FW,29-090,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.1,5,0,13,26,50.0,1,18,1,2,1
d72e39b0,Tottenham,Son Heung-min,7,KOR,AM,30-110,90,0,0,0,0,4,3,0,0,56,4,0,0,0.2,0.2,0.4,4,0,25,42,59.5,3,28,7,2,0
d72e39b0,Tottenham,Lucas Moura,27,BRA,"AM,WB",30-074,81,0,0,0,0,0,0,0,0,50,0,0,2,0.0,0.0,0.2,4,0,26,42,61.9,3,25,3,5,1
d72e39b0,Tottenham,Emerson,12,BRA,WB,23-285,9,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,10,40.0,1,4,1,0,0
d72e39b0,Tottenham,Rodrigo Bentancur,30,URU,CM,25-123,90,1,0,0,0,3,1,0,0,86,4,0,0,0.3,0.3,0.0,4,0,64,76,84.2,16,56,4,1,1
d72e39b0,Tottenham,Pierre Højbjerg,5,DEN,CM,27-082,90,0,0,0,0,1,0,0,0,88,3,1,0,0.0,0.0,0.0,3,0,71,83,85.5,11,43,0,4,3
d72e39b0,Tottenham,Ivan Perišić,14,CRO,WB,33-266,90,0,1,0,0,0,0,0,0,68,1,0,0,0.0,0.0,0.2,5,1,44,64,68.8,9,33,5,0,0
d72e39b0,Tottenham,Matt Doherty,2,IRL,WB,30-283,70,0,0,0,0,3,1,0,0,45,0,2,2,0.1,0.1,0.0,2,0,26,32,81.3,4,20,1,0,0
d72e39b0,Tottenham,Bryan Gil,11,ESP,AM,21-257,20,0,0,0,0,1,0,0,0,14,0,1,0,0.0,0.0,0.2,4,1,8,11,72.7,3,10,1,0,0
d72e39b0,Tottenham,Ben Davies,33,WAL,CB,29-185,81,0,0,0,0,1,0,0,0,66,2,1,0,0.0,0.0,0.0,1,0,49,58,84.5,8,43,3,0,0
d72e39b0,Tottenham,Clément Lenglet,34,FRA,CB,27-131,9,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.4,1,0,10,10,100.0,2,6,0,0,0
d72e39b0,Tottenham,Eric Dier,15,ENG,CB,28-284,90,0,0,0,0,4,1,0,0,82,1,0,0,0.9,0.9,0.0,1,0,66,76,86.8,3,50,0,0,0
d72e39b0,Tottenham,Cristian Romero,17,ARG,CB,24-182,90,0,0,0,0,1,0,1,0,72,5,2,0,0.1,0.1,0.0,1,0,63,66,95.5,5,45,2,1,0
d72e39b0,Tottenham,Hugo Lloris,1,FRA,GK,35-304,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,23,24,95.8,0,13,0,0,0
d72e39b0,Sporting CP,Paulinho,20,POR,FW,29-351,74,0,0,0,0,1,0,0,0,30,0,0,0,0.1,0.1,0.0,1,1,20,26,76.9,4,15,1,0,0
d72e39b0,Sporting CP,Jerry St. Juste,3,NED,CB,26-007,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0
d72e39b0,Sporting CP,Francisco Trincão,17,POR,AM,22-301,70,0,0,0,0,1,0,0,0,34,0,1,1,0.1,0.1,0.0,1,0,25,27,92.6,1,26,3,1,1
d72e39b0,Sporting CP,Arthur,33,BRA,"FW,AM",24-115,20,0,0,0,0,0,0,0,0,13,0,0,2,0.0,0.0,0.3,3,0,5,7,71.4,2,4,1,1,0
d72e39b0,Sporting CP,Marcus Edwards,10,ENG,AM,23-327,70,1,0,0,0,1,1,0,0,33,1,0,0,0.0,0.0,0.0,3,1,17,22,77.3,3,20,10,7,2
d72e39b0,Sporting CP,Abdul Fatawu Issahaku,18,GHA,AM,18-232,20,0,0,0,0,1,1,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,1,0
d72e39b0,Sporting CP,Hidemasa Morita,5,JPN,CM,27-169,60,0,0,0,0,0,0,0,0,22,0,1,1,0.0,0.0,0.0,0,0,15,18,83.3,2,13,0,0,0
d72e39b0,Sporting CP,Mateus Fernandes,82,POR,CM,18-108,30,0,0,0,0,0,0,0,0,16,1,0,2,0.0,0.0,0.0,0,0,4,9,44.4,0,5,0,0,0
d72e39b0,Sporting CP,Manuel Ugarte Ribeiro,15,URU,CM,21-198,90,0,0,0,0,0,0,1,0,48,2,1,1,0.0,0.0,0.0,1,0,32,36,88.9,3,27,1,4,2
d72e39b0,Sporting CP,Nuno Santos,11,POR,WB,27-255,60,0,0,0,0,0,0,0,0,37,3,0,1,0.0,0.0,0.2,3,0,26,31,83.9,2,16,0,0,0
d72e39b0,Sporting CP,Flávio Nazinho,71,POR,"AM,WB",19-098,30,0,0,0,0,2,1,0,0,10,1,1,0,0.4,0.4,0.0,0,0,1,4,25.0,0,4,0,0,0
d72e39b0,Sporting CP,Pedro Porro,24,ESP,WB,23-043,90,0,0,0,0,2,1,0,0,62,0,2,2,0.0,0.0,0.1,4,0,28,42,66.7,1,34,3,5,2
d72e39b0,Sporting CP,Matheus Reis,2,BRA,"CB,WB",27-250,90,0,0,0,0,0,0,0,0,78,2,0,0,0.0,0.0,0.0,0,0,60,69,87.0,1,51,0,0,0
d72e39b0,Sporting CP,Sebastián Coates,4,URU,CB,32-019,90,0,0,0,0,2,0,1,0,55,1,1,2,0.1,0.1,0.0,0,0,38,43,88.4,1,34,0,0,0
d72e39b0,Sporting CP,Gonçalo Inácio,25,POR,CB,21-062,90,0,0,0,0,0,0,0,0,54,0,2,0,0.0,0.0,0.0,0,0,38,42,90.5,1,34,0,0,0
d72e39b0,Sporting CP,Antonio Adán,1,ESP,GK,35-166,90,0,0,0,0,0,0,0,0,57,0,0,0,0.0,0.0,0.0,0,0,23,49,46.9,0,21,0,0,0
