match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0dfde02c,Ferencváros,Ryan Mmaee,8,MAR,FW,25-135,89,0,0,0,0,2,0,0,0,36,1,1,2,0.1,0.1,0.0,2,0,13,20,65.0,3,19,4,2,1
0dfde02c,Ferencváros,Nikolai Baden Frederiksen,25,DEN,FW,22-302,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
0dfde02c,Ferencváros,Kristoffer Zachariassen,16,NOR,"RB,LW",28-140,90,0,0,0,0,0,0,0,0,39,3,1,1,0.0,0.0,0.0,0,0,22,32,68.8,2,23,1,1,0
0dfde02c,Ferencváros,Adama Traoré,20,MLI,"LW,RW",27-284,90,0,0,0,0,1,0,0,0,56,1,1,0,0.1,0.1,0.0,1,0,35,44,79.5,4,43,3,6,4
0dfde02c,Ferencváros,Amer Gojak,14,BIH,AM,26-031,77,0,0,0,0,2,2,0,0,36,2,0,3,0.6,0.6,0.0,0,0,20,25,80.0,2,24,5,3,3
0dfde02c,Ferencváros,Balázs Manner,59,HUN,AM,17-324,13,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,1
0dfde02c,Ferencváros,Bálint Vécsei,19,HUN,DM,29-246,90,0,0,0,0,1,0,0,0,71,2,2,2,0.0,0.0,0.0,2,0,50,57,87.7,8,46,3,2,2
0dfde02c,Ferencváros,Anderson Esiti,13,NGA,DM,28-296,90,0,0,0,0,0,0,0,0,73,7,1,1,0.0,0.0,0.1,3,0,53,61,86.9,3,50,2,0,0
0dfde02c,Ferencváros,Eldar Ćivić,17,BIH,LB,26-292,90,0,0,0,0,1,0,0,0,91,1,5,1,0.1,0.1,0.1,2,0,59,78,75.6,9,57,9,1,0
0dfde02c,Ferencváros,Mats Knoester,4,NED,CB,24-117,90,0,0,0,0,0,0,0,0,88,2,3,0,0.0,0.0,0.0,1,0,63,76,82.9,2,63,0,0,0
0dfde02c,Ferencváros,Myenty Abena,22,SUR,CB,28-094,90,0,0,0,0,1,0,0,0,60,1,1,2,0.1,0.1,0.0,0,0,47,49,95.9,3,41,0,0,0
0dfde02c,Ferencváros,Henry Wingo,31,USA,RB,27-163,13,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,8,8,100.0,2,5,1,1,0
0dfde02c,Ferencváros,Marquinhos,50,BRA,RW,23-144,76,0,0,0,0,1,0,0,0,40,0,0,0,0.0,0.0,0.1,4,0,26,31,83.9,1,35,3,3,0
0dfde02c,Ferencváros,Krisztián Lisztes,76,HUN,RW,17-314,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
0dfde02c,Ferencváros,Dénes Dibusz,90,HUN,GK,32-120,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,17,21,81.0,0,16,0,1,1
0dfde02c,Leverkusen,Sardar Azmoun,9,IRN,FW,28-074,70,0,0,0,0,1,1,0,0,35,5,0,2,0.8,0.8,0.5,3,0,17,20,85.0,1,12,3,2,1
0dfde02c,Leverkusen,Amine Adli,21,MAR,LW,22-310,20,1,0,0,0,2,2,0,0,15,0,0,0,0.5,0.5,0.1,1,0,9,11,81.8,0,8,1,0,0
0dfde02c,Leverkusen,Florian Wirtz,27,GER,LW,19-317,70,0,0,0,0,1,1,0,0,72,1,0,1,0.1,0.1,0.3,7,0,50,65,76.9,8,27,2,4,1
0dfde02c,Leverkusen,Adam Hložek,23,CZE,FW,20-234,20,0,0,0,0,1,0,0,0,11,0,0,0,0.2,0.2,0.0,2,1,5,7,71.4,1,5,0,2,0
0dfde02c,Leverkusen,Moussa Diaby,19,FRA,RW,23-252,90,1,1,0,0,6,2,0,0,54,0,0,1,0.8,0.8,0.7,8,1,30,42,71.4,4,27,5,2,1
0dfde02c,Leverkusen,Mitchel Bakker,5,NED,LM,22-269,90,0,0,0,0,2,1,0,0,69,0,0,1,0.1,0.1,0.1,4,0,48,57,84.2,4,25,5,4,1
0dfde02c,Leverkusen,Robert Andrich,8,GER,CM,28-175,85,0,0,0,0,1,0,0,0,63,1,1,2,0.1,0.1,0.0,0,0,48,53,90.6,5,17,2,1,0
0dfde02c,Leverkusen,Kerem Demirbay,10,GER,CM,29-256,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0
