match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0f67bdaa,Sporting CP,Paulinho,20,POR,FW,30-120,75,1,0,0,0,2,1,0,0,31,0,1,0,0.6,0.6,0.0,0,0,13,21,61.9,0,14,1,1,0
0f67bdaa,Sporting CP,Youssef Chermiti,79,POR,FW,18-289,15,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,0,0,0
0f67bdaa,Sporting CP,Francisco Trincão,17,POR,AM,23-070,70,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,12,18,66.7,2,17,2,6,5
0f67bdaa,Sporting CP,Nuno Santos,11,POR,AM,28-024,20,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0
0f67bdaa,Sporting CP,Marcus Edwards,10,ENG,AM,24-096,88,0,1,0,0,1,1,0,0,31,1,1,0,0.0,0.0,1.1,6,1,17,20,85.0,0,20,2,6,2
0f67bdaa,Sporting CP,Abdul Fatawu Issahaku,18,GHA,AM,19-001,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,1,0
0f67bdaa,Sporting CP,Pedro Gonçalves,28,POR,CM,24-254,90,0,1,0,0,2,1,0,0,27,0,0,0,0.5,0.5,0.3,3,1,12,19,63.2,0,18,1,3,1
0f67bdaa,Sporting CP,Hidemasa Morita,5,JPN,CM,27-303,90,0,0,0,0,2,1,1,0,43,1,0,1,0.2,0.2,0.0,1,0,27,35,77.1,1,23,0,0,0
0f67bdaa,Sporting CP,Matheus Reis,2,BRA,WB,28-019,90,0,0,0,0,0,0,0,0,25,2,0,4,0.0,0.0,0.0,1,0,13,16,81.3,1,8,0,1,0
0f67bdaa,Sporting CP,Ricardo Esgaio,47,POR,WB,29-297,75,0,0,0,0,0,0,0,0,36,1,3,2,0.0,0.0,0.1,2,0,24,29,82.8,4,18,2,0,0
0f67bdaa,Sporting CP,Ousmane Diomande,26,CIV,CB,19-095,15,0,0,0,0,1,0,0,0,16,2,0,0,0.0,0.0,0.0,0,0,7,12,58.3,1,9,0,1,1
0f67bdaa,Sporting CP,Gonçalo Inácio,25,POR,CB,21-196,90,1,0,0,0,2,2,0,0,53,2,1,0,0.9,0.9,0.4,2,1,35,45,77.8,0,34,0,1,1
