match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
1d014b6c,Shakhtar,Lassina Franck Traoré,2,BFA,FW,22-056,62,0,0,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.0,0,0,8,11,72.7,0,11,0,1,0
1d014b6c,Shakhtar,Kevin Kelsy,18,VEN,FW,18-225,28,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.0,1,0,3,4,75.0,0,5,0,2,0
1d014b6c,Shakhtar,Dmytro Kryskiv,16,UKR,LM,22-154,62,0,0,0,0,0,0,0,0,24,2,0,1,0.0,0.0,0.0,0,0,17,17,100.0,0,14,0,2,0
1d014b6c,Shakhtar,Neven Đurasek,17,CRO,LM,24-206,28,0,0,0,0,0,0,0,0,15,2,1,0,0.0,0.0,0.0,0,0,9,11,81.8,0,8,0,1,1
1d014b6c,Shakhtar,Heorhiy Sudakov,8,UKR,CM,20-189,89,0,1,0,0,1,0,0,0,55,0,0,0,0.0,0.0,0.2,5,2,42,47,89.4,5,32,2,0,0
1d014b6c,Shakhtar,Ivan Petryak,34,UKR,CM,28-361,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
1d014b6c,Shakhtar,Artem Bondarenko,21,UKR,CM,22-200,89,0,0,0,0,0,0,0,0,56,2,1,4,0.0,0.0,0.0,0,0,40,45,88.9,2,33,1,0,0
1d014b6c,Shakhtar,Yehor Nazaryna,29,UKR,CM,25-242,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
1d014b6c,Shakhtar,Oleksandr Zubkov,11,UKR,RM,26-218,76,0,0,0,0,1,0,0,0,31,4,0,0,0.0,0.0,0.0,0,0,12,17,70.6,0,18,0,3,0
1d014b6c,Shakhtar,Maryan Shved,9,UKR,RM,25-236,14,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
1d014b6c,Shakhtar,Taras Stepanenko,6,UKR,DM,33-213,90,0,0,0,0,0,0,0,0,49,4,0,4,0.0,0.0,0.0,1,0,28,37,75.7,3,14,0,0,0
