match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2b8032a8,Fenerbahçe,Michy Batshuayi,23,BEL,FW,29-165,18,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,6,1,1,1
2b8032a8,Fenerbahçe,Joshua King,15,NOR,FW,31-060,65,0,0,0,0,3,0,0,0,22,2,1,0,0.2,0.2,0.1,1,0,8,13,61.5,1,8,1,2,0
2b8032a8,Fenerbahçe,João Pedro,20,ITA,AM,31-007,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
2b8032a8,Fenerbahçe,Enner Valencia,13,ECU,AM,33-132,90,1,0,1,1,3,1,0,0,35,0,0,1,1.0,0.2,0.0,1,0,18,23,78.3,1,21,4,5,4
2b8032a8,Fenerbahçe,Arda Güler,10,TUR,AM,18-019,83,0,0,0,0,2,0,0,0,81,5,0,1,0.0,0.0,0.1,6,1,58,67,86.6,10,47,2,12,7
2b8032a8,Fenerbahçe,Emre Mor,99,TUR,AM,25-235,7,0,0,0,0,1,0,0,0,11,2,0,0,0.0,0.0,0.0,2,0,5,5,100.0,0,6,1,3,1
2b8032a8,Fenerbahçe,Miha Zajc,26,SVN,CM,28-258,74,0,0,0,0,1,0,0,0,50,0,1,0,0.3,0.3,0.1,1,0,39,45,86.7,3,33,1,4,2
2b8032a8,Fenerbahçe,Mert Yandaş,8,TUR,CM,28-209,16,0,0,0,0,1,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,12,18,66.7,1,15,1,1,0
2b8032a8,Fenerbahçe,İsmail Yüksek,80,TUR,CM,24-049,90,0,0,0,0,1,1,1,0,81,3,3,1,0.0,0.0,0.1,5,0,58,64,90.6,7,46,2,7,4
2b8032a8,Fenerbahçe,Jayden Oosterwolde,24,NED,WB,21-324,90,0,0,0,0,0,0,0,0,49,3,0,2,0.0,0.0,0.4,2,0,30,41,73.2,2,19,1,1,1
2b8032a8,Fenerbahçe,Ferdi Kadioglu,7,TUR,WB,23-160,90,0,0,0,0,0,0,0,0,71,4,0,1,0.0,0.0,0.0,2,0,45,57,78.9,1,29,1,3,0
2b8032a8,Fenerbahçe,Attila Szalai,41,HUN,CB,25-055,90,0,0,0,0,0,0,0,0,67,0,0,1,0.0,0.0,0.0,2,0,62,65,95.4,10,36,4,0,0
2b8032a8,Fenerbahçe,Samet Akaydın,3,TUR,CB,29-003,90,0,0,0,0,1,0,0,0,97,1,1,0,0.1,0.1,0.0,1,0,72,83,86.7,1,53,1,0,0
2b8032a8,Fenerbahçe,Serdar Aziz,4,TUR,CB,32-144,83,0,0,0,0,0,0,1,0,89,4,0,1,0.0,0.0,0.0,0,0,69,77,89.6,1,33,0,0,0
2b8032a8,Fenerbahçe,Diego Rossi,9,URU,CB,25-011,7,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,0,1,0,0,0
2b8032a8,Fenerbahçe,Altay Bayındır,1,TUR,GK,24-336,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,15,19,78.9,0,10,0,0,0
2b8032a8,Sevilla,Youssef En-Nesyri,15,MAR,FW,25-288,58,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,1,1,0,0
2b8032a8,Sevilla,Érik Lamela,17,ARG,RM,31-012,32,0,0,0,0,1,1,0,0,18,2,0,1,0.0,0.0,0.0,0,0,9,11,81.8,1,8,1,3,3
2b8032a8,Sevilla,Ivan Rakitić,10,CRO,"LM,CM",35-006,82,0,0,0,0,1,1,0,0,39,1,0,1,0.0,0.0,0.0,0,0,25,31,80.6,0,18,0,2,0
2b8032a8,Sevilla,Joan Jordán,8,ESP,CM,28-253,8,0,0,0,0,0,0,1,0,4,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,1,0,0,0
2b8032a8,Sevilla,Fernando,20,BRA,CM,35-234,90,0,0,0,0,0,0,0,0,46,5,1,2,0.0,0.0,0.0,0,0,27,32,84.4,2,13,0,2,0
