match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2e126502,Roma,Tammy Abraham,9,ENG,FW,25-004,71,0,0,0,0,1,0,0,0,33,1,0,1,0.2,0.2,0.2,2,0,17,24,70.8,4,19,2,2,0
2e126502,Roma,Andrea Belotti,11,ITA,FW,28-290,19,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0
2e126502,Roma,Nicolò Zaniolo,22,ITA,AM,23-096,89,0,0,0,0,3,1,0,1,29,1,1,0,0.3,0.3,0.0,2,0,8,14,57.1,3,25,3,7,2
2e126502,Roma,Paulo Dybala,21,ARG,AM,28-325,79,1,0,1,1,4,1,0,0,47,1,0,0,1.0,0.2,0.2,5,0,29,36,80.6,6,35,2,5,0
2e126502,Roma,Stephan El Shaarawy,92,ITA,AM,29-344,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,1,4,0,1,0
2e126502,Roma,Nemanja Matić,8,SRB,CM,34-066,90,0,0,0,0,0,0,0,0,70,2,0,3,0.0,0.0,0.0,2,0,59,65,90.8,5,56,1,1,1
2e126502,Roma,Bryan Cristante,4,ITA,CM,27-217,79,0,0,0,0,3,2,0,0,56,5,1,0,0.4,0.4,0.0,2,0,37,45,82.2,5,42,0,0,0
2e126502,Roma,Mohamed Camara,20,GUI,CM,25-220,11,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,4,7,57.1,1,5,0,0,0
2e126502,Roma,Nicola Zalewski,59,POL,WB,20-256,90,0,0,0,0,1,0,0,0,54,0,2,0,0.0,0.0,0.2,3,1,32,46,69.6,1,29,5,4,0
2e126502,Roma,Zeki Çelik,19,TUR,WB,25-231,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
2e126502,Roma,Leonardo Spinazzola,37,ITA,WB,29-195,86,0,0,0,0,0,0,0,0,46,1,2,2,0.0,0.0,0.0,0,0,25,38,65.8,4,29,6,3,1
2e126502,Roma,Roger Ibanez,3,BRA,CB,23-317,90,0,0,0,0,0,0,0,0,54,6,1,1,0.0,0.0,0.0,1,0,36,41,87.8,1,39,0,1,0
2e126502,Roma,Chris Smalling,6,ENG,CB,32-318,90,0,0,0,0,0,0,0,0,42,2,2,0,0.0,0.0,0.1,2,0,32,36,88.9,1,30,0,0,0
2e126502,Roma,Gianluca Mancini,23,ITA,CB,26-172,90,0,0,0,0,0,0,1,0,48,0,0,2,0.0,0.0,0.0,1,0,37,46,80.4,4,37,0,1,1
2e126502,Roma,Rui Patrício,1,POR,GK,34-233,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,24,29,82.8,0,21,0,0,0
2e126502,Betis,Willian José,12,BRA,FW,30-317,74,0,0,0,0,0,0,0,0,37,1,0,0,0.0,0.0,0.1,3,0,27,31,87.1,3,28,0,1,0
2e126502,Betis,Borja Iglesias,9,ESP,FW,29-262,16,0,0,0,0,0,0,0,0,9,1,1,0,0.0,0.0,0.0,1,0,6,7,85.7,0,7,1,0,0
2e126502,Betis,Joaquín,17,ESP,LW,41-077,59,0,0,0,0,0,0,0,0,59,0,1,0,0.0,0.0,0.1,2,0,48,53,90.6,5,53,1,2,1
2e126502,Betis,Rodri,28,ESP,LW,22-143,31,0,1,0,0,1,0,0,0,24,1,0,1,0.1,0.1,0.1,2,1,15,17,88.2,1,18,1,0,0
2e126502,Betis,Sergio Canales,10,ESP,"AM,RW",31-232,90,0,0,0,0,3,1,0,0,98,1,0,1,0.1,0.1,0.1,2,0,77,88,87.5,5,87,6,3,1
2e126502,Betis,Nabil Fekir,8,FRA,AM,29-080,21,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,2,0,18,19,94.7,1,21,1,1,0
2e126502,Betis,Luiz Henrique,11,BRA,"RW,AM",21-277,69,1,1,0,0,3,2,0,0,42,2,1,5,0.2,0.2,0.0,1,1,20,27,74.1,0,29,1,2,0
2e126502,Betis,Andrés Guardado,18,MEX,DM,36-008,74,0,0,0,0,1,1,1,0,70,6,1,0,0.0,0.0,0.0,1,0,49,57,86.0,2,51,2,2,0
2e126502,Betis,William Carvalho,14,POR,DM,30-182,16,0,0,0,0,1,0,0,0,22,0,0,0,0.0,0.0,0.0,1,1,19,20,95.0,3,16,1,0,0
2e126502,Betis,Guido Rodríguez,5,ARG,DM,28-177,90,1,0,0,0,1,1,0,0,74,6,1,0,0.0,0.0,0.2,4,0,58,62,93.5,4,50,2,1,1
2e126502,Betis,Juan Miranda,33,ESP,LB,22-260,74,0,0,0,0,0,0,0,0,49,2,1,1,0.0,0.0,0.0,0,0,39,43,90.7,0,43,2,0,0
2e126502,Betis,Álex Moreno,15,ESP,LB,29-120,16,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,11,16,68.8,2,13,1,0,0
2e126502,Betis,Luiz Felipe,19,ITA,CB,25-198,90,0,0,0,0,0,0,1,0,90,0,3,2,0.0,0.0,0.0,0,0,72,80,90.0,5,71,0,0,0
2e126502,Betis,Germán Pezzella,16,ARG,CB,31-101,90,0,0,0,0,0,0,1,0,52,0,0,1,0.0,0.0,0.0,0,0,44,47,93.6,2,42,0,1,1
2e126502,Betis,Aitor Ruibal,24,ESP,RB,26-198,90,0,0,0,0,1,0,0,0,71,3,2,2,0.1,0.1,0.0,2,1,50,60,83.3,5,53,1,2,1
2e126502,Betis,Claudio Bravo,1,CHI,GK,39-176,90,0,0,0,0,0,0,1,0,33,0,1,0,0.0,0.0,0.0,0,0,22,29,75.9,0,21,0,0,0
