match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
96b02d50,Ferencváros,Franck Boli,70,CIV,FW,28-275,20,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,6,0,1,0
96b02d50,Ferencváros,Endre Botka,21,HUN,LB,28-014,70,0,0,0,0,0,0,0,0,19,0,1,0,0.0,0.0,0.0,0,0,7,12,58.3,3,6,0,2,0
96b02d50,Ferencváros,Tokmac Nguen,10,NOR,LW,28-323,75,2,1,1,1,2,1,0,0,30,0,1,1,1.2,0.4,0.6,3,1,9,18,50.0,3,16,1,4,2
96b02d50,Ferencváros,Amer Gojak,14,BIH,"FW,LM",25-207,15,0,0,0,0,1,1,0,0,10,0,0,1,0.1,0.1,0.0,2,0,1,5,20.0,1,4,1,0,0
96b02d50,Ferencváros,Adama Traoré,20,MLI,"FW,RW,LW",27-095,90,1,0,0,0,2,2,0,0,39,1,0,2,0.4,0.4,0.0,3,1,13,26,50.0,1,22,4,7,2
96b02d50,Ferencváros,Kristoffer Zachariassen,16,NOR,"RW,AM,RM,LB",27-316,90,0,0,0,0,2,0,0,0,25,2,1,1,0.2,0.2,0.0,0,0,7,13,53.8,1,15,1,0,0
96b02d50,Ferencváros,Bálint Vécsei,19,HUN,DM,29-057,75,0,1,0,0,0,0,0,0,30,1,0,3,0.0,0.0,0.4,2,1,14,21,66.7,3,11,0,0,0
96b02d50,Ferencváros,Aïssa Laïdouni,93,TUN,"DM,CM",25-269,15,0,0,0,0,0,0,0,0,6,1,2,0,0.0,0.0,0.0,0,0,3,3,100.0,1,1,0,0,0
96b02d50,Ferencváros,Muhamed Bešić,5,BIH,DM,29-363,89,0,0,0,0,1,0,1,0,48,2,2,0,0.0,0.0,0.1,7,1,29,34,85.3,5,16,3,2,2
96b02d50,Ferencváros,Adnan Kovačević,15,BIH,CB,28-364,1,0,0,0,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
96b02d50,Ferencváros,Eldar Ćivić,17,BIH,LB,26-103,15,0,0,0,0,0,0,0,1,9,0,0,0,0.0,0.0,0.0,0,0,7,9,77.8,1,3,1,0,0
96b02d50,Ferencváros,Mats Knoester,4,NED,CB,23-293,90,0,0,0,0,0,0,1,0,29,1,1,2,0.0,0.0,0.0,0,0,12,15,80.0,1,12,0,0,0
96b02d50,Ferencváros,Samy Mmaee,3,MAR,CB,26-000,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,9,16,56.3,0,12,0,0,0
96b02d50,Ferencváros,Henry Wingo,31,USA,RB,26-339,90,0,0,0,0,2,0,1,0,39,0,0,2,0.1,0.1,0.0,2,1,21,28,75.0,3,14,1,1,1
96b02d50,Ferencváros,Dénes Dibusz,90,HUN,GK,31-296,90,0,0,0,0,0,0,1,0,33,0,0,0,0.0,0.0,0.0,0,0,17,30,56.7,0,9,0,0,0
96b02d50,Trabzonspor,Maxi Gómez,30,URU,"FW,LW",26-025,90,1,1,0,0,5,3,0,0,31,0,0,0,0.4,0.4,0.2,3,1,20,23,87.0,3,22,2,1,0
96b02d50,Trabzonspor,Trézéguet,27,EGY,"LM,LW,RW",27-342,90,0,0,0,0,3,1,0,0,43,1,0,1,0.5,0.5,0.0,3,0,29,38,76.3,2,33,2,0,0
96b02d50,Trabzonspor,Enis Bardhi,29,MKD,CM,27-068,45,0,0,0,0,2,0,1,0,25,2,0,1,0.0,0.0,0.1,3,0,14,18,77.8,1,13,0,1,0
96b02d50,Trabzonspor,Yusuf Yazıcı,61,TUR,"RW,FW,CM",25-222,45,0,0,0,0,2,1,0,0,27,0,0,0,0.0,0.0,0.0,1,0,19,23,82.6,1,20,0,0,0
96b02d50,Trabzonspor,Anastasios Bakasetas,11,GRE,"CM,DM,RM",29-072,90,0,1,0,0,3,2,0,0,108,1,0,1,0.1,0.1,0.4,9,2,84,101,83.2,12,89,2,0,0
96b02d50,Trabzonspor,Abdülkadir Ömür,10,TUR,RM,23-075,59,0,0,0,0,2,0,0,0,41,2,1,0,0.1,0.1,0.0,3,0,26,32,81.3,1,31,1,0,0
96b02d50,Trabzonspor,Umut Bozok,9,TUR,AM,25-354,31,1,0,0,0,1,1,0,0,15,0,0,1,0.1,0.1,0.0,3,0,9,11,81.8,0,6,0,0,0
96b02d50,Trabzonspor,Jean-Philippe Gbamin,25,CIV,DM,26-348,45,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,3,0,28,32,87.5,1,28,0,2,1
96b02d50,Trabzonspor,Marek Hamšík,17,SVK,DM,35-043,45,0,0,0,0,1,0,0,0,78,0,0,1,0.0,0.0,0.1,4,0,67,73,91.8,15,64,1,0,0
96b02d50,Trabzonspor,Stefano Denswil,24,SUR,"LB,CB",29-124,71,0,0,0,0,0,0,0,0,67,0,1,1,0.0,0.0,0.0,2,0,60,65,92.3,8,46,0,0,0
96b02d50,Trabzonspor,Djaniny,21,CPV,"LM,CB",31-171,19,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,15,15,100.0,1,15,1,1,0
96b02d50,Trabzonspor,Vitor Hugo,13,BRA,CB,31-111,45,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.0,0,0,38,39,97.4,2,30,1,0,0
96b02d50,Trabzonspor,Evren Eren Elmalı,18,TUR,"LB,CB",22-063,45,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.1,2,0,35,40,87.5,1,26,0,1,0
