match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
9776c6a2,Monaco,Wissam Ben Yedder,10,FRA,FW,32-083,74,0,0,0,0,1,1,0,0,13,0,0,0,0.1,0.1,0.1,1,0,8,10,80.0,1,7,0,0,0
9776c6a2,Monaco,Breel Embolo,36,SUI,FW,25-262,16,0,0,0,0,1,0,0,0,9,1,0,0,0.2,0.2,0.0,0,0,2,4,50.0,0,4,0,0,0
9776c6a2,Monaco,Kevin Volland,31,GER,FW,30-096,89,3,0,0,0,6,4,0,0,40,1,0,2,0.7,0.7,0.0,0,0,12,21,57.1,3,31,1,0,0
9776c6a2,Monaco,Eliesse Ben Seghir,44,MAR,FW,17-260,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
9776c6a2,Monaco,Aleksandr Golovin,17,RUS,LM,26-157,84,0,0,0,0,2,0,0,0,53,3,2,2,0.1,0.1,0.2,6,0,29,42,69.0,3,34,3,2,1
9776c6a2,Monaco,Ismail Jakobs,14,SEN,LM,23-078,6,0,1,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.3,1,1,2,2,100.0,0,2,1,0,0
9776c6a2,Monaco,Mohamed Camara,4,MLI,CM,22-301,84,0,0,0,0,1,0,0,0,54,1,1,2,0.0,0.0,0.0,1,0,40,46,87.0,9,41,0,3,1
9776c6a2,Monaco,Eliot Matazo,15,BEL,CM,20-261,6,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,9,9,100.0,1,8,0,0,0
9776c6a2,Monaco,Youssouf Fofana,19,FRA,CM,23-297,90,0,0,0,0,1,0,0,0,59,2,1,1,0.0,0.0,0.1,1,0,39,48,81.3,10,45,0,1,1
9776c6a2,Monaco,Krépin Diatta,27,SEN,RM,23-251,74,0,1,0,0,2,1,0,0,38,1,1,4,0.2,0.2,0.4,6,1,15,25,60.0,2,27,2,4,2
9776c6a2,Monaco,Vanderson,2,BRA,RM,21-135,16,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.0,0,0,10,12,83.3,1,10,1,1,1
9776c6a2,Monaco,Caio Henrique Oliveira Silva,12,BRA,LB,25-095,90,0,1,0,0,0,0,0,0,61,3,0,1,0.0,0.0,0.1,4,3,41,57,71.9,3,40,4,1,0
9776c6a2,Monaco,Benoît Badiashile,5,FRA,CB,21-222,90,0,0,0,0,0,0,1,0,62,1,2,0,0.0,0.0,0.0,1,1,49,55,89.1,7,49,2,0,0
9776c6a2,Monaco,Guillermo Maripán,3,CHI,CB,28-181,90,0,0,0,0,0,0,0,0,54,3,2,2,0.0,0.0,0.0,0,0,36,41,87.8,2,37,0,1,0
9776c6a2,Monaco,Axel Disasi,6,FRA,RB,24-237,90,0,0,0,0,2,0,0,0,62,1,3,0,0.0,0.0,0.0,2,0,35,51,68.6,2,37,1,1,1
9776c6a2,Monaco,Alexander Nübel,16,GER,GK,26-034,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,0,0,27,37,73.0,0,25,0,0,0
9776c6a2,Red Star,Aleksandar Pešić,72,SRB,FW,30-166,90,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,11,16,68.8,0,11,0,1,0
9776c6a2,Red Star,Aleksandar Katai,10,SRB,FW,31-270,59,0,0,0,0,0,0,1,0,30,0,0,0,0.0,0.0,0.1,3,1,20,28,71.4,4,23,0,1,0
9776c6a2,Red Star,Kings Kangwa,20,ZAM,FW,23-211,31,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.0,0,0,20,23,87.0,3,21,0,1,1
9776c6a2,Red Star,Stefan Mitrović,80,SRB,LM,20-080,45,0,0,0,0,1,0,0,0,17,0,0,0,0.1,0.1,0.0,0,0,10,12,83.3,0,16,6,2,0
9776c6a2,Red Star,Slavoljub Srnić,55,SRB,LM,30-295,45,0,0,0,0,0,0,1,0,31,0,1,1,0.0,0.0,0.0,0,0,26,29,89.7,2,25,1,0,0
9776c6a2,Red Star,Mirko Ivanić,4,MNE,CM,29-051,90,0,0,0,0,1,0,0,0,57,1,0,2,0.1,0.1,0.0,1,1,33,43,76.7,9,42,1,1,0
9776c6a2,Red Star,Guélor Kanga,8,GAB,CM,32-063,70,1,0,1,1,2,1,1,0,71,3,0,0,0.9,0.1,0.1,1,0,48,59,81.4,5,54,0,2,1
9776c6a2,Red Star,Ben Nabouhane,31,COM,RM,33-146,20,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,3,0,5,8,62.5,1,9,0,1,0
9776c6a2,Red Star,Osman Bukari,11,GHA,RM,23-325,70,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.1,2,0,12,19,63.2,1,17,3,2,2
9776c6a2,Red Star,Ibrahim Mustapha,18,GHA,CM,22-138,20,0,0,0,0,1,0,0,0,17,0,1,0,0.0,0.0,0.0,0,0,10,12,83.3,2,15,0,1,0
9776c6a2,Red Star,Milan Rodić,23,SRB,LB,31-215,84,0,0,0,0,0,0,1,0,65,1,2,0,0.0,0.0,0.0,0,0,48,59,81.4,6,47,0,0,0
9776c6a2,Red Star,Irakli Azarov,16,GEO,LB,20-255,6,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,0,0
9776c6a2,Red Star,Nemanja Milunović,19,SRB,CB,33-156,90,0,0,0,0,0,0,0,0,113,0,4,3,0.0,0.0,0.0,2,0,80,102,78.4,3,76,0,0,0
9776c6a2,Red Star,Strahinja Eraković,25,SRB,CB,21-285,90,0,0,0,0,0,0,0,0,55,1,2,0,0.0,0.0,0.0,1,0,38,49,77.6,4,41,0,2,2
9776c6a2,Red Star,Marko Gobeljić,77,SRB,RB,30-051,90,0,0,0,0,0,0,0,0,41,0,1,0,0.0,0.0,0.0,0,0,25,33,75.8,1,32,0,1,0
9776c6a2,Red Star,Milan Borjan,82,CAN,GK,35-011,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,25,0,0,0
