match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a8a65952,Roma,Tammy Abraham,9,ENG,FW,25-032,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,2,1,17,21,81.0,2,17,1,2,0
a8a65952,Roma,Andrea Belotti,11,ITA,FW,28-318,45,0,0,0,0,1,0,0,0,14,0,0,0,0.2,0.2,0.0,2,0,6,10,60.0,0,13,2,0,0
a8a65952,Roma,Nicolò Zaniolo,22,ITA,FW,23-124,45,1,0,0,0,4,3,1,0,15,0,0,1,0.4,0.4,0.0,4,3,5,7,71.4,0,11,2,2,1
a8a65952,Roma,Lorenzo Pellegrini,7,ITA,"CM,AM",26-137,90,2,0,2,2,4,0,0,0,65,2,1,1,1.8,0.2,0.4,4,1,38,52,73.1,6,44,2,2,1
a8a65952,Roma,Nemanja Matić,8,SRB,CM,34-094,60,0,0,0,0,2,1,0,0,53,1,3,1,0.1,0.1,0.1,5,0,35,42,83.3,7,41,2,3,2
a8a65952,Roma,Nicola Zalewski,59,POL,WB,20-284,30,0,0,0,0,0,0,0,0,16,2,0,0,0.0,0.0,0.0,1,0,8,13,61.5,1,3,0,0,0
a8a65952,Roma,Mohamed Camara,20,GUI,CM,25-248,45,0,0,0,0,1,0,0,0,23,2,0,1,0.0,0.0,0.0,1,0,16,17,94.1,4,18,1,1,0
a8a65952,Roma,Cristian Volpato,62,ITA,CM,18-353,34,0,0,0,0,1,0,1,0,11,0,0,0,0.1,0.1,0.0,2,0,4,7,57.1,2,8,1,4,3
a8a65952,Roma,Edoardo Bove,52,ITA,CM,20-171,11,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,0,0
a8a65952,Roma,Stephan El Shaarawy,92,ITA,WB,30-007,90,0,0,0,0,3,2,0,0,55,1,0,0,0.2,0.2,0.5,2,0,31,44,70.5,4,36,5,9,4
