match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
ba3ab652,Arsenal,Gabriel Jesus,9,BRA,FW,25-200,75,0,0,0,0,5,3,0,0,39,2,0,0,0.6,0.6,0.7,7,0,19,24,79.2,3,29,2,3,2
ba3ab652,Arsenal,Gabriel Martinelli,11,BRA,LW,21-124,15,0,0,0,0,1,1,0,0,12,0,0,1,0.1,0.1,0.2,1,0,6,8,75.0,0,9,1,0,0
ba3ab652,Arsenal,Eddie Nketiah,14,ENG,"LW,FW",23-143,90,0,0,0,0,6,0,0,0,57,0,0,1,0.5,0.5,0.1,3,0,34,38,89.5,3,40,8,8,1
ba3ab652,Arsenal,Bukayo Saka,7,ENG,RW,21-045,84,0,0,0,0,5,3,0,0,43,0,1,0,0.7,0.7,0.7,10,0,27,31,87.1,2,24,7,5,5
ba3ab652,Arsenal,Reiss Nelson,24,ENG,RW,22-314,6,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,7,7,100.0,0,5,0,0,0
ba3ab652,Arsenal,Granit Xhaka,34,SUI,"LM,DM",30-023,90,1,0,0,0,4,1,1,0,78,1,0,0,0.3,0.3,0.1,6,0,59,68,86.8,10,51,2,1,0
ba3ab652,Arsenal,Albert Sambi Lokonga,23,BEL,CM,22-363,66,0,0,0,0,0,0,0,0,59,0,0,0,0.0,0.0,0.1,3,0,51,57,89.5,9,40,1,1,0
ba3ab652,Arsenal,Thomas Partey,5,GHA,DM,29-129,24,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,15,17,88.2,0,14,0,0,0
ba3ab652,Arsenal,Fabio Vieira,21,POR,RM,22-143,66,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.0,3,0,26,33,78.8,4,19,1,0,0
ba3ab652,Arsenal,Martin Ødegaard,8,NOR,AM,23-307,24,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.1,4,1,22,23,95.7,5,16,3,1,0
ba3ab652,Arsenal,Kieran Tierney,3,SCO,LB,25-137,90,0,0,0,0,1,0,1,0,73,2,1,0,0.1,0.1,0.0,2,0,57,67,85.1,5,47,6,0,0
ba3ab652,Arsenal,Gabriel Magalhães,6,BRA,CB,24-305,90,0,0,0,0,2,0,0,0,90,2,0,2,0.6,0.6,0.0,0,0,77,82,93.9,5,65,0,0,0
ba3ab652,Arsenal,Rob Holding,16,ENG,CB,27-030,90,0,0,0,0,0,0,0,0,97,0,1,0,0.0,0.0,0.1,2,0,80,92,87.0,5,72,1,0,0
ba3ab652,Arsenal,Takehiro Tomiyasu,18,JPN,RB,23-349,75,0,1,0,0,0,0,0,0,58,2,0,1,0.0,0.0,0.1,3,1,44,51,86.3,6,33,0,0,0
ba3ab652,Arsenal,Ben White,4,ENG,RB,25-012,15,0,0,0,0,0,0,0,0,23,2,0,1,0.0,0.0,0.0,0,0,17,19,89.5,0,13,0,0,0
ba3ab652,Arsenal,Matt Turner,30,USA,GK,28-118,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,21,26,80.8,0,18,0,0,0
ba3ab652,PSV Eindhoven,Guus Til,20,NED,FW,24-302,64,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,4,7,57.1,1,9,0,0,0
ba3ab652,PSV Eindhoven,Noni Madueke,10,ENG,FW,20-224,26,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,1,0,5,5,100.0,1,7,0,2,1
ba3ab652,PSV Eindhoven,Cody Gakpo,11,NED,LW,23-166,90,0,0,0,0,0,0,0,0,33,1,1,0,0.0,0.0,0.0,0,0,21,25,84.0,2,19,0,1,0
ba3ab652,PSV Eindhoven,Xavi Simons,7,NED,RW,19-182,89,0,0,0,0,3,1,0,0,30,1,0,0,0.3,0.3,0.0,0,0,19,22,86.4,0,18,5,2,1
ba3ab652,PSV Eindhoven,Richy Ledezma,37,USA,RW,22-044,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,1,0
ba3ab652,PSV Eindhoven,Joey Veerman,23,NED,AM,23-335,76,0,0,0,0,0,0,0,0,39,1,2,1,0.0,0.0,0.0,1,0,25,30,83.3,2,24,0,0,0
