match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c20774ea,Leverkusen,Florian Wirtz,27,GER,FW,19-345,90,1,0,0,0,3,1,0,0,83,1,0,1,0.3,0.3,0.1,4,0,51,71,71.8,5,36,5,6,5
c20774ea,Leverkusen,Amine Adli,21,MAR,LW,22-338,67,0,0,0,0,0,0,0,0,33,2,0,0,0.0,0.0,0.3,4,0,15,25,60.0,3,14,3,6,3
c20774ea,Leverkusen,Sardar Azmoun,9,IRN,LW,28-102,23,0,1,0,0,1,1,0,0,10,0,0,2,0.1,0.1,0.0,1,0,1,4,25.0,0,4,0,0,0
c20774ea,Leverkusen,Moussa Diaby,19,FRA,RW,23-280,86,0,0,0,0,2,0,0,0,29,0,0,1,0.1,0.1,0.0,0,0,18,23,78.3,2,21,1,2,0
c20774ea,Leverkusen,Adam Hložek,23,CZE,RW,20-262,4,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,1,2,50.0,0,1,0,0,0
c20774ea,Leverkusen,Mitchel Bakker,5,NED,LM,22-297,90,0,0,0,0,2,0,0,0,79,0,0,2,0.1,0.1,0.4,3,0,61,73,83.6,3,28,6,4,4
c20774ea,Leverkusen,Robert Andrich,8,GER,CM,28-203,90,0,0,0,0,0,0,0,0,66,2,0,1,0.0,0.0,0.0,2,0,51,60,85.0,2,28,1,1,1
c20774ea,Leverkusen,Exequiel Palacios,25,ARG,CM,24-190,45,0,0,0,0,0,0,0,0,51,2,1,1,0.0,0.0,0.0,0,0,37,43,86.0,3,25,0,2,2
c20774ea,Leverkusen,Kerem Demirbay,10,GER,CM,29-284,45,0,0,0,0,2,0,0,0,57,2,1,0,0.1,0.1,0.0,2,1,40,50,80.0,2,29,0,3,0
c20774ea,Leverkusen,Jeremie Frimpong,30,NED,RM,22-124,90,0,0,0,0,2,0,0,0,58,4,0,1,0.5,0.5,0.4,5,0,30,37,81.1,1,25,3,11,5
c20774ea,Leverkusen,Piero Hincapié,3,ECU,CB,21-094,90,0,0,0,0,2,0,1,0,90,3,2,1,0.3,0.3,0.0,3,1,73,79,92.4,5,54,1,0,0
c20774ea,Leverkusen,Jonathan Tah,4,GER,CB,27-061,90,0,0,0,0,0,0,0,0,77,1,0,1,0.0,0.0,0.0,1,0,65,69,94.2,6,52,1,1,1
c20774ea,Leverkusen,Edmond Tapsoba,12,BFA,CB,24-070,90,0,0,0,0,0,0,0,0,86,3,0,0,0.0,0.0,0.0,1,0,73,79,92.4,13,54,4,2,2
c20774ea,Leverkusen,Lukáš Hrádecký,1,FIN,GK,33-140,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,18,21,85.7,0,7,0,0,0
c20774ea,Union SG,Victor Boniface,7,NGA,FW,22-111,88,1,0,0,0,3,2,0,0,30,0,0,0,0.2,0.2,0.0,3,0,10,12,83.3,0,19,5,8,4
c20774ea,Union SG,Gustaf Nilsson,29,SWE,FW,25-325,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
c20774ea,Union SG,Yorbe Vertessen,18,BEL,FW,22-095,74,0,0,0,0,1,1,0,0,10,0,0,2,0.1,0.1,0.0,1,0,3,4,75.0,0,5,1,1,1
c20774ea,Union SG,Cameron Puertas,23,SUI,FW,24-238,16,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,1,1,1
c20774ea,Union SG,Teddy Teuma,10,MLT,CM,29-195,90,0,1,0,0,0,0,0,0,66,6,1,2,0.0,0.0,0.2,3,1,39,51,76.5,4,37,2,2,1
c20774ea,Union SG,Senne Lynen,20,BEL,CM,24-053,79,0,0,0,0,0,0,0,0,46,3,3,0,0.0,0.0,0.0,0,0,28,37,75.7,1,28,0,1,0
c20774ea,Union SG,Oussama El Azzouzi,6,MAR,CM,21-319,11,0,0,0,0,0,0,0,0,7,1,1,2,0.0,0.0,0.0,0,0,2,2,100.0,0,2,0,0,0
c20774ea,Union SG,Jean Thierry Lazare,8,CIV,CM,25-037,90,0,0,0,0,0,0,0,0,39,0,0,3,0.0,0.0,0.1,2,1,16,28,57.1,3,23,2,4,2
c20774ea,Union SG,Loïc Lapoussin,94,MAD,WB,27-017,90,0,0,0,0,2,1,1,0,52,4,1,2,0.0,0.0,0.0,0,0,21,29,72.4,1,31,0,8,1
c20774ea,Union SG,Bart Nieuwkoop,2,NED,WB,27-037,90,0,0,0,0,0,0,0,0,40,2,4,5,0.0,0.0,0.0,0,0,9,20,45.0,1,12,0,0,0
c20774ea,Union SG,Siebe Van Der Heyden,44,BEL,CB,24-318,90,0,0,0,0,0,0,1,0,63,4,0,0,0.0,0.0,0.0,1,0,49,53,92.5,1,21,1,0,0
c20774ea,Union SG,Christian Burgess,16,ENG,CB,31-188,90,0,0,0,0,1,0,0,0,52,0,1,2,0.1,0.1,0.0,0,0,34,40,85.0,0,31,0,0,0
c20774ea,Union SG,Ismaël Kandouss,59,MAR,CB,25-152,90,0,0,0,0,1,0,0,0,40,1,1,0,0.1,0.1,0.0,1,0,28,33,84.8,0,23,0,2,1
c20774ea,Union SG,Anthony Moris,49,LUX,GK,32-349,90,0,0,0,0,0,0,1,0,54,0,0,0,0.0,0.0,0.0,0,0,40,54,74.1,0,27,0,0,0
