match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
d23b725f,Manchester Utd,Wout Weghorst,27,NED,FW,30-214,90,1,0,0,0,5,3,1,0,37,3,1,4,1.1,1.1,0.4,3,0,10,16,62.5,2,13,1,4,1
d23b725f,Manchester Utd,Marcus Rashford,10,ENG,LW,25-129,64,1,0,0,0,3,3,0,0,30,1,0,0,0.4,0.4,0.0,3,1,17,19,89.5,2,22,3,4,1
d23b725f,Manchester Utd,Jadon Sancho,25,ENG,LW,22-349,26,0,0,0,0,1,0,0,0,18,2,0,4,0.1,0.1,0.1,2,0,9,11,81.8,1,9,3,0,0
d23b725f,Manchester Utd,Antony,21,BRA,RW,23-013,81,1,0,0,0,5,3,0,0,53,0,0,2,0.8,0.8,0.5,4,0,29,35,82.9,4,37,5,2,0
d23b725f,Manchester Utd,Facundo Pellistri,28,URU,RW,21-079,9,0,0,0,0,1,1,0,0,8,1,0,0,0.1,0.1,0.2,3,0,2,3,66.7,0,5,3,2,1
d23b725f,Manchester Utd,Bruno Fernandes,8,POR,AM,28-182,90,1,1,0,0,2,1,1,0,94,3,0,3,0.2,0.2,0.5,11,1,58,78,74.4,14,57,5,3,3
d23b725f,Manchester Utd,Fred,17,BRA,DM,30-004,81,0,0,0,0,1,1,0,0,46,2,1,4,0.1,0.1,0.0,1,0,26,34,76.5,3,29,0,2,0
d23b725f,Manchester Utd,Scott McTominay,39,SCO,DM,26-091,9,0,0,0,0,1,1,0,0,5,0,0,0,0.2,0.2,0.0,1,1,1,4,25.0,1,3,0,0,0
d23b725f,Manchester Utd,Casemiro,18,BRA,DM,31-014,90,0,0,0,0,3,0,0,0,80,0,4,2,0.2,0.2,0.1,5,2,52,66,78.8,10,41,0,1,0
d23b725f,Manchester Utd,Luke Shaw,23,ENG,LB,27-240,64,0,1,0,0,0,0,0,0,50,2,1,1,0.0,0.0,0.3,6,1,29,42,69.0,4,26,2,1,1
d23b725f,Manchester Utd,Tyrell Malacia,12,NED,LB,23-204,26,0,0,0,0,0,0,0,0,17,1,1,1,0.0,0.0,0.0,2,0,9,13,69.2,2,9,1,0,0
d23b725f,Manchester Utd,Lisandro Martínez,6,ARG,CB,25-050,90,0,0,0,0,2,0,0,0,75,3,1,1,0.1,0.1,0.0,0,0,61,66,92.4,4,45,1,1,1
d23b725f,Manchester Utd,Raphaël Varane,19,FRA,CB,29-318,90,0,0,0,0,0,0,0,0,64,0,1,0,0.0,0.0,0.1,1,0,52,56,92.9,4,37,0,0,0
d23b725f,Manchester Utd,Diogo Dalot,20,POR,RB,23-356,45,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,0,0,22,28,78.6,0,13,2,4,3
d23b725f,Manchester Utd,Aaron Wan-Bissaka,29,ENG,RB,25-103,45,0,0,0,0,1,0,0,0,35,0,0,0,0.0,0.0,0.0,2,1,26,30,86.7,1,19,1,0,0
d23b725f,Manchester Utd,David de Gea,1,ESP,GK,32-122,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,19,27,70.4,0,19,0,0,0
d23b725f,Betis,Ayoze Pérez,21,ESP,FW,29-223,64,1,0,0,0,2,1,0,0,22,0,0,1,0.2,0.2,0.0,1,0,10,13,76.9,2,8,0,2,1
d23b725f,Betis,Borja Iglesias,9,ESP,FW,30-051,26,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,1,2,0,1,0
d23b725f,Betis,Juanmi,7,ESP,LW,29-293,79,0,1,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.3,2,1,13,16,81.3,2,11,0,0,0
d23b725f,Betis,Willian José,12,BRA,LW,31-106,11,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
d23b725f,Betis,Luiz Henrique,11,BRA,RW,22-066,58,0,0,0,0,0,0,0,0,26,2,0,3,0.0,0.0,0.0,0,0,9,16,56.3,0,14,0,4,2
d23b725f,Betis,Aitor Ruibal,24,ESP,RW,26-352,32,0,0,0,0,1,1,0,0,10,0,0,0,0.1,0.1,0.0,0,0,5,7,71.4,0,6,1,0,0
d23b725f,Betis,Joaquín,17,ESP,AM,41-231,58,0,0,0,0,1,0,0,0,35,0,0,0,0.1,0.1,0.0,3,1,21,32,65.6,3,16,1,1,1
d23b725f,Betis,Sergio Canales,10,ESP,AM,32-021,32,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,14,17,82.4,1,21,1,2,1
d23b725f,Betis,William Carvalho,14,POR,DM,30-336,90,0,0,0,0,0,0,0,0,54,2,0,1,0.0,0.0,0.0,0,0,38,49,77.6,3,33,0,3,3
d23b725f,Betis,Guido Rodríguez,5,ARG,DM,28-331,64,0,0,0,0,1,0,0,0,48,5,2,1,0.1,0.1,0.0,0,0,28,37,75.7,1,22,0,4,2
d23b725f,Betis,Andrés Guardado,18,MEX,DM,36-162,26,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,0,14,18,77.8,1,18,0,1,0
d23b725f,Betis,Abner,20,BRA,LB,22-286,90,0,0,0,0,1,0,0,0,46,1,0,4,0.0,0.0,0.1,1,0,20,31,64.5,1,17,1,2,2
d23b725f,Betis,Luiz Felipe,19,ITA,CB,25-352,90,0,0,0,0,0,0,0,0,61,0,0,5,0.0,0.0,0.0,0,0,36,40,90.0,0,23,0,1,0
d23b725f,Betis,Germán Pezzella,16,ARG,CB,31-255,90,0,0,0,0,0,0,0,0,58,0,0,1,0.0,0.0,0.0,1,0,39,50,78.0,0,26,0,0,0
d23b725f,Betis,Youssouf Sabaly,23,SEN,RB,30-004,90,0,0,0,0,0,0,0,0,64,3,2,1,0.0,0.0,0.0,0,0,33,47,70.2,3,31,1,7,3
d23b725f,Betis,Claudio Bravo,1,CHI,GK,39-330,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,13,36,36.1,0,17,0,0,0
