match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e63105f4,Zürich,Tosin Aiyegun,15,BEN,FW,24-123,83,0,0,0,0,1,0,1,0,27,1,1,1,0.1,0.1,0.1,4,0,14,19,73.7,2,17,0,0,0
e63105f4,Zürich,Selmin Hodza,27,SUI,FW,19-156,7,0,0,0,0,1,1,0,0,8,0,0,0,0.1,0.1,0.0,1,0,4,7,57.1,0,3,1,0,0
e63105f4,Zürich,Jonathan Okita,11,COD,FW,27-022,83,0,1,0,0,8,3,0,0,37,1,0,0,0.7,0.7,0.2,4,1,10,18,55.6,2,17,0,1,0
e63105f4,Zürich,Bohdan Viunnyk,20,UKR,FW,20-159,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,3,1,0,0
e63105f4,Zürich,Blerim Džemaili,21,SUI,AM,36-198,70,0,0,0,0,1,0,1,0,30,0,1,2,0.1,0.1,0.1,4,0,21,24,87.5,3,19,1,0,0
e63105f4,Zürich,Antonio Marchesano,10,SUI,AM,31-282,20,1,0,0,0,4,2,0,0,18,2,1,0,0.5,0.5,0.1,3,0,9,12,75.0,4,12,1,1,1
e63105f4,Zürich,Cheick Oumar Conde,17,GUI,CM,22-093,90,0,0,0,0,1,0,1,0,52,2,3,1,0.1,0.1,0.1,2,0,37,39,94.9,6,29,0,0,0
e63105f4,Zürich,Ole Selnæs,8,NOR,CM,28-112,90,0,0,0,0,2,0,0,0,53,2,0,1,0.1,0.1,0.1,2,0,34,45,75.6,5,27,0,1,1
e63105f4,Zürich,Adrián Guerrero,3,ESP,WB,24-272,59,0,0,0,0,0,0,0,0,34,5,1,1,0.0,0.0,0.0,0,0,13,23,56.5,1,15,0,0,0
e63105f4,Zürich,Fabian Rohner,23,SUI,WB,24-071,31,0,1,0,0,1,0,0,0,15,0,0,0,0.1,0.1,0.2,4,1,8,11,72.7,3,10,5,2,2
e63105f4,Zürich,Nikola Boranijašević,19,SRB,WB,30-161,90,1,0,0,0,2,1,1,0,58,2,0,1,0.4,0.4,0.3,7,1,34,43,79.1,2,34,0,0,0
e63105f4,Zürich,Fidan Aliti,6,KVX,CB,29-024,83,0,0,0,0,1,0,0,0,51,2,0,0,0.0,0.0,0.2,5,0,36,46,78.3,8,38,0,0,0
e63105f4,Zürich,Karol Mets,28,EST,CB,29-164,7,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,0,0,0
e63105f4,Zürich,Nikola Katić,24,BIH,CB,26-017,90,0,0,0,0,0,0,0,0,77,1,2,0,0.0,0.0,0.0,1,0,62,70,88.6,2,61,1,1,0
e63105f4,Zürich,Lindrit Kamberi,2,SUI,CB,23-020,90,0,0,0,0,2,0,0,0,52,2,0,0,0.3,0.3,0.2,1,0,38,45,84.4,2,38,0,0,0
e63105f4,Zürich,Yanick Brecher,25,SUI,GK,29-155,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,37,46,80.4,0,34,0,0,0
