match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f7b5cc09,Betis,Willian José,12,BRA,FW,30-345,66,0,0,0,0,1,0,0,0,33,0,0,0,0.1,0.1,0.3,4,0,27,30,90.0,1,20,1,1,0
f7b5cc09,Betis,Daniel Guerrero,37,ESP,FW,17-100,24,0,0,0,0,1,1,0,0,28,0,0,1,0.1,0.1,0.0,1,0,25,25,100.0,4,22,0,0,0
f7b5cc09,Betis,Aitor Ruibal,24,ESP,"RB,LW",26-226,90,2,0,0,0,3,2,1,0,72,3,2,2,0.6,0.6,0.0,5,1,56,59,94.9,8,52,4,2,1
f7b5cc09,Betis,Luiz Henrique,11,BRA,"RW,RM",21-305,66,0,0,0,0,3,1,0,0,33,1,0,2,0.2,0.2,0.0,3,0,14,21,66.7,1,22,4,2,0
f7b5cc09,Betis,Nabil Fekir,8,FRA,RM,29-108,24,1,0,0,0,1,1,0,0,33,0,0,0,0.8,0.8,0.1,1,0,23,29,79.3,2,20,2,2,1
f7b5cc09,Betis,Rodri,28,ESP,"LM,AM",22-171,90,0,0,0,0,1,0,0,0,70,2,0,1,0.1,0.1,0.4,5,0,55,61,90.2,7,56,2,6,2
f7b5cc09,Betis,William Carvalho,14,POR,DM,30-210,45,0,0,0,0,0,0,0,0,68,0,0,0,0.0,0.0,0.0,2,1,62,67,92.5,12,54,1,0,0
f7b5cc09,Betis,Borja Iglesias,9,ESP,FW,29-290,45,0,1,0,0,1,1,0,0,22,0,0,0,0.0,0.0,1.0,3,1,18,20,90.0,0,14,1,3,2
f7b5cc09,Betis,Paul Akouokou,4,CIV,"DM,CM",24-318,76,0,0,0,0,2,0,0,0,74,1,0,1,0.1,0.1,0.0,1,0,64,66,97.0,3,57,1,2,2
f7b5cc09,Betis,Andrés Guardado,18,MEX,CM,36-036,14,0,0,0,0,1,1,0,0,21,1,0,0,0.1,0.1,0.0,0,0,14,17,82.4,1,17,0,0,0
f7b5cc09,Betis,Juan Miranda,33,ESP,LB,22-288,90,0,1,0,0,2,1,0,0,98,2,1,2,0.3,0.3,0.3,4,1,63,82,76.8,6,69,5,4,2
f7b5cc09,Betis,Víctor Ruiz,6,ESP,CB,33-282,90,0,0,0,0,0,0,0,0,75,0,3,1,0.0,0.0,0.0,0,0,66,68,97.1,2,59,0,0,0
f7b5cc09,Betis,Édgar González,3,ESP,CB,25-216,90,0,0,0,0,0,0,1,0,84,3,0,0,0.0,0.0,0.0,1,0,76,79,96.2,6,59,0,0,0
f7b5cc09,Betis,Youssouf Sabaly,23,SEN,RB,29-243,45,0,1,0,0,1,0,0,0,32,1,1,1,0.1,0.1,0.5,1,1,24,27,88.9,2,26,2,1,1
f7b5cc09,Betis,Sergio Canales,10,ESP,CM,31-260,45,0,0,0,0,3,0,0,0,71,2,0,1,0.3,0.3,0.1,6,1,58,65,89.2,10,46,4,0,0
f7b5cc09,Betis,Rui Silva,13,POR,GK,28-269,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,27,28,96.4,0,17,0,0,0
f7b5cc09,HJK,Malik Abubakari,77,GHA,FW,22-177,79,0,0,0,0,4,1,0,0,24,0,1,0,0.5,0.5,0.0,2,0,13,14,92.9,1,16,2,4,1
f7b5cc09,HJK,Bojan Radulovic,18,SRB,FW,22-309,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,4,0,0,0
f7b5cc09,HJK,Nassim Boujellab,10,MAR,AM,23-136,79,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.2,2,0,14,21,66.7,2,15,2,3,0
f7b5cc09,HJK,Johannes Yli-Kokko,58,FIN,AM,21-071,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,4,1,0,0
f7b5cc09,HJK,Santeri Hostikka,7,FIN,AM,25-034,66,0,0,0,0,2,2,0,0,31,1,0,2,0.1,0.1,0.0,0,0,15,23,65.2,4,22,2,1,0
f7b5cc09,HJK,Anthony Olusanya,29,FIN,AM,22-056,24,0,0,0,0,0,0,0,0,12,2,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,5,0,2,0
