match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
07f058d4,Dinamo Zagreb,Mislav Oršić,99,CRO,FW,29-251,76,1,0,0,0,4,1,0,0,32,1,1,0,0.6,0.6,0.0,1,0,11,18,61.1,0,22,3,0,0
07f058d4,Dinamo Zagreb,Dario Špikić,77,CRO,FW,23-168,14,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,4,5,80.0,1,4,0,3,2
07f058d4,Dinamo Zagreb,Bruno Petković,9,CRO,FW,27-355,89,0,1,0,0,0,0,0,0,50,3,1,1,0.0,0.0,0.4,2,1,22,35,62.9,5,35,0,5,1
07f058d4,Dinamo Zagreb,Josip Drmić,18,SUI,FW,30-029,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,1,0,0
07f058d4,Dinamo Zagreb,Robert Ljubicic,14,AUT,LW,23-054,90,0,0,0,0,0,0,0,0,61,4,1,5,0.0,0.0,0.1,3,1,33,44,75.0,2,23,2,0,0
07f058d4,Dinamo Zagreb,Sadegh Moharrami,2,IRN,RW,26-189,75,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.1,1,0,15,16,93.8,4,15,1,0,0
07f058d4,Dinamo Zagreb,Rasmus Lauritsen,6,DEN,CB,26-191,15,0,0,0,0,0,0,0,0,2,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
07f058d4,Dinamo Zagreb,Arijan Ademi,5,MKD,CM,31-100,87,0,0,0,0,1,1,0,0,28,1,0,2,0.0,0.0,0.0,0,0,10,13,76.9,1,15,0,4,1
07f058d4,Dinamo Zagreb,Martin Baturina,10,CRO,CM,19-202,3,0,0,0,0,0,0,1,0,4,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,4,0,1,0
07f058d4,Dinamo Zagreb,Luka Ivanušec,7,CRO,CM,23-284,90,0,0,0,0,0,0,0,0,46,1,1,0,0.0,0.0,0.0,3,0,33,37,89.2,4,32,4,6,3
07f058d4,Dinamo Zagreb,Josip Mišić,27,CRO,DM,28-070,90,0,0,0,0,0,0,0,0,43,1,0,2,0.0,0.0,0.0,2,0,35,38,92.1,2,23,0,1,1
07f058d4,Dinamo Zagreb,Dino Perić,55,CRO,CB,28-056,90,0,0,0,0,0,0,0,0,47,2,2,5,0.0,0.0,0.0,0,0,22,27,81.5,1,18,1,0,0
07f058d4,Dinamo Zagreb,Josip Šutalo,37,CRO,CB,22-190,90,0,0,0,0,0,0,0,0,33,0,1,2,0.0,0.0,0.0,0,0,22,25,88.0,0,24,0,3,2
07f058d4,Dinamo Zagreb,Stefan Ristovski,13,MKD,"CB,RW",30-206,90,0,0,0,0,1,1,0,0,53,2,2,2,0.0,0.0,0.0,0,0,26,38,68.4,1,24,2,1,0
07f058d4,Dinamo Zagreb,Dominik Livaković,40,CRO,GK,27-240,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,21,43,48.8,0,20,0,0,0
07f058d4,Chelsea,Pierre-Emerick Aubameyang,9,GAB,FW,33-080,58,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.1,1,0,9,14,64.3,1,11,1,0,0
07f058d4,Chelsea,Armando Broja,18,ALB,FW,20-361,32,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,1,9,0,0,0
07f058d4,Chelsea,Raheem Sterling,17,ENG,LW,27-272,74,0,0,0,0,0,0,0,0,55,2,0,0,0.0,0.0,0.0,0,0,35,48,72.9,5,44,6,3,0
07f058d4,Chelsea,Christian Pulisic,10,USA,LW,23-353,16,0,0,0,0,1,0,0,0,11,1,0,0,0.2,0.2,0.0,0,0,5,7,71.4,0,6,0,1,0
07f058d4,Chelsea,Kai Havertz,29,GER,RW,23-087,90,0,0,0,0,3,1,0,0,42,2,0,1,0.3,0.3,0.1,1,0,25,31,80.6,2,32,3,6,4
07f058d4,Chelsea,Ben Chilwell,21,ENG,LM,25-259,70,0,0,0,0,0,0,0,0,50,1,1,1,0.0,0.0,0.0,1,0,33,42,78.6,1,25,0,1,0
07f058d4,Chelsea,Marc Cucurella,32,ESP,CB,24-046,20,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,27,27,100.0,4,19,2,0,0
07f058d4,Chelsea,Mateo Kovačić,8,CRO,CM,28-123,58,0,0,0,0,0,0,0,0,103,1,1,1,0.0,0.0,0.0,3,0,83,93,89.2,14,71,3,4,3
07f058d4,Chelsea,Jorginho,5,ITA,CM,30-260,32,0,0,0,0,0,0,0,0,53,7,0,1,0.0,0.0,0.1,4,0,38,44,86.4,12,35,6,0,0
07f058d4,Chelsea,Mason Mount,19,ENG,CM,23-239,90,0,0,0,0,5,1,1,0,93,5,0,2,0.3,0.3,0.1,6,0,66,78,84.6,11,53,1,0,0
07f058d4,Chelsea,Reece James,24,ENG,"RM,CB",22-272,90,0,0,0,0,1,0,0,0,79,1,0,5,0.0,0.0,0.0,4,0,60,72,83.3,10,52,3,4,2
07f058d4,Chelsea,Kalidou Koulibaly,26,SEN,CB,31-078,90,0,0,0,0,0,0,1,0,67,2,2,0,0.0,0.0,0.2,1,0,54,59,91.5,7,40,2,1,1
07f058d4,Chelsea,Wesley Fofana,33,FRA,CB,21-263,90,0,0,0,0,0,0,0,0,97,5,1,0,0.0,0.0,0.2,3,0,75,88,85.2,7,65,6,1,1
07f058d4,Chelsea,César Azpilicueta,28,ESP,CB,33-009,45,0,0,0,0,0,0,0,0,48,2,0,0,0.0,0.0,0.0,0,0,36,45,80.0,0,23,0,0,0
07f058d4,Chelsea,Hakim Ziyech,22,MAR,"LM,RM",29-171,45,0,0,0,0,5,1,0,0,46,0,0,1,0.2,0.2,0.0,3,0,22,34,64.7,3,31,6,4,1
07f058d4,Chelsea,Kepa Arrizabalaga,1,ESP,GK,27-338,90,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,7,0,0,0
