match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4c1e52e5,Napoli,Victor Osimhen,9,NGA,FW,24-076,80,2,0,0,0,3,3,0,0,28,0,1,0,1.3,1.3,0.0,1,0,9,14,64.3,2,23,3,4,2
4c1e52e5,Napoli,Giovanni Simeone,18,ARG,FW,27-253,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0
4c1e52e5,Napoli,Khvicha Kvaratskhelia,77,GEO,LW,22-031,73,0,0,0,0,4,3,0,0,34,1,1,0,0.6,0.6,0.2,3,0,15,21,71.4,5,29,4,4,3
4c1e52e5,Napoli,Elif Elmas,7,MKD,LW,23-172,17,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,0,12,0,1,0
4c1e52e5,Napoli,Matteo Politano,21,ITA,RW,29-224,66,0,1,0,0,1,1,0,0,43,0,0,2,0.0,0.0,0.1,4,2,21,33,63.6,8,33,7,2,1
4c1e52e5,Napoli,Hirving Lozano,11,MEX,RW,27-228,24,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,10,10,100.0,1,7,1,1,1
4c1e52e5,Napoli,Piotr Zieliński,20,POL,LM,28-299,73,1,0,1,1,0,0,0,0,43,2,0,1,0.8,0.0,0.6,7,1,31,36,86.1,4,31,4,4,3
4c1e52e5,Napoli,Tanguy Ndombele,91,FRA,LM,26-077,17,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,13,13,100.0,1,11,1,4,3
4c1e52e5,Napoli,Stanislav Lobotka,68,SVK,CM,28-110,90,0,0,0,0,0,0,0,0,77,1,2,0,0.0,0.0,0.0,1,1,67,71,94.4,4,58,0,2,0
4c1e52e5,Napoli,Andre-Frank Zambo Anguissa,99,CMR,RM,27-119,90,0,0,0,0,1,0,0,0,82,1,1,1,0.1,0.1,0.0,1,0,70,75,93.3,1,71,0,2,1
