match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
74aed880,Ajax,Mohammed Kudus,20,GHA,"FW,RW",22-063,90,1,0,0,0,1,1,1,0,29,0,2,1,0.9,0.9,0.0,1,0,16,22,72.7,4,12,1,2,2
74aed880,Ajax,Steven Bergwijn,7,NED,LW,24-361,90,0,0,0,0,1,0,0,0,32,1,1,0,0.2,0.2,0.1,4,0,23,27,85.2,4,23,3,1,0
74aed880,Ajax,Dušan Tadić,10,SRB,RW,33-318,72,0,0,0,0,0,0,2,1,33,1,0,4,0.0,0.0,0.0,0,0,12,24,50.0,1,14,2,1,1
74aed880,Ajax,Steven Berghuis,23,NED,AM,30-289,71,0,0,0,0,2,0,0,0,43,1,0,2,0.1,0.1,0.1,2,0,24,37,64.9,4,21,0,0,0
74aed880,Ajax,Brian Brobbey,9,NED,"FW,AM",20-245,19,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
74aed880,Ajax,Kenneth Taylor,8,NED,DM,20-141,71,0,1,0,0,2,1,0,0,45,0,0,3,0.2,0.2,0.9,1,1,27,35,77.1,2,25,2,2,2
74aed880,Ajax,Davy Klaassen,6,NED,DM,29-225,19,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
74aed880,Ajax,Edson Álvarez,4,MEX,"DM,CB",24-345,90,0,0,0,0,2,0,0,0,56,2,2,0,0.1,0.1,0.0,0,0,36,44,81.8,0,17,0,0,0
74aed880,Ajax,Daley Blind,17,NED,LB,32-209,90,0,0,0,0,0,0,0,0,52,5,0,2,0.0,0.0,0.0,1,0,28,45,62.2,5,30,0,1,0
74aed880,Ajax,Calvin Bassey,3,NGA,CB,22-277,90,0,0,0,0,0,0,0,0,66,3,1,4,0.0,0.0,0.0,0,0,44,54,81.5,2,34,0,1,0
74aed880,Ajax,Jurriën Timber,2,NED,CB,21-109,79,0,0,0,0,0,0,1,0,46,0,2,1,0.0,0.0,0.0,0,0,36,40,90.0,1,25,0,0,0
74aed880,Ajax,Florian Grillitsch,21,AUT,DM,27-058,11,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
74aed880,Ajax,Devyne Rensch,15,NED,RB,19-259,83,0,0,0,0,0,0,0,0,37,6,2,0,0.0,0.0,0.0,0,0,16,24,66.7,0,11,0,1,0
74aed880,Ajax,Youri Baas,25,NED,RB,19-201,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,1,0,0,0
74aed880,Ajax,Remko Pasveer,22,NED,GK,38-330,90,0,0,0,0,0,0,0,0,61,0,0,0,0.0,0.0,0.0,0,0,30,57,52.6,0,42,0,0,0
74aed880,Napoli,Giacomo Raspadori,81,ITA,FW,22-228,63,2,1,0,0,3,2,1,0,33,1,0,0,0.3,0.3,0.3,4,2,16,25,64.0,2,22,1,0,0
74aed880,Napoli,Giovanni Simeone,18,ARG,FW,27-091,27,1,0,0,0,3,2,0,0,17,0,0,0,0.6,0.6,0.1,1,0,9,13,69.2,0,13,1,0,0
74aed880,Napoli,Khvicha Kvaratskhelia,77,GEO,LW,21-234,63,1,1,0,0,5,3,0,0,35,2,0,0,0.8,0.8,0.2,4,2,11,15,73.3,0,19,1,6,1
74aed880,Napoli,Elif Elmas,7,MKD,LW,23-010,27,0,0,0,0,2,0,0,0,21,0,0,2,0.1,0.1,0.1,3,0,13,15,86.7,2,13,1,0,0
74aed880,Napoli,Hirving Lozano,11,MEX,RW,27-066,90,0,0,0,0,3,0,0,0,36,1,2,1,0.2,0.2,0.4,5,0,16,22,72.7,2,24,2,5,1
74aed880,Napoli,Piotr Zieliński,20,POL,LM,28-137,45,1,0,0,0,2,2,0,0,31,1,2,0,0.6,0.6,0.1,5,1,19,24,79.2,1,20,1,0,0
