match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
8e933a97,Porto,Mehdi Taremi,9,IRN,FW,30-078,90,0,2,0,0,3,0,0,0,36,1,0,1,0.2,0.2,0.5,3,2,15,28,53.6,4,18,2,1,0
8e933a97,Porto,Evanilson,30,BRA,FW,22-363,70,0,0,0,0,1,0,0,0,25,0,1,1,0.0,0.0,0.0,2,0,14,18,77.8,1,15,2,0,0
8e933a97,Porto,Toni Martínez,29,ESP,FW,25-096,20,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,2,5,40.0,0,6,1,0,0
8e933a97,Porto,Pepê,11,BRA,"LM,RB",25-222,90,0,0,0,0,0,0,0,0,52,1,1,0,0.0,0.0,0.0,3,1,28,40,70.0,2,30,1,6,3
8e933a97,Porto,Mateus Uribe,8,COL,CM,31-197,82,0,0,0,0,1,1,1,0,47,2,3,0,0.0,0.0,0.0,3,0,25,36,69.4,3,25,0,0,0
8e933a97,Porto,Marko Grujić,16,SRB,CM,26-174,8,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0
8e933a97,Porto,Stephen Eustáquio,46,CAN,CM,25-287,90,0,0,0,0,3,1,0,0,50,4,4,1,0.2,0.2,0.0,1,0,21,31,67.7,2,22,0,1,1
8e933a97,Porto,Bruno Xavier Almeida Costa,28,POR,RM,25-168,45,0,0,0,0,1,0,0,0,15,0,1,0,0.0,0.0,0.0,2,0,8,12,66.7,3,10,0,0,0
8e933a97,Porto,Otávio,25,POR,RM,27-237,45,0,0,0,0,1,0,0,0,32,2,0,1,0.2,0.2,0.0,2,0,17,23,73.9,2,17,1,3,2
8e933a97,Porto,Wendell,22,BRA,LB,29-076,62,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,0,0,36,43,83.7,5,18,3,2,2
8e933a97,Porto,Zaidu Sanusi,12,NGA,LB,25-113,28,1,0,0,0,1,1,0,0,17,1,0,0,0.1,0.1,0.0,0,0,9,14,64.3,0,10,1,0,0
8e933a97,Porto,David Carmo,4,ANG,CB,23-077,90,0,0,0,0,0,0,1,0,32,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,1,20,0,0,0
8e933a97,Porto,Pepe,3,POR,CB,39-220,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,1,0,33,43,76.7,2,26,0,0,0
8e933a97,Porto,João Mário Lopes,23,POR,RB,22-274,62,0,0,0,0,0,0,1,0,28,3,1,1,0.0,0.0,0.0,0,0,9,14,64.3,1,10,2,2,0
8e933a97,Porto,Galeno,13,BRA,LM,24-347,28,1,0,0,0,1,1,0,0,10,0,1,1,0.5,0.5,0.2,2,1,5,6,83.3,1,8,2,2,1
8e933a97,Porto,Diogo Costa,99,POR,GK,23-015,90,0,0,0,0,0,0,0,0,38,0,0,0,0.0,0.0,0.0,1,0,26,35,74.3,0,27,0,0,0
8e933a97,Leverkusen,Patrik Schick,14,CZE,FW,26-253,90,0,0,0,1,2,2,0,0,27,0,0,0,1.1,0.3,0.0,0,0,13,18,72.2,0,10,1,0,0
8e933a97,Leverkusen,Callum Hudson-Odoi,17,ENG,LW,21-331,85,0,0,0,0,1,0,0,0,45,1,1,0,0.1,0.1,0.1,2,0,28,37,75.7,5,28,4,3,0
8e933a97,Leverkusen,Timothy Fosu-Mensah,24,NED,RB,24-275,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
8e933a97,Leverkusen,Moussa Diaby,19,FRA,"RW,CM",23-089,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.2,3,0,28,37,75.7,4,29,4,6,5
8e933a97,Leverkusen,Adam Hložek,23,CZE,AM,20-071,71,0,0,0,0,2,2,0,0,28,0,0,0,0.1,0.1,0.0,1,0,12,20,60.0,3,12,2,2,1
8e933a97,Leverkusen,Amine Adli,21,MAR,"AM,LM",22-147,19,0,0,0,0,1,1,0,0,21,2,0,1,0.0,0.0,0.0,0,0,8,11,72.7,1,11,1,3,1
8e933a97,Leverkusen,Charles Aránguiz,20,CHI,DM,33-170,78,0,0,0,0,0,0,0,0,59,2,1,3,0.0,0.0,0.0,1,0,44,48,91.7,2,17,0,0,0
8e933a97,Leverkusen,Nadiem Amiri,11,GER,"CM,DM",25-342,12,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,3,0,0,0
8e933a97,Leverkusen,Robert Andrich,8,GER,DM,28-012,71,0,0,0,0,0,0,1,0,40,1,0,2,0.0,0.0,0.1,2,0,27,34,79.4,4,11,1,0,0
8e933a97,Leverkusen,Kerem Demirbay,10,GER,DM,29-093,19,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.0,1,0,18,22,81.8,1,12,0,0,0
8e933a97,Leverkusen,Piero Hincapié,3,ECU,LB,20-268,90,0,0,0,0,0,0,1,0,73,5,0,0,0.0,0.0,0.0,1,0,48,62,77.4,4,32,6,1,0
8e933a97,Leverkusen,Edmond Tapsoba,12,BFA,CB,23-244,90,0,0,0,0,0,0,0,0,88,0,1,0,0.0,0.0,0.2,1,0,69,79,87.3,4,50,0,1,0
