match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a06ccad8,Celtic,Kyogo Furuhashi,8,JPN,FW,27-264,65,0,0,0,0,2,0,0,0,22,0,0,2,0.3,0.3,0.0,0,0,6,15,40.0,1,19,1,0,0
a06ccad8,Celtic,Giorgos Giakoumakis,7,GRE,FW,27-306,25,0,0,0,0,3,0,0,0,7,0,0,0,0.6,0.6,0.0,1,0,1,3,33.3,0,6,0,0,0
a06ccad8,Celtic,Daizen Maeda,38,JPN,LW,24-356,79,0,0,0,0,2,0,0,0,33,2,0,1,0.4,0.4,0.0,1,0,14,24,58.3,1,24,1,1,1
a06ccad8,Celtic,Alexandro Bernabei,25,ARG,LW,22-017,11,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,2,0,4,4,100.0,0,5,0,2,1
a06ccad8,Celtic,Liel Abada,11,ISR,RW,21-008,41,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.4,2,0,7,13,53.8,2,11,1,1,0
a06ccad8,Celtic,James Forrest,49,SCO,RW,31-096,49,0,0,0,0,0,0,0,0,29,1,0,1,0.0,0.0,0.5,3,0,15,24,62.5,2,20,2,1,0
a06ccad8,Celtic,Sead Haksabanović,9,MNE,AM,23-160,65,0,0,0,0,1,1,0,0,31,0,0,1,0.0,0.0,0.4,8,0,20,24,83.3,6,19,1,1,1
a06ccad8,Celtic,David Turnbull,14,SCO,AM,23-093,25,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,2,0,14,17,82.4,3,14,1,1,0
a06ccad8,Celtic,Reo Hatate,41,JPN,DM,24-324,65,0,0,0,0,0,0,1,0,37,1,0,0,0.0,0.0,0.0,0,0,25,34,73.5,4,36,0,1,1
a06ccad8,Celtic,Aaron Mooy,13,AUS,DM,32-026,25,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.1,2,0,11,15,73.3,2,11,1,0,0
a06ccad8,Celtic,Matt O'Riley,33,DEN,DM,21-324,90,0,0,0,0,2,1,0,0,67,8,2,4,0.1,0.1,0.2,3,0,41,49,83.7,8,40,0,1,0
a06ccad8,Celtic,Greg Taylor,3,SCO,LB,24-340,90,0,0,0,0,1,0,0,0,82,1,1,2,0.2,0.2,0.1,2,0,59,73,80.8,8,48,1,1,0
a06ccad8,Celtic,Moritz Jenz,6,GER,CB,23-164,90,0,0,0,0,1,0,0,0,81,2,3,3,0.1,0.1,0.0,0,0,63,69,91.3,4,59,1,0,0
a06ccad8,Celtic,Cameron Carter-Vickers,20,USA,CB,24-284,90,0,0,0,0,1,0,0,0,64,1,0,1,0.0,0.0,0.0,0,0,47,52,90.4,0,44,1,0,0
a06ccad8,Celtic,Josip Juranović,88,CRO,RB,27-056,90,0,0,0,0,1,0,1,0,48,2,0,0,0.0,0.0,0.0,1,0,33,40,82.5,7,28,1,1,1
a06ccad8,Celtic,Joe Hart,1,ENG,GK,35-175,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,22,24,91.7,0,22,0,0,0
a06ccad8,RB Leipzig,André Silva,19,POR,FW,26-339,75,0,1,0,0,0,0,0,0,35,1,0,1,0.0,0.0,0.2,6,1,22,29,75.9,8,24,3,2,2
a06ccad8,RB Leipzig,Yussuf Poulsen,9,DEN,RW,28-118,15,0,0,0,0,0,0,0,0,9,1,0,1,0.0,0.0,0.0,0,0,2,5,40.0,0,4,0,0,0
a06ccad8,RB Leipzig,Timo Werner,11,GER,"LW,FW",26-219,90,1,1,0,0,3,1,0,0,68,1,0,0,0.3,0.3,0.3,3,1,43,56,76.8,7,63,6,4,1
a06ccad8,RB Leipzig,Dominik Szoboszlai,17,HUN,RW,21-351,75,0,0,0,0,1,0,0,0,51,1,0,1,0.3,0.3,0.2,3,0,40,46,87.0,7,39,2,2,1
a06ccad8,RB Leipzig,Emil Forsberg,10,SWE,LW,30-353,15,1,0,0,0,1,1,0,0,8,1,0,0,0.2,0.2,0.0,0,0,4,5,80.0,1,6,0,1,1
a06ccad8,RB Leipzig,Christopher Nkunku,18,FRA,AM,24-331,87,0,0,0,0,3,2,0,0,34,0,0,1,0.3,0.3,0.1,2,0,24,25,96.0,4,31,4,3,0
a06ccad8,RB Leipzig,Hugo Novoa,38,ESP,AM,19-283,3,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,6,0,1,0
a06ccad8,RB Leipzig,Xaver Schlager,24,AUT,DM,25-013,90,0,0,0,0,0,0,0,0,70,0,0,1,0.0,0.0,0.0,2,1,56,61,91.8,5,59,1,3,3
a06ccad8,RB Leipzig,Amadou Haidara,8,MLI,DM,24-253,82,0,0,0,0,2,0,0,0,71,5,2,3,0.1,0.1,0.3,3,0,51,57,89.5,9,57,1,2,1
a06ccad8,RB Leipzig,Abdou Diallo,37,SEN,DM,26-160,8,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,1,1,8,9,88.9,1,8,0,1,1
a06ccad8,RB Leipzig,David Raum,22,GER,LB,24-172,90,0,0,0,0,0,0,0,0,87,3,0,2,0.0,0.0,0.4,2,0,63,78,80.8,2,56,3,1,1
a06ccad8,RB Leipzig,Joško Gvardiol,32,CRO,CB,20-261,90,0,0,0,0,0,0,0,0,103,2,2,0,0.0,0.0,0.0,0,0,82,90,91.1,4,85,0,0,0
a06ccad8,RB Leipzig,Willi Orban,4,HUN,CB,29-342,90,0,0,0,0,2,1,0,0,87,0,0,2,0.3,0.3,0.0,1,0,72,76,94.7,4,68,0,0,0
a06ccad8,RB Leipzig,Mohamed Simakan,2,FRA,RB,22-161,75,0,0,0,0,1,0,0,0,66,1,1,0,0.1,0.1,0.1,2,0,46,59,78.0,4,49,0,3,2
a06ccad8,RB Leipzig,Benjamin Henrichs,39,GER,RB,25-230,15,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,9,10,90.0,1,9,0,0,0
a06ccad8,RB Leipzig,Janis Blaswich,21,GER,GK,31-162,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,40,47,85.1,0,35,0,0,0
