match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b3370170,Napoli,Victor Osimhen,9,NGA,FW,24-110,90,1,0,0,0,4,1,0,0,22,0,0,0,0.3,0.3,0.0,0,0,9,13,69.2,2,9,0,1,1
b3370170,Napoli,Khvicha Kvaratskhelia,77,GEO,LW,22-065,90,0,0,0,1,5,1,0,0,86,0,0,1,1.0,0.2,0.6,11,1,53,65,81.5,4,55,15,18,10
b3370170,Napoli,Matteo Politano,21,ITA,RW,29-258,33,0,0,0,0,2,0,0,0,20,1,0,0,0.1,0.1,0.0,2,0,11,18,61.1,1,15,5,2,1
b3370170,Napoli,Hirving Lozano,11,MEX,RW,27-262,57,0,0,0,0,2,0,0,0,39,2,0,1,0.1,0.1,0.0,4,0,24,33,72.7,3,33,7,3,3
b3370170,Napoli,Piotr Zieliński,20,POL,LM,28-333,73,0,0,0,0,2,1,0,0,65,0,0,0,0.1,0.1,0.0,3,0,48,60,80.0,9,50,0,2,0
b3370170,Napoli,Giacomo Raspadori,81,ITA,AM,23-059,17,0,1,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.1,3,1,8,11,72.7,0,5,1,0,0
b3370170,Napoli,Stanislav Lobotka,68,SVK,"CM,DM",28-144,90,0,0,0,0,1,0,0,0,82,2,0,0,0.0,0.0,0.1,4,0,74,78,94.9,8,68,5,0,0
b3370170,Napoli,Tanguy Ndombele,91,FRA,RM,26-111,62,0,0,0,0,2,0,0,0,61,0,1,0,0.1,0.1,0.0,5,0,43,51,84.3,7,44,1,3,3
b3370170,Napoli,Elif Elmas,7,MKD,"DM,RM",23-206,28,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,23,27,85.2,2,23,1,0,0
b3370170,Napoli,Mário Rui,6,POR,LB,31-326,33,0,0,0,0,1,0,0,0,25,1,0,0,0.1,0.1,0.0,1,0,14,23,60.9,1,16,0,0,0
b3370170,Napoli,Mathías Olivera,17,URU,LB,25-169,57,0,0,0,0,2,0,1,0,63,1,1,0,0.4,0.4,0.1,1,0,48,55,87.3,6,47,3,0,0
b3370170,Napoli,Juan Jesus,5,BRA,CB,31-312,90,0,0,0,0,0,0,0,0,84,2,1,1,0.0,0.0,0.0,0,0,73,78,93.6,11,63,0,0,0
b3370170,Napoli,Amir Rrahmani,13,KVX,CB,29-053,73,0,0,0,0,1,0,0,0,65,1,0,1,0.0,0.0,0.0,0,0,57,61,93.4,5,53,1,0,0
b3370170,Napoli,Leo Skiri Østigård,55,NOR,CB,23-141,17,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,1,0,6,9,66.7,2,6,0,0,0
b3370170,Napoli,Giovanni Di Lorenzo,22,ITA,RB,29-257,90,0,0,0,0,0,0,1,0,70,2,1,1,0.0,0.0,0.2,7,0,51,66,77.3,9,56,4,2,1
b3370170,Napoli,Alex Meret,1,ITA,GK,26-027,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,23,23,100.0,0,14,0,0,0
b3370170,Milan,Olivier Giroud,9,FRA,FW,36-200,67,1,0,0,1,2,2,0,0,23,0,0,0,1.9,1.1,0.0,1,0,7,12,58.3,0,9,0,0,0
b3370170,Milan,Divock Origi,27,BEL,"LW,FW",28-000,23,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,3,0,0,0
b3370170,Milan,Rafael Leão,17,POR,"LW,FW",23-312,83,0,1,0,0,1,0,0,0,27,0,1,0,0.1,0.1,0.8,3,2,10,18,55.6,2,21,5,6,4
b3370170,Milan,Alexis Saelemaekers,56,BEL,LW,23-295,7,0,0,0,0,1,1,0,0,7,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,5,2,1,1
b3370170,Milan,Brahim Díaz,10,MAR,RW,23-258,58,0,0,0,0,0,0,0,0,15,1,3,0,0.0,0.0,0.0,0,0,7,9,77.8,1,9,1,2,0
b3370170,Milan,Junior Messias,30,BRA,RW,31-340,32,0,0,0,0,1,0,0,0,11,0,0,2,0.1,0.1,0.0,0,0,3,7,42.9,0,6,2,3,2
b3370170,Milan,Ismaël Bennacer,4,ALG,AM,25-138,90,0,0,0,0,0,0,0,0,35,2,0,2,0.0,0.0,0.0,1,0,13,19,68.4,1,19,0,10,5
b3370170,Milan,Sandro Tonali,8,ITA,DM,22-345,90,0,0,0,0,0,0,0,0,39,1,0,3,0.0,0.0,0.3,2,0,17,28,60.7,1,17,0,0,0
b3370170,Milan,Rade Krunić,33,BIH,DM,29-193,90,0,0,0,0,0,0,0,0,32,3,1,5,0.0,0.0,0.0,0,0,19,20,95.0,0,15,0,0,0
b3370170,Milan,Theo Hernández,19,FRA,LB,25-194,90,0,0,0,0,0,0,1,0,42,1,0,1,0.0,0.0,0.0,1,0,20,24,83.3,3,10,1,0,0
b3370170,Milan,Fikayo Tomori,23,ENG,CB,25-120,90,0,0,0,0,0,0,0,0,35,0,1,3,0.0,0.0,0.0,1,0,19,22,86.4,0,12,0,0,0
b3370170,Milan,Simon Kjær,24,DEN,CB,34-023,90,0,0,0,0,0,0,0,0,35,1,0,1,0.0,0.0,0.1,1,0,18,25,72.0,1,16,0,0,0
b3370170,Milan,Davide Calabria,2,ITA,RB,26-133,90,0,0,0,0,0,0,0,0,41,8,6,1,0.0,0.0,0.0,0,0,11,21,52.4,0,9,0,0,0
b3370170,Milan,Mike Maignan,16,FRA,GK,27-289,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,0,0,27,35,77.1,0,18,0,0,0
