match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
bb96bfe0,RB Leipzig,André Silva,19,POR,FW,26-353,68,0,1,0,0,1,1,0,0,30,4,0,1,0.0,0.0,0.0,1,1,13,18,72.2,1,15,0,1,0
bb96bfe0,RB Leipzig,Timo Werner,11,GER,FW,26-233,22,1,0,0,0,3,1,0,0,16,0,0,0,1.1,1.1,0.0,1,0,11,13,84.6,1,13,1,0,0
bb96bfe0,RB Leipzig,Emil Forsberg,10,SWE,LW,31-002,68,0,0,0,0,0,0,0,0,37,1,1,1,0.0,0.0,0.0,2,0,24,28,85.7,4,27,0,1,0
bb96bfe0,RB Leipzig,Dani Olmo,7,ESP,LW,24-171,22,0,0,0,0,1,0,0,0,15,2,0,0,0.0,0.0,0.1,1,0,5,11,45.5,1,10,2,0,0
bb96bfe0,RB Leipzig,Dominik Szoboszlai,17,HUN,RW,22-000,90,0,0,0,0,2,1,0,0,56,1,0,0,0.2,0.2,0.1,5,1,41,50,82.0,7,41,0,2,0
bb96bfe0,RB Leipzig,Christopher Nkunku,18,FRA,AM,24-345,90,1,0,0,0,3,1,0,0,53,0,0,0,0.2,0.2,0.4,6,1,36,41,87.8,4,44,3,5,3
bb96bfe0,RB Leipzig,Amadou Haidara,8,MLI,DM,24-267,83,0,0,0,0,2,1,0,0,46,3,4,0,0.1,0.1,0.0,4,1,37,37,100.0,3,32,0,1,0
bb96bfe0,RB Leipzig,Kevin Kampl,44,SVN,DM,32-016,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,1,0,0,0
bb96bfe0,RB Leipzig,Xaver Schlager,24,AUT,DM,25-027,90,0,0,0,0,0,0,0,0,64,3,0,3,0.0,0.0,0.0,1,0,52,58,89.7,3,49,0,0,0
bb96bfe0,RB Leipzig,David Raum,22,GER,LB,24-186,68,0,0,0,0,0,0,0,0,51,2,0,0,0.0,0.0,0.0,1,0,40,47,85.1,1,33,1,0,0
