match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e9a8a801,Club Brugge,Noa Lang,10,NED,"FW,LW",23-243,90,0,0,0,0,1,0,0,0,75,4,0,1,0.0,0.0,0.0,3,0,43,59,72.9,3,53,4,16,12
e9a8a801,Club Brugge,Tajon Buchanan,17,CAN,"LW,RW",24-007,90,0,0,0,0,1,1,0,0,31,1,0,2,0.1,0.1,0.0,0,0,13,19,68.4,0,21,2,7,4
e9a8a801,Club Brugge,Kamal Sowah,19,GHA,RW,23-037,78,0,0,0,0,1,0,1,0,52,2,2,0,0.0,0.0,0.0,0,0,36,42,85.7,2,35,0,2,2
e9a8a801,Club Brugge,Ferran Jutglà,9,ESP,FW,24-014,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,4,0,2,1
e9a8a801,Club Brugge,Hans Vanaken,20,BEL,"AM,LM",30-175,90,0,0,0,0,0,0,0,0,56,0,3,3,0.0,0.0,0.0,0,0,35,45,77.8,5,38,3,0,0
e9a8a801,Club Brugge,Raphael Onyedika,15,NGA,"DM,CM",21-302,90,0,0,0,0,1,0,0,0,50,0,2,1,0.0,0.0,0.0,0,0,31,39,79.5,0,40,1,2,1
e9a8a801,Club Brugge,Denis Odoi,6,GHA,DM,34-264,64,0,0,0,0,0,0,1,0,43,1,0,4,0.0,0.0,0.0,1,0,23,29,79.3,1,25,0,2,0
e9a8a801,Club Brugge,Casper Nielsen,27,DEN,RM,28-292,26,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,0,0,7,8,87.5,0,6,0,0,0
e9a8a801,Club Brugge,Bjorn Meijer,14,NED,LB,19-334,90,0,0,0,0,0,0,0,0,58,1,2,0,0.0,0.0,0.1,1,0,33,51,64.7,5,38,1,1,0
e9a8a801,Club Brugge,Brandon Mechele,44,BEL,CB,30-018,90,0,0,0,0,0,0,0,0,64,3,3,1,0.0,0.0,0.0,1,0,40,48,83.3,1,37,0,0,0
e9a8a801,Club Brugge,Jack Hendry,5,SCO,CB,27-284,90,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.0,1,0,44,56,78.6,2,46,0,0,0
e9a8a801,Club Brugge,Clinton Mata,77,ANG,RB,30-100,90,0,0,0,0,0,0,0,0,87,1,3,2,0.0,0.0,0.0,1,0,61,79,77.2,5,64,3,2,1
e9a8a801,Club Brugge,Simon Mignolet,22,BEL,GK,34-346,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,33,81.8,0,19,0,0,0
e9a8a801,Benfica,Gonçalo Ramos,88,POR,FW,21-240,64,0,0,0,0,4,1,0,0,25,0,0,0,0.9,0.9,0.0,2,1,11,16,68.8,0,16,1,2,2
e9a8a801,Benfica,Gonçalo Guedes,15,POR,FW,26-078,26,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,9,12,75.0,2,14,2,2,2
e9a8a801,Benfica,Fredrik Aursnes,8,NOR,LW,27-067,90,0,0,0,0,1,0,0,0,59,2,2,3,0.1,0.1,0.0,2,1,29,45,64.4,3,40,0,4,2
e9a8a801,Benfica,João Mário,20,POR,RW,30-027,89,1,0,1,1,0,0,0,0,71,1,1,2,0.8,0.0,0.5,4,0,51,60,85.0,5,57,1,2,1
e9a8a801,Benfica,João Neves,87,POR,"AM,RW",18-141,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
e9a8a801,Benfica,Rafa Silva,27,POR,AM,29-274,64,0,0,0,0,2,1,0,0,37,1,0,2,0.3,0.3,0.1,5,1,20,27,74.1,4,30,3,0,0
e9a8a801,Benfica,David Neres,7,BRA,AM,25-349,26,1,0,0,0,1,1,0,0,16,1,0,0,0.4,0.4,0.0,2,1,6,12,50.0,2,13,1,2,0
e9a8a801,Benfica,Chiquinho,22,POR,DM,27-211,90,0,0,0,0,3,0,0,0,77,4,1,1,0.2,0.2,0.0,3,0,54,64,84.4,8,58,2,1,0
e9a8a801,Benfica,Florentino Luís,61,POR,DM,23-180,90,0,0,0,0,0,0,0,0,80,4,5,2,0.0,0.0,0.0,0,0,57,67,85.1,9,63,0,0,0
e9a8a801,Benfica,Álex Grimaldo,3,ESP,LB,27-148,90,0,0,0,0,0,0,0,0,61,1,3,1,0.0,0.0,0.5,3,0,39,47,83.0,1,34,2,2,2
e9a8a801,Benfica,Nicolás Otamendi,30,ARG,CB,35-003,90,0,0,0,0,0,0,1,0,81,1,0,1,0.0,0.0,0.5,3,0,70,78,89.7,3,68,1,0,0
e9a8a801,Benfica,António Silva,66,POR,CB,19-108,90,0,0,0,0,1,0,0,0,80,1,0,1,0.2,0.2,0.0,0,0,69,74,93.2,2,71,0,0,0
e9a8a801,Benfica,Alexander Bah,6,DEN,RB,25-068,90,0,0,0,0,0,0,0,0,97,2,2,1,0.0,0.0,0.0,1,0,71,91,78.0,7,64,2,4,3
e9a8a801,Benfica,Odisseas Vlachodimos,99,GRE,GK,28-295,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,27,28,96.4,0,23,0,0,0
