match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
efeb4639,Benfica,Gonçalo Ramos,88,POR,FW,21-078,45,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,0,0,13,16,81.3,0,12,0,0,0
efeb4639,Benfica,Petar Musa,33,CRO,FW,24-186,45,0,0,0,0,1,0,0,0,18,0,0,0,0.0,0.0,0.1,2,0,8,13,61.5,0,10,0,0,0
efeb4639,Benfica,João Mário,20,POR,"LW,RW",29-230,78,0,0,0,0,0,0,0,0,60,1,0,1,0.0,0.0,0.0,2,0,41,52,78.8,3,45,1,3,2
efeb4639,Benfica,Chiquinho,22,POR,RW,27-049,12,0,0,0,0,0,0,0,0,5,1,1,0,0.0,0.0,0.0,1,0,2,3,66.7,0,2,2,0,0
efeb4639,Benfica,David Neres,7,BRA,RW,25-187,64,0,0,0,0,1,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,21,29,72.4,4,31,4,4,1
efeb4639,Benfica,Fredrik Aursnes,8,NOR,RM,26-270,26,0,0,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.1,3,0,13,14,92.9,0,8,0,0,0
efeb4639,Benfica,Rafa Silva,27,POR,"AM,LW",29-112,78,1,0,0,0,3,2,0,0,40,1,0,0,0.5,0.5,0.1,5,1,19,25,76.0,3,35,5,7,4
efeb4639,Benfica,Diogo Gonçalves,17,POR,LW,25-212,12,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,6,1,1,1
efeb4639,Benfica,Enzo Fernández,13,ARG,"DM,LM",21-232,90,0,0,0,0,6,2,0,0,102,3,3,1,0.3,0.3,0.1,3,0,78,87,89.7,9,76,3,2,0
efeb4639,Benfica,Florentino Luís,61,POR,"DM,CM",23-018,90,0,0,0,0,1,0,0,0,69,1,3,1,0.1,0.1,0.0,2,1,52,59,88.1,9,42,1,0,0
efeb4639,Benfica,Álex Grimaldo,3,ESP,LB,26-351,90,1,1,0,0,2,1,0,0,86,3,1,1,0.0,0.0,0.3,2,1,57,71,80.3,6,53,1,2,1
efeb4639,Benfica,Nicolás Otamendi,30,ARG,CB,34-206,90,0,0,0,0,0,0,0,0,56,1,3,2,0.0,0.0,0.0,0,0,41,47,87.2,7,35,0,0,0
efeb4639,Benfica,António Silva,66,POR,CB,18-311,90,0,0,0,0,0,0,0,0,45,1,2,1,0.0,0.0,0.0,0,0,37,39,94.9,2,31,0,0,0
efeb4639,Benfica,Alexander Bah,6,DEN,RB,24-271,90,0,0,0,0,0,0,0,0,78,0,1,1,0.0,0.0,0.1,6,1,58,70,82.9,6,54,3,4,1
efeb4639,Benfica,Odisseas Vlachodimos,99,GRE,GK,28-133,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,24,34,70.6,0,24,0,0,0
efeb4639,Maccabi Haifa,Dean David,21,ISR,FW,26-176,45,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,4,1,0,0
efeb4639,Maccabi Haifa,Omer Atzili,7,ISR,FW,29-041,45,0,0,0,0,1,0,0,0,26,2,0,1,0.0,0.0,0.0,2,0,12,17,70.6,2,21,1,3,1
efeb4639,Maccabi Haifa,Frantzdy Pierrot,9,HAI,FW,27-161,78,0,0,0,0,0,0,0,0,25,0,0,3,0.0,0.0,0.0,0,0,10,12,83.3,0,10,1,1,1
efeb4639,Maccabi Haifa,Nikita Rukavytsya,13,AUS,FW,35-076,12,0,0,0,0,1,1,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,1,0,0
efeb4639,Maccabi Haifa,Ali Mohamed,4,NIG,CM,26-334,30,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,14,19,73.7,1,18,0,0,0
efeb4639,Maccabi Haifa,Mohammad Abu Fani,16,ISR,CM,24-132,60,0,0,0,0,1,0,0,0,39,0,0,1,0.0,0.0,0.1,3,0,25,35,71.4,2,32,0,2,0
efeb4639,Maccabi Haifa,Neta Lavi,6,ISR,CM,26-012,90,0,0,0,0,0,0,1,0,52,6,3,1,0.0,0.0,0.0,0,0,28,37,75.7,6,27,1,1,1
efeb4639,Maccabi Haifa,Tjaronn Chery,10,SUR,CM,34-094,90,0,0,0,0,3,0,0,0,41,1,0,0,0.1,0.1,0.0,4,0,23,34,67.6,4,33,1,2,1
efeb4639,Maccabi Haifa,Dolev Haziz,8,ISR,LB,27-063,90,0,0,0,0,0,0,0,0,69,5,2,0,0.0,0.0,0.0,0,0,39,56,69.6,3,41,5,4,1
efeb4639,Maccabi Haifa,Sean Goldberg,3,ISR,CB,27-085,90,0,0,0,0,0,0,0,0,61,1,2,1,0.0,0.0,0.0,0,0,45,53,84.9,1,39,1,0,0
