match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
012a9877,Chelsea,Pierre-Emerick Aubameyang,9,GAB,FW,33-109,64,1,0,0,0,1,1,0,0,21,0,0,1,0.4,0.4,0.0,1,0,13,18,72.2,0,10,0,0,0
012a9877,Chelsea,Conor Gallagher,23,ENG,AM,22-241,26,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,13,13,100.0,0,10,0,1,0
012a9877,Chelsea,Mason Mount,19,ENG,AM,23-268,73,0,0,0,0,2,1,0,0,46,0,0,2,0.2,0.2,0.2,4,1,29,36,80.6,5,26,1,3,3
012a9877,Chelsea,Kai Havertz,29,GER,AM,23-116,17,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,13,14,92.9,1,8,0,0,0
012a9877,Chelsea,Raheem Sterling,17,ENG,"AM,FW",27-301,73,0,1,0,0,0,0,0,0,47,1,0,0,0.0,0.0,0.2,2,1,30,38,78.9,4,31,2,1,0
012a9877,Chelsea,Armando Broja,18,ALB,FW,21-025,17,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,8,0,1,0
012a9877,Chelsea,Mateo Kovačić,8,CRO,CM,28-152,64,0,0,0,0,0,0,1,0,54,1,2,2,0.0,0.0,0.0,1,0,40,49,81.6,5,34,1,0,0
012a9877,Chelsea,Jorginho,5,ITA,CM,30-289,26,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.0,0,0,28,30,93.3,0,18,0,1,1
012a9877,Chelsea,Ruben Loftus-Cheek,12,ENG,CM,26-255,90,0,1,0,0,0,0,0,0,63,2,4,1,0.0,0.0,0.2,0,0,40,47,85.1,6,40,1,5,2
012a9877,Chelsea,Ben Chilwell,21,ENG,WB,25-288,90,0,0,0,0,0,0,0,0,75,3,0,1,0.0,0.0,0.1,3,1,52,63,82.5,1,47,1,4,2
012a9877,Chelsea,Reece James,24,ENG,WB,22-301,90,1,1,0,0,1,1,0,0,94,3,0,2,0.2,0.2,0.5,3,1,65,79,82.3,3,54,3,3,2
012a9877,Chelsea,Kalidou Koulibaly,26,SEN,CB,31-107,90,0,0,0,0,0,0,0,0,69,1,0,6,0.0,0.0,0.0,0,0,46,55,83.6,4,44,2,0,0
012a9877,Chelsea,Thiago Silva,6,BRA,CB,38-013,90,0,0,0,0,3,2,1,0,53,1,2,0,0.1,0.1,0.0,3,1,35,42,83.3,1,28,0,0,0
012a9877,Chelsea,Wesley Fofana,33,FRA,CB,21-292,37,1,0,0,0,2,1,0,0,18,1,0,1,0.3,0.3,0.0,0,0,12,12,100.0,0,9,0,0,0
012a9877,Chelsea,Trevoh Chalobah,14,ENG,CB,23-092,53,0,0,0,0,1,0,0,0,27,1,2,0,0.0,0.0,0.0,0,0,16,20,80.0,1,13,0,0,0
012a9877,Chelsea,Kepa Arrizabalaga,1,ESP,GK,28-002,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,13,25,52.0,0,14,0,0,0
012a9877,Milan,Olivier Giroud,9,FRA,FW,36-005,71,0,0,0,0,0,0,0,0,20,1,1,1,0.0,0.0,0.0,0,0,9,14,64.3,2,5,0,0,0
012a9877,Milan,Divock Origi,27,BEL,FW,27-170,19,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,1,3,33.3,0,3,0,0,0
012a9877,Milan,Rafael Leão,17,POR,LW,23-117,71,0,0,0,0,0,0,0,0,24,0,0,1,0.0,0.0,0.1,2,0,11,17,64.7,1,22,3,6,3
