match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
22344ecc,Marseille,Alexis Sánchez,70,CHI,FW,33-289,90,1,1,0,0,5,2,0,0,35,3,0,1,1.2,1.2,0.4,5,1,18,21,85.7,2,21,0,0,0
22344ecc,Marseille,Amine Harit,77,MAR,AM,25-108,76,1,1,0,0,4,3,0,0,51,0,1,0,0.4,0.4,0.2,8,1,32,38,84.2,3,41,2,5,3
22344ecc,Marseille,Gerson,8,BRA,AM,25-137,14,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.0,0,0,12,14,85.7,2,14,3,1,0
22344ecc,Marseille,Cengiz Ünder,17,TUR,AM,25-082,61,0,0,0,0,1,0,0,0,32,1,0,0,0.1,0.1,0.1,3,1,20,27,74.1,0,24,2,0,0
22344ecc,Marseille,Pape Gueye,22,SEN,CM,23-253,29,0,0,0,0,0,0,0,0,40,1,1,0,0.0,0.0,0.0,3,0,35,38,92.1,9,33,0,0,0
22344ecc,Marseille,Jordan Veretout,27,FRA,CM,29-217,61,0,0,0,0,0,0,1,0,38,2,0,0,0.0,0.0,0.0,1,0,28,36,77.8,5,25,2,0,0
22344ecc,Marseille,Valentin Rongier,21,FRA,CM,27-301,29,0,0,0,0,1,0,0,0,34,1,1,0,0.1,0.1,0.0,1,0,29,29,100.0,7,31,0,1,0
22344ecc,Marseille,Mattéo Guendouzi,6,FRA,"CM,AM",23-173,90,0,0,0,0,1,0,0,0,60,0,4,0,0.0,0.0,0.0,3,0,50,51,98.0,11,49,4,0,0
22344ecc,Marseille,Nuno Tavares,30,POR,WB,22-251,90,0,0,0,0,2,0,0,0,65,2,1,0,0.1,0.1,0.0,1,0,37,48,77.1,3,48,5,8,3
22344ecc,Marseille,Jonathan Clauss,7,FRA,WB,30-009,31,0,1,0,0,0,0,0,0,16,2,1,0,0.0,0.0,0.1,2,1,11,12,91.7,2,9,0,1,0
22344ecc,Marseille,Issa Kaboré,29,BFA,WB,21-145,59,0,0,0,0,1,0,0,0,22,2,0,0,0.0,0.0,0.0,0,0,14,18,77.8,3,18,2,0,0
22344ecc,Marseille,Leonardo Balerdi,5,ARG,CB,23-251,90,1,0,0,0,3,1,0,0,57,1,1,2,0.2,0.2,0.0,1,0,41,46,89.1,2,44,2,0,0
22344ecc,Marseille,Eric Bailly,3,CIV,CB,28-175,76,0,0,0,0,0,0,0,0,49,1,1,0,0.0,0.0,0.0,0,0,34,43,79.1,5,33,0,1,0
22344ecc,Marseille,Samuel Gigot,4,FRA,CB,28-357,14,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,1,5,0,0,0
22344ecc,Marseille,Chancel Mbemba,99,COD,CB,28-057,90,1,0,0,0,2,1,0,0,60,4,1,1,0.4,0.4,0.0,2,0,34,44,77.3,5,43,6,2,1
22344ecc,Marseille,Pau López,16,ESP,GK,27-295,90,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,0,15,19,78.9,0,13,0,0,0
22344ecc,Sporting CP,Marcus Edwards,10,ENG,FW,23-305,25,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.3,3,1,11,15,73.3,3,13,1,2,2
22344ecc,Sporting CP,Franco Israel,12,URU,GK,22-165,65,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,18,32,56.3,0,14,0,0,0
22344ecc,Sporting CP,Pedro Gonçalves,28,POR,AM,24-098,45,0,0,0,0,1,1,0,0,16,2,0,0,0.2,0.2,0.1,1,0,8,12,66.7,1,13,1,0,0
22344ecc,Sporting CP,Sotiris Alexandropoulos,6,GRE,CM,20-312,45,0,0,0,0,2,0,0,0,22,1,0,1,0.1,0.1,0.0,0,0,8,13,61.5,0,17,0,1,0
22344ecc,Sporting CP,Francisco Trincão,17,POR,"CM,AM",22-279,90,1,0,0,0,2,1,0,0,31,0,0,0,0.1,0.1,0.0,2,0,17,24,70.8,3,22,0,2,0
22344ecc,Sporting CP,Hidemasa Morita,5,JPN,CM,27-147,90,0,0,0,0,1,0,0,0,49,3,0,1,0.0,0.0,0.0,1,0,32,41,78.0,2,33,1,0,0
22344ecc,Sporting CP,Manuel Ugarte Ribeiro,15,URU,CM,21-176,45,0,0,0,0,0,0,0,0,33,3,0,0,0.0,0.0,0.0,0,0,18,28,64.3,1,19,0,0,0
