match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2f44d120,Eint Frankfurt,Randal Kolo Muani,9,FRA,FW,23-303,56,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,6,0,3,0
2f44d120,Eint Frankfurt,Rafael Borré,19,COL,FW,27-019,34,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,6,6,100.0,0,5,1,0,0
2f44d120,Eint Frankfurt,Daichi Kamada,15,JPN,AM,26-060,90,0,0,0,0,3,0,0,0,57,0,0,2,0.2,0.2,0.1,4,0,35,48,72.9,5,26,3,1,1
2f44d120,Eint Frankfurt,Jesper Lindstrøm,29,DEN,AM,22-217,86,0,0,0,0,2,0,0,0,42,0,0,2,0.2,0.2,0.1,3,0,19,26,73.1,0,20,2,5,3
2f44d120,Eint Frankfurt,Junior Dina Ebimbe,26,FRA,AM,21-317,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,0,3,2,0,0
2f44d120,Eint Frankfurt,Djibril Sow,8,SUI,CM,25-240,90,0,0,0,0,0,0,0,0,80,1,5,2,0.0,0.0,0.5,4,0,57,67,85.1,10,43,1,1,0
2f44d120,Eint Frankfurt,Sebastian Rode,17,GER,CM,31-358,70,0,0,0,0,2,1,0,0,58,1,1,1,0.1,0.1,0.0,2,0,33,48,68.8,5,25,1,0,0
2f44d120,Eint Frankfurt,Luca Pellegrini,33,ITA,WB,23-211,20,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,1,0,8,10,80.0,0,7,0,2,2
2f44d120,Eint Frankfurt,Ansgar Knauff,36,GER,WB,20-267,90,0,0,0,0,3,1,0,0,62,1,3,3,0.4,0.4,0.0,2,0,28,47,59.6,0,28,1,6,4
2f44d120,Eint Frankfurt,Kristijan Jakić,6,CRO,"WB,CM",25-143,90,0,0,0,0,2,0,0,0,64,3,0,2,0.1,0.1,0.0,1,0,39,53,73.6,1,22,2,1,1
2f44d120,Eint Frankfurt,Obite N'Dicka,2,CIV,CB,23-045,90,0,0,0,0,0,0,0,0,70,0,2,3,0.0,0.0,0.0,0,0,50,57,87.7,0,37,0,0,0
2f44d120,Eint Frankfurt,Makoto Hasebe,20,JPN,CB,38-259,90,0,0,0,0,0,0,0,0,70,1,0,3,0.0,0.0,0.0,1,0,51,60,85.0,2,41,0,0,0
2f44d120,Eint Frankfurt,Tuta,35,BRA,CB,23-092,90,0,0,0,0,0,0,0,0,64,1,1,1,0.0,0.0,0.0,0,0,46,52,88.5,5,33,2,1,1
2f44d120,Eint Frankfurt,Kevin Trapp,1,GER,GK,32-088,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,19,31,61.3,0,15,0,0,0
2f44d120,Tottenham,Harry Kane,10,ENG,FW,29-068,90,0,0,0,0,4,1,1,0,43,0,1,1,1.0,1.0,0.2,3,0,19,31,61.3,6,23,1,2,1
2f44d120,Tottenham,Son Heung-min,7,KOR,AM,30-088,90,0,0,0,0,3,0,0,0,38,0,0,1,0.3,0.3,0.8,3,0,21,26,80.8,2,25,2,0,0
2f44d120,Tottenham,Richarlison,9,BRA,AM,25-147,77,0,0,0,0,1,0,0,0,32,0,0,1,0.0,0.0,0.1,3,0,14,24,58.3,2,17,1,0,0
2f44d120,Tottenham,Bryan Gil,11,ESP,AM,21-235,13,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,1,1
2f44d120,Tottenham,Rodrigo Bentancur,30,URU,CM,25-101,90,0,0,0,0,0,0,0,0,85,0,1,2,0.0,0.0,0.0,1,0,65,78,83.3,10,42,3,2,2
2f44d120,Tottenham,Pierre Højbjerg,5,DEN,CM,27-060,90,0,0,0,0,0,0,1,0,89,1,0,3,0.0,0.0,0.0,2,0,72,81,88.9,7,47,2,1,1
2f44d120,Tottenham,Ivan Perišić,14,CRO,WB,33-244,70,0,0,0,0,1,0,0,0,50,1,2,3,0.1,0.1,0.2,1,0,19,30,63.3,1,17,2,3,2
2f44d120,Tottenham,Ryan Sessegnon,19,ENG,WB,22-139,20,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,1,0,6,9,66.7,0,7,1,1,0
2f44d120,Tottenham,Emerson,12,BRA,WB,23-263,90,0,0,0,0,2,0,0,0,71,2,0,0,0.0,0.0,0.0,0,0,45,54,83.3,7,35,3,1,0
2f44d120,Tottenham,Clément Lenglet,34,FRA,CB,27-109,77,0,0,0,0,0,0,1,0,97,5,3,0,0.0,0.0,0.0,1,0,69,84,82.1,5,66,1,0,0
2f44d120,Tottenham,Ben Davies,33,WAL,CB,29-163,13,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,8,10,80.0,0,6,0,0,0
2f44d120,Tottenham,Eric Dier,15,ENG,CB,28-262,90,0,0,0,0,0,0,0,0,112,1,3,1,0.0,0.0,0.0,1,0,93,101,92.1,8,64,0,0,0
2f44d120,Tottenham,Cristian Romero,17,ARG,CB,24-160,90,0,0,0,0,0,0,0,0,89,4,2,1,0.0,0.0,0.0,1,0,73,79,92.4,5,52,2,0,0
2f44d120,Tottenham,Hugo Lloris,1,FRA,GK,35-282,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,31,34,91.2,0,23,0,0,0
