match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
39438edf,Eint Frankfurt,Randal Kolo Muani,9,FRA,FW,23-325,78,1,0,0,0,1,1,1,0,24,0,0,1,0.2,0.2,0.1,2,1,9,17,52.9,2,20,1,0,0
39438edf,Eint Frankfurt,Rafael Borré,19,COL,FW,27-041,12,0,0,0,0,1,1,0,0,6,0,0,0,0.1,0.1,0.0,0,0,3,5,60.0,0,5,0,0,0
39438edf,Eint Frankfurt,Mario Götze,27,GER,AM,30-145,90,0,1,0,0,2,0,0,0,66,1,1,2,0.4,0.4,0.2,3,1,34,51,66.7,6,55,2,2,1
39438edf,Eint Frankfurt,Jesper Lindstrøm,29,DEN,AM,22-239,68,0,0,0,0,2,0,0,0,28,0,1,0,0.1,0.1,0.7,3,0,10,17,58.8,0,18,5,5,1
39438edf,Eint Frankfurt,Sebastian Rode,17,GER,CM,32-015,22,0,0,0,0,0,0,0,0,24,1,1,0,0.0,0.0,0.0,0,0,20,22,90.9,1,21,2,0,0
39438edf,Eint Frankfurt,Djibril Sow,8,SUI,CM,25-262,90,0,0,0,0,0,0,0,0,49,1,1,1,0.0,0.0,0.0,0,0,37,45,82.2,5,33,0,0,0
39438edf,Eint Frankfurt,Daichi Kamada,15,JPN,"CM,AM",26-082,90,1,0,0,0,1,1,0,0,53,5,0,1,0.1,0.1,0.1,1,0,33,41,80.5,4,36,2,1,0
39438edf,Eint Frankfurt,Christopher Lenz,25,GER,WB,28-034,44,0,0,0,0,1,1,0,0,32,2,1,0,0.3,0.3,0.0,3,1,15,25,60.0,1,13,0,0,0
39438edf,Eint Frankfurt,Luca Pellegrini,33,ITA,WB,23-233,46,0,0,0,0,0,0,0,0,29,0,1,2,0.0,0.0,0.0,0,0,13,23,56.5,2,21,1,0,0
39438edf,Eint Frankfurt,Junior Dina Ebimbe,26,FRA,WB,21-339,78,0,0,0,0,0,0,1,0,57,3,1,0,0.0,0.0,0.0,1,0,37,47,78.7,4,26,1,1,0
39438edf,Eint Frankfurt,Faride Alidou,11,GER,WB,21-100,12,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.1,2,0,11,12,91.7,0,8,2,3,1
39438edf,Eint Frankfurt,Obite N'Dicka,2,CIV,CB,23-067,90,0,1,0,0,1,0,0,0,51,2,3,0,0.0,0.0,0.1,1,1,31,37,83.8,0,34,3,0,0
39438edf,Eint Frankfurt,Hrvoje Smolčić,5,CRO,CB,22-070,90,0,0,0,0,0,0,1,0,47,1,4,2,0.0,0.0,0.0,0,0,21,31,67.7,1,18,0,0,0
