match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
486aeb15,Rangers,Alfredo Morelos,20,COL,FW,26-085,71,0,0,0,0,2,1,1,0,28,0,0,2,0.5,0.5,0.0,0,0,8,18,44.4,0,11,0,2,0
486aeb15,Rangers,Rabbi Matondo,17,WAL,CM,22-005,19,0,0,0,0,0,0,0,0,9,1,1,1,0.0,0.0,0.0,0,0,0,3,0.0,0,5,0,1,0
486aeb15,Rangers,Ryan Kent,14,ENG,"FW,CM",25-307,90,0,0,0,0,1,0,0,0,36,3,0,0,0.0,0.0,0.3,7,0,20,22,90.9,3,26,2,6,3
486aeb15,Rangers,Ryan Jack,8,SCO,CM,30-199,62,0,0,0,0,0,0,0,0,32,2,0,0,0.0,0.0,0.0,4,0,27,30,90.0,4,14,2,0,0
486aeb15,Rangers,Leon King,38,SCO,CB,18-243,28,0,0,0,0,1,0,0,0,11,1,1,0,0.1,0.1,0.0,0,0,7,7,100.0,0,4,0,0,0
486aeb15,Rangers,Steven Davis,10,NIR,CM,37-256,81,0,0,0,0,0,0,0,0,35,1,1,2,0.0,0.0,0.0,1,0,22,30,73.3,4,8,0,0,0
486aeb15,Rangers,Malik Tillman,71,USA,CM,20-109,9,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,0,1,0
486aeb15,Rangers,Scott Arfield,37,CAN,CM,33-317,71,0,0,0,0,2,1,0,0,31,1,1,1,0.3,0.3,0.0,0,0,11,22,50.0,3,12,0,0,0
486aeb15,Rangers,Antonio Čolak,9,CRO,FW,28-362,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0
486aeb15,Rangers,Borna Barišić,31,CRO,WB,29-308,90,0,0,0,0,0,0,1,0,61,2,0,1,0.0,0.0,0.1,3,0,47,55,85.5,3,22,1,0,0
486aeb15,Rangers,James Tavernier,2,ENG,WB,30-318,81,0,0,0,0,2,1,1,0,50,2,1,1,0.2,0.2,0.9,5,0,22,37,59.5,3,12,0,4,1
486aeb15,Rangers,Glen Kamara,18,FIN,WB,26-321,9,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,8,8,100.0,1,6,0,0,0
486aeb15,Rangers,James Sands,19,USA,CB,22-070,54,0,0,0,0,0,0,2,1,41,1,0,0,0.0,0.0,0.0,0,0,30,36,83.3,2,20,0,0,0
486aeb15,Rangers,Connor Goldson,6,ENG,CB,29-270,90,0,0,0,0,1,0,0,0,59,1,2,2,0.0,0.0,0.0,0,0,31,46,67.4,0,23,0,0,0
486aeb15,Rangers,John Lundstram,4,ENG,CB,28-208,90,0,0,0,0,1,0,1,0,52,2,2,1,0.2,0.2,0.0,0,0,29,38,76.3,2,21,0,0,0
486aeb15,Rangers,Allan McGregor,1,SCO,GK,40-226,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,20,37,54.1,0,19,0,0,0
486aeb15,Napoli,Giovanni Simeone,18,ARG,FW,27-071,76,0,0,0,0,2,1,0,0,26,1,0,1,0.1,0.1,0.0,2,0,12,15,80.0,0,19,1,1,0
486aeb15,Napoli,Giacomo Raspadori,81,ITA,FW,22-208,14,1,0,0,0,1,1,0,0,12,0,1,0,0.2,0.2,0.0,1,1,9,11,81.8,1,11,2,0,0
486aeb15,Napoli,Khvicha Kvaratskhelia,77,GEO,LW,21-214,89,0,0,0,0,8,1,0,0,55,3,0,1,0.6,0.6,0.0,7,1,28,37,75.7,2,39,8,7,2
486aeb15,Napoli,Elif Elmas,7,MKD,LW,22-355,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,1,1,0,0
486aeb15,Napoli,Matteo Politano,21,ITA,RW,29-042,76,1,0,1,1,5,2,1,0,40,3,0,0,1.0,0.2,0.0,5,0,22,31,71.0,2,26,4,1,0
486aeb15,Napoli,Alessio Zerbin,23,ITA,RW,23-195,14,0,0,0,0,1,1,0,0,19,0,0,1,0.1,0.1,0.0,0,0,12,15,80.0,3,15,0,1,0
486aeb15,Napoli,Piotr Zieliński,20,POL,AM,28-117,81,0,0,0,1,2,1,0,0,59,0,0,1,1.0,0.2,0.4,10,0,40,52,76.9,5,38,2,2,2
486aeb15,Napoli,Tanguy Ndombele,91,FRA,AM,25-260,9,1,0,0,0,1,1,0,0,13,1,0,0,0.4,0.4,0.3,2,0,6,8,75.0,1,7,1,2,0
486aeb15,Napoli,Stanislav Lobotka,68,SVK,DM,27-293,90,0,0,0,0,1,0,0,0,60,4,0,1,0.0,0.0,0.1,4,0,47,51,92.2,4,40,3,1,1
486aeb15,Napoli,Andre-Frank Zambo Anguissa,99,CMR,DM,26-302,90,0,1,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.5,5,2,28,36,77.8,7,28,4,2,1
486aeb15,Napoli,Mário Rui,6,POR,LB,31-110,76,0,0,0,0,1,0,0,0,72,2,1,1,0.0,0.0,0.1,3,0,52,64,81.3,6,47,5,1,0
486aeb15,Napoli,Mathías Olivera,17,URU,LB,24-318,14,0,1,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.2,1,1,10,12,83.3,0,6,0,0,0
486aeb15,Napoli,Kim Min-jae,3,KOR,CB,25-303,90,0,0,0,0,0,0,0,0,59,1,3,0,0.0,0.0,0.0,2,0,35,50,70.0,4,29,1,0,0
486aeb15,Napoli,Amir Rrahmani,13,KVX,CB,28-202,90,0,0,0,0,0,0,0,0,60,0,0,0,0.0,0.0,0.0,0,0,37,52,71.2,5,36,0,1,1
486aeb15,Napoli,Giovanni Di Lorenzo,22,ITA,RB,29-041,90,0,0,0,0,1,0,0,0,69,2,1,1,0.0,0.0,0.1,3,0,54,62,87.1,9,41,5,2,1
486aeb15,Napoli,Alex Meret,1,ITA,GK,25-176,90,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,19,23,82.6,0,10,0,0,0
