match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5375dfbc,Club Brugge,Ferran Jutglà,9,ESP,FW,23-267,90,0,0,0,0,2,2,0,0,17,0,0,0,0.3,0.3,0.0,0,0,12,15,80.0,1,9,0,0,0
5375dfbc,Club Brugge,Noa Lang,10,NED,LW,23-131,90,0,0,0,1,1,1,0,0,53,2,0,0,0.8,0.0,0.1,3,0,27,43,62.8,6,41,6,5,4
5375dfbc,Club Brugge,Andreas Skov Olsen,7,DEN,RW,22-301,70,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.1,2,0,19,30,63.3,1,25,0,3,1
5375dfbc,Club Brugge,Antonio Nusa,32,NOR,RW,17-192,20,0,0,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.0,3,0,6,8,75.0,0,11,2,2,1
5375dfbc,Club Brugge,Hans Vanaken,20,BEL,LM,30-063,90,0,0,0,0,0,0,0,0,61,0,0,2,0.0,0.0,0.3,2,0,52,58,89.7,7,52,0,0,0
5375dfbc,Club Brugge,Raphael Onyedika,15,NGA,CM,21-190,79,0,0,0,0,1,0,1,0,50,2,1,0,0.0,0.0,0.0,1,0,34,42,81.0,5,33,0,0,0
5375dfbc,Club Brugge,Éder Álvarez Balanta,3,COL,CM,29-240,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,2,0,7,7,100.0,1,6,0,1,0
5375dfbc,Club Brugge,Casper Nielsen,27,DEN,RM,28-180,79,0,0,0,0,1,0,0,0,23,1,0,1,0.1,0.1,0.0,0,0,7,15,46.7,2,12,0,0,0
5375dfbc,Club Brugge,Lynnt Audoor,89,BEL,RM,19-013,11,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,6,50.0,1,4,0,0,0
5375dfbc,Club Brugge,Tajon Buchanan,17,CAN,LB,23-260,90,0,0,0,0,2,0,0,0,43,1,0,0,0.1,0.1,0.0,1,0,23,29,79.3,4,29,7,7,1
5375dfbc,Club Brugge,Abakar Sylla,94,CIV,CB,19-305,70,0,0,0,0,0,0,1,0,41,0,0,1,0.0,0.0,0.0,0,0,35,40,87.5,3,29,0,0,0
5375dfbc,Club Brugge,Dedryck Boyata,28,BEL,CB,31-332,20,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,9,11,81.8,2,10,0,0,0
5375dfbc,Club Brugge,Brandon Mechele,44,BEL,CB,29-271,90,0,0,0,0,0,0,0,0,79,1,1,0,0.0,0.0,0.0,1,0,63,74,85.1,4,61,0,0,0
5375dfbc,Club Brugge,Denis Odoi,6,GHA,RB,34-152,70,0,0,0,0,0,0,1,0,47,2,2,0,0.0,0.0,0.0,0,0,23,36,63.9,1,26,1,1,1
5375dfbc,Club Brugge,Bjorn Meijer,14,NED,RB,19-222,20,0,0,0,0,2,0,0,0,22,1,0,0,0.1,0.1,0.0,1,0,14,19,73.7,2,13,0,1,0
5375dfbc,Club Brugge,Simon Mignolet,22,BEL,GK,34-234,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,33,44,75.0,0,37,0,0,0
5375dfbc,Porto,Mehdi Taremi,9,IRN,FW,30-100,90,2,0,0,0,5,4,0,0,33,1,0,1,1.3,1.3,1.0,5,0,11,21,52.4,1,24,1,1,1
5375dfbc,Porto,Galeno,13,BRA,LW,25-004,76,0,0,0,0,2,0,0,0,24,0,0,1,0.3,0.3,0.1,4,1,9,18,50.0,0,18,5,3,3
5375dfbc,Porto,Gabriel Veron,7,BRA,LW,20-053,14,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,1,0
5375dfbc,Porto,Evanilson,30,BRA,RW,23-020,87,1,0,0,0,2,1,0,0,24,1,0,1,0.2,0.2,0.0,1,0,14,18,77.8,2,15,0,1,0
5375dfbc,Porto,Rodrigo Conceição,17,POR,RB,22-297,3,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
5375dfbc,Porto,Stephen Eustáquio,46,CAN,LM,25-309,76,1,0,0,0,3,2,1,0,39,0,1,0,0.9,0.9,0.4,2,1,21,32,65.6,6,32,0,0,0
5375dfbc,Porto,Bruno Xavier Almeida Costa,28,POR,LM,25-190,14,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.1,1,0,9,9,100.0,0,6,0,0,0
5375dfbc,Porto,Mateus Uribe,8,COL,CM,31-219,90,0,0,0,0,2,0,1,0,51,1,0,3,0.2,0.2,0.0,2,0,30,43,69.8,8,34,0,0,0
5375dfbc,Porto,Otávio,25,POR,RM,27-259,90,0,2,0,0,1,1,1,0,47,0,0,1,0.0,0.0,1.2,8,2,30,39,76.9,8,25,0,2,1
5375dfbc,Porto,Zaidu Sanusi,12,NGA,LB,25-135,76,0,0,0,0,0,0,0,0,36,3,1,1,0.0,0.0,0.0,0,0,15,25,60.0,1,15,0,3,1
5375dfbc,Porto,Wendell,22,BRA,LB,29-098,14,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,0,0,6,9,66.7,0,6,0,0,0
5375dfbc,Porto,David Carmo,4,ANG,CB,23-099,90,0,0,0,0,2,1,1,0,53,1,1,1,0.2,0.2,0.1,1,0,32,43,74.4,2,34,0,0,0
5375dfbc,Porto,Fábio Cardoso,2,POR,CB,28-190,90,0,0,0,0,1,0,0,0,46,1,1,0,0.1,0.1,0.0,0,0,33,40,82.5,1,32,0,0,0
5375dfbc,Porto,Pepê,11,BRA,RB,25-244,87,0,0,0,0,0,0,0,0,48,4,1,1,0.0,0.0,0.0,1,0,26,32,81.3,2,22,0,1,0
5375dfbc,Porto,Toni Martínez,29,ESP,RW,25-118,3,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
5375dfbc,Porto,Diogo Costa,99,POR,GK,23-037,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,0,32,0,0,0
