match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
7bd6535d,Porto,Mehdi Taremi,9,IRN,FW,30-239,90,0,0,0,0,3,1,0,0,31,1,0,1,0.4,0.4,0.0,2,0,19,22,86.4,2,19,2,0,0
7bd6535d,Porto,Galeno,13,BRA,"LW,AM",25-143,90,0,0,0,0,4,2,0,0,49,0,1,1,0.5,0.5,0.3,5,0,24,33,72.7,2,35,3,4,1
7bd6535d,Porto,Evanilson,30,BRA,RW,23-159,70,0,0,0,0,1,0,0,0,21,0,0,1,0.1,0.1,0.1,4,0,13,17,76.5,2,17,1,2,1
7bd6535d,Porto,Toni Martínez,29,ESP,"RW,AM",25-257,20,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.1,0,0,2,6,33.3,0,5,1,0,0
7bd6535d,Porto,Stephen Eustáquio,46,CAN,AM,26-083,69,0,0,0,0,2,1,0,0,49,0,0,1,0.1,0.1,0.0,4,0,33,45,73.3,4,31,1,1,1
7bd6535d,Porto,André Franco,20,POR,"AM,DM",24-336,21,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,1,0,12,19,63.2,3,11,2,0,0
7bd6535d,Porto,Mateus Uribe,8,COL,DM,31-358,84,0,0,0,0,2,1,0,0,75,0,1,0,0.0,0.0,0.0,2,0,53,67,79.1,11,49,2,3,2
7bd6535d,Porto,Wendell,22,BRA,LB,29-237,6,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,0,15,4,0,0
7bd6535d,Porto,Marko Grujić,16,SRB,DM,26-335,90,0,0,0,0,4,1,0,0,79,2,1,3,0.3,0.3,0.2,9,0,56,65,86.2,11,50,1,1,1
7bd6535d,Porto,Zaidu Sanusi,12,NGA,LB,25-274,84,0,0,0,0,1,0,0,0,77,0,3,1,0.0,0.0,0.0,3,0,53,69,76.8,4,52,3,2,0
7bd6535d,Porto,Danny Loader,19,CMR,FW,22-198,6,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,1,0,3,4,75.0,0,3,1,1,1
