match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
b79490f8,Rangers,Antonio Čolak,9,CRO,FW,29-025,75,0,0,0,0,1,0,0,0,14,0,0,0,0.1,0.1,0.0,2,1,5,11,45.5,0,5,1,0,0
b79490f8,Rangers,Alfredo Morelos,20,COL,FW,26-113,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,1,0,0,0
b79490f8,Rangers,Ryan Kent,14,ENG,LW,25-335,75,0,0,0,0,2,0,0,0,22,0,1,3,0.1,0.1,0.0,0,0,11,13,84.6,1,14,2,1,0
b79490f8,Rangers,Scott Wright,23,SCO,RW,25-065,15,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,1,0
b79490f8,Rangers,Fashion Sakala,30,ZAM,RW,25-212,75,0,0,0,0,1,1,0,0,25,2,2,0,0.1,0.1,0.1,2,0,8,12,66.7,1,10,2,2,2
b79490f8,Rangers,Rabbi Matondo,17,WAL,LW,22-033,15,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,1,0
b79490f8,Rangers,Scott Arfield,37,CAN,AM,33-345,90,1,0,0,0,2,1,0,0,41,2,0,2,0.3,0.3,0.0,1,0,20,31,64.5,3,21,1,1,0
b79490f8,Rangers,John Lundstram,4,ENG,DM,28-236,90,0,0,0,0,0,0,0,0,60,0,3,1,0.0,0.0,0.1,1,0,39,53,73.6,3,26,0,1,1
b79490f8,Rangers,Ryan Jack,8,SCO,DM,30-227,59,0,1,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.2,1,1,11,19,57.9,1,13,1,1,0
b79490f8,Rangers,Steven Davis,10,NIR,DM,37-284,31,0,0,0,0,0,0,0,0,13,0,0,1,0.0,0.0,0.0,0,0,8,10,80.0,0,5,1,1,0
b79490f8,Rangers,Borna Barišić,31,CRO,LB,29-336,90,0,0,0,0,0,0,0,0,70,1,0,3,0.0,0.0,0.0,0,0,53,65,81.5,3,34,1,0,0
b79490f8,Rangers,Ben Davies,26,ENG,CB,27-062,90,0,0,0,0,1,0,0,0,77,0,0,2,0.0,0.0,0.0,1,0,51,70,72.9,2,54,1,0,0
b79490f8,Rangers,Connor Goldson,6,ENG,CB,29-298,44,0,0,0,0,0,0,0,0,40,1,2,2,0.0,0.0,0.1,1,0,24,33,72.7,0,23,0,0,0
b79490f8,Rangers,Leon King,38,SCO,CB,18-271,46,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,0,0,12,21,57.1,0,15,0,0,0
b79490f8,Rangers,James Tavernier,2,ENG,RB,30-346,90,0,0,0,0,0,0,0,0,61,4,1,2,0.0,0.0,0.0,0,0,36,52,69.2,2,31,3,0,0
b79490f8,Rangers,Allan McGregor,1,SCO,GK,40-254,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,0,0,24,48,50.0,0,29,0,0,0
b79490f8,Liverpool,Darwin Núñez,27,URU,FW,23-110,67,1,0,0,0,4,1,0,0,29,1,0,0,0.5,0.5,0.0,0,0,12,16,75.0,0,17,2,3,1
b79490f8,Liverpool,Mohamed Salah,11,EGY,FW,30-119,23,3,0,0,0,4,4,0,0,9,0,0,0,0.6,0.6,0.0,1,1,3,5,60.0,0,6,2,0,0
b79490f8,Liverpool,Roberto Firmino,9,BRA,FW,31-010,72,2,1,0,0,2,2,0,0,48,1,1,0,0.5,0.5,0.5,6,1,30,39,76.9,4,24,2,4,3
b79490f8,Liverpool,Diogo Jota,20,POR,FW,25-312,18,0,3,0,0,0,0,0,0,12,0,0,1,0.0,0.0,0.3,3,2,7,7,100.0,1,5,0,1,0
b79490f8,Liverpool,Fabio Carvalho,28,POR,LM,20-043,90,0,0,0,0,3,0,0,0,59,1,0,2,0.1,0.1,0.0,4,2,34,41,82.9,7,38,4,4,2
b79490f8,Liverpool,Fabinho,3,BRA,CM,28-354,90,0,0,0,0,0,0,0,0,78,0,2,1,0.0,0.0,0.1,7,0,59,72,81.9,0,36,1,1,0
b79490f8,Liverpool,Jordan Henderson,14,ENG,CM,32-117,67,0,0,0,0,0,0,0,0,63,1,1,1,0.0,0.0,0.0,2,0,46,56,82.1,3,32,0,1,1
b79490f8,Liverpool,Thiago Alcántara,6,ESP,CM,31-184,23,0,0,0,0,0,0,0,0,24,2,0,1,0.0,0.0,0.3,4,2,19,21,90.5,4,11,0,0,0
b79490f8,Liverpool,Harvey Elliott,19,ENG,RM,19-191,90,1,0,0,0,5,2,0,0,71,1,0,2,0.4,0.4,0.1,4,1,40,57,70.2,6,34,4,4,2
b79490f8,Liverpool,Kostas Tsimikas,21,GRE,LB,26-153,67,0,1,0,0,1,0,0,0,47,0,0,1,0.0,0.0,0.2,1,1,29,41,70.7,3,19,1,2,0
b79490f8,Liverpool,Andrew Robertson,26,SCO,LB,28-215,23,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.1,2,1,15,18,83.3,0,10,1,0,0
b79490f8,Liverpool,Virgil van Dijk,4,NED,CB,31-096,90,0,0,0,0,0,0,0,0,63,1,0,0,0.0,0.0,0.0,0,0,44,58,75.9,0,34,0,0,0
b79490f8,Liverpool,Ibrahima Konaté,5,FRA,CB,23-140,78,0,0,0,0,0,0,0,0,58,1,1,3,0.0,0.0,0.0,0,0,39,47,83.0,0,26,0,0,0
b79490f8,Liverpool,James Milner,7,ENG,RB,36-281,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0
b79490f8,Liverpool,Joe Gomez,2,ENG,"RB,CB",25-142,90,0,1,0,0,1,0,1,0,73,0,1,0,0.1,0.1,0.3,2,1,45,68,66.2,3,29,4,0,0
b79490f8,Liverpool,Alisson,1,BRA,GK,30-010,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,33,37,89.2,0,20,0,1,1
