match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
bd7b7e39,Tottenham,Harry Kane,10,ENG,FW,29-076,90,1,1,1,2,1,0,0,0,35,0,0,0,1.6,0.0,0.5,4,3,15,26,57.7,6,18,3,3,2
bd7b7e39,Tottenham,Son Heung-min,7,KOR,"LW,LM",30-096,85,2,0,0,0,5,5,0,0,30,1,0,0,1.0,1.0,0.0,3,0,12,18,66.7,0,23,7,6,2
bd7b7e39,Tottenham,Lucas Moura,27,BRA,LM,30-060,5,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0
bd7b7e39,Tottenham,Richarlison,9,BRA,RW,25-155,66,0,0,0,0,0,0,0,0,20,1,0,2,0.0,0.0,0.3,3,0,11,15,73.3,4,14,2,2,2
bd7b7e39,Tottenham,Oliver Skipp,4,ENG,"RM,CM",22-026,24,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,9,0,0,0
bd7b7e39,Tottenham,Ryan Sessegnon,19,ENG,"LM,LB",22-147,90,0,0,0,0,1,1,1,0,43,7,2,0,0.2,0.2,0.2,2,0,20,28,71.4,3,18,0,2,1
bd7b7e39,Tottenham,Pierre Højbjerg,5,DEN,CM,27-068,84,0,1,0,0,0,0,0,0,64,1,3,0,0.0,0.0,0.1,3,2,48,56,85.7,3,33,0,0,0
bd7b7e39,Tottenham,Bryan Gil,11,ESP,RM,21-243,6,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,1,0,1,3,33.3,0,4,0,1,0
bd7b7e39,Tottenham,Rodrigo Bentancur,30,URU,CM,25-109,66,0,0,0,0,0,0,1,0,56,0,2,0,0.0,0.0,0.0,0,0,45,51,88.2,4,26,0,0,0
bd7b7e39,Tottenham,Yves Bissouma,38,MLI,CM,26-043,24,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,18,20,90.0,1,11,1,0,0
bd7b7e39,Tottenham,Emerson,12,BRA,"RM,RB",23-271,90,0,0,0,0,0,0,0,0,66,2,1,1,0.0,0.0,0.1,2,1,44,56,78.6,3,40,1,1,0
bd7b7e39,Tottenham,Clément Lenglet,34,FRA,CB,27-117,90,0,0,0,0,0,0,0,0,66,0,0,0,0.0,0.0,0.0,1,0,57,64,89.1,5,50,1,0,0
bd7b7e39,Tottenham,Eric Dier,15,ENG,CB,28-270,77,0,0,0,0,1,0,1,0,73,0,1,0,0.0,0.0,0.0,0,0,60,67,89.6,4,47,0,0,0
bd7b7e39,Tottenham,Davinson Sánchez,6,COL,CB,26-122,13,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,0,8,0,0,0
bd7b7e39,Tottenham,Cristian Romero,17,ARG,CB,24-168,90,0,0,0,0,1,1,0,0,86,1,3,1,0.1,0.1,0.0,0,0,69,77,89.6,4,52,1,0,0
bd7b7e39,Tottenham,Hugo Lloris,1,FRA,GK,35-290,90,0,0,0,0,0,0,0,0,31,0,1,0,0.0,0.0,0.0,0,0,19,26,73.1,0,18,0,0,0
bd7b7e39,Eint Frankfurt,Randal Kolo Muani,9,FRA,FW,23-311,68,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,14,16,87.5,0,13,1,2,0
bd7b7e39,Eint Frankfurt,Rafael Borré,19,COL,FW,27-027,22,0,0,0,0,1,1,0,0,12,0,0,1,0.0,0.0,0.0,2,1,6,9,66.7,1,8,0,0,0
bd7b7e39,Eint Frankfurt,Daichi Kamada,15,JPN,"AM,CM",26-068,77,1,0,0,0,2,1,0,0,43,1,1,1,0.8,0.8,0.0,0,0,27,37,73.0,3,32,3,0,0
bd7b7e39,Eint Frankfurt,Mario Götze,27,GER,CM,30-131,13,0,1,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.2,1,1,9,11,81.8,0,6,0,0,0
bd7b7e39,Eint Frankfurt,Jesper Lindstrøm,29,DEN,"AM,CM",22-225,90,0,0,0,0,2,2,0,0,26,0,0,1,0.1,0.1,0.1,3,0,11,14,78.6,1,23,3,4,1
bd7b7e39,Eint Frankfurt,Djibril Sow,8,SUI,CM,25-248,90,0,0,0,0,3,0,0,0,72,0,1,0,0.1,0.1,0.0,1,0,59,65,90.8,2,51,1,0,0
bd7b7e39,Eint Frankfurt,Sebastian Rode,17,GER,CM,32-001,69,0,1,0,0,0,0,0,0,48,0,1,0,0.0,0.0,0.7,2,1,37,46,80.4,2,38,1,0,0
bd7b7e39,Eint Frankfurt,Hrvoje Smolčić,5,CRO,CB,22-056,21,0,0,0,0,0,0,1,0,18,0,1,0,0.0,0.0,0.0,0,0,14,16,87.5,1,13,0,0,0
bd7b7e39,Eint Frankfurt,Christopher Lenz,25,GER,WB,28-020,69,0,0,0,0,1,0,0,0,40,1,0,1,0.0,0.0,0.0,1,0,27,36,75.0,2,27,1,1,0
bd7b7e39,Eint Frankfurt,Faride Alidou,11,GER,WB,21-086,21,1,0,0,0,2,2,0,0,19,1,1,1,0.3,0.3,0.1,1,0,13,15,86.7,0,11,1,0,0
