match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c36141e9,Chelsea,Kai Havertz,29,GER,FW,23-095,65,0,0,0,0,3,0,0,0,43,1,0,0,0.2,0.2,0.0,2,0,22,33,66.7,6,35,0,3,0
c36141e9,Chelsea,Ruben Loftus-Cheek,12,ENG,"FW,AM,RW",26-234,25,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,1,0,5,8,62.5,0,9,1,2,1
c36141e9,Chelsea,Pierre-Emerick Aubameyang,9,GAB,FW,33-088,65,0,0,0,0,3,0,0,0,21,0,0,0,0.2,0.2,0.1,0,0,9,15,60.0,2,18,1,0,0
c36141e9,Chelsea,Armando Broja,18,ALB,FW,21-004,25,0,0,0,0,1,0,0,0,10,1,0,0,0.1,0.1,0.1,1,0,5,7,71.4,1,5,1,0,0
c36141e9,Chelsea,Mateo Kovačić,8,CRO,CM,28-131,80,0,0,0,0,1,0,0,0,49,3,0,0,0.1,0.1,0.0,2,0,29,38,76.3,4,35,0,1,0
c36141e9,Chelsea,Conor Gallagher,23,ENG,"RM,CM",22-220,10,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,4,6,66.7,1,5,0,0,0
c36141e9,Chelsea,Jorginho,5,ITA,"CM,DM",30-268,90,0,0,0,0,0,0,0,0,72,4,2,4,0.0,0.0,0.1,3,0,53,60,88.3,4,52,0,1,0
c36141e9,Chelsea,Mason Mount,19,ENG,"CM,LM",23-247,90,0,1,0,0,2,0,0,0,88,3,3,2,0.1,0.1,0.1,3,1,54,67,80.6,8,63,4,9,1
c36141e9,Chelsea,Raheem Sterling,17,ENG,WB,27-280,83,1,0,0,0,2,1,0,0,51,2,0,0,0.1,0.1,0.1,5,0,25,33,75.8,7,39,3,2,0
c36141e9,Chelsea,Christian Pulisic,10,USA,LW,23-361,7,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,8,9,88.9,3,10,1,1,0
c36141e9,Chelsea,Reece James,24,ENG,"WB,CB",22-280,90,0,0,0,0,2,0,1,0,106,3,0,0,0.1,0.1,0.0,5,1,81,97,83.5,10,82,5,3,3
c36141e9,Chelsea,Marc Cucurella,32,ESP,CB,24-054,90,0,0,0,0,0,0,0,0,105,6,2,2,0.0,0.0,0.1,4,0,72,90,80.0,6,65,1,3,1
c36141e9,Chelsea,Thiago Silva,6,BRA,CB,37-357,90,0,0,0,0,0,0,0,0,109,2,3,0,0.0,0.0,0.0,1,0,87,97,89.7,5,81,0,0,0
c36141e9,Chelsea,César Azpilicueta,28,ESP,CB,33-017,80,0,0,0,0,0,0,0,0,101,1,2,0,0.0,0.0,0.1,2,0,89,96,92.7,7,80,0,0,0
c36141e9,Chelsea,Hakim Ziyech,22,MAR,"RW,RM",29-179,10,0,0,0,0,3,3,0,0,16,0,0,2,0.2,0.2,0.0,0,0,4,10,40.0,2,11,0,2,1
c36141e9,Chelsea,Kepa Arrizabalaga,1,ESP,GK,27-346,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,28,39,71.8,0,34,0,0,0
c36141e9,RB Salzburg,Noah Okafor,77,SUI,FW,22-113,84,1,0,0,0,2,2,0,0,22,0,0,1,0.2,0.2,0.0,0,0,8,13,61.5,1,15,1,2,0
c36141e9,RB Salzburg,Sekou Koita,20,MLI,FW,22-290,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0
c36141e9,RB Salzburg,Benjamin Šeško,30,SVN,FW,19-106,69,0,0,0,0,2,1,0,0,46,2,0,1,0.1,0.1,0.0,1,0,17,30,56.7,0,29,1,6,1
c36141e9,RB Salzburg,Junior Adamu,9,AUT,FW,21-100,21,0,1,0,0,0,0,1,0,16,1,0,0,0.0,0.0,0.1,1,1,3,9,33.3,0,9,0,2,1
c36141e9,RB Salzburg,Luka Sučić,21,CRO,AM,20-006,69,0,0,0,0,0,0,0,0,26,1,2,3,0.0,0.0,0.1,0,0,11,16,68.8,0,17,1,1,0
c36141e9,RB Salzburg,Dijon Kameri,8,AUT,AM,18-147,21,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,1,0,9,11,81.8,1,9,0,1,0
c36141e9,RB Salzburg,Maurits Kjærgaard,14,DEN,LM,19-080,45,0,0,0,0,0,0,0,0,14,1,0,2,0.0,0.0,0.0,0,0,3,6,50.0,0,7,1,1,0
c36141e9,RB Salzburg,Lucas Gourna-Douath,27,FRA,CM,19-040,45,0,0,0,0,0,0,0,0,22,2,1,1,0.0,0.0,0.0,0,0,9,14,64.3,2,11,1,2,1
c36141e9,RB Salzburg,Nicolas Seiwald,13,AUT,"LM,CM",21-133,90,0,0,0,0,0,0,0,0,43,7,0,0,0.0,0.0,0.0,0,0,18,34,52.9,1,25,1,1,0
c36141e9,RB Salzburg,Nicolás Capaldo,7,ARG,RM,25-000,90,0,0,0,0,0,0,1,0,33,0,1,1,0.0,0.0,0.0,1,0,7,19,36.8,2,19,2,2,0
c36141e9,RB Salzburg,Andreas Ulmer,17,AUT,LB,36-319,90,0,0,0,0,0,0,1,0,56,3,1,0,0.0,0.0,0.0,1,0,25,40,62.5,2,19,0,0,0
c36141e9,RB Salzburg,Strahinja Pavlović,31,SRB,CB,21-113,90,0,0,0,0,0,0,1,0,31,0,1,2,0.0,0.0,0.0,0,0,15,22,68.2,5,11,1,1,1
c36141e9,RB Salzburg,Bernardo,95,BRA,CB,27-123,90,0,0,0,0,0,0,0,0,26,1,3,1,0.0,0.0,0.0,0,0,8,13,61.5,1,8,0,0,0
c36141e9,RB Salzburg,Amar Dedić,70,BIH,RB,20-027,90,0,0,0,0,0,0,0,0,53,5,3,1,0.0,0.0,0.0,0,0,21,39,53.8,0,17,0,1,0
c36141e9,RB Salzburg,Philipp Köhn,18,SUI,GK,24-165,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,18,29,62.1,0,19,0,0,0
