match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e925926a,Shakhtar,Oleksandr Zubkov,11,UKR,FW,26-042,60,0,0,0,0,1,0,0,0,27,0,1,1,0.0,0.0,0.0,0,0,14,19,73.7,1,16,1,1,0
e925926a,Shakhtar,Lassina Franck Traoré,2,BFA,FW,21-245,30,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0
e925926a,Shakhtar,Mykhailo Mudryk,10,UKR,LM,21-252,90,1,0,0,0,1,1,0,0,41,0,0,0,0.2,0.2,0.0,0,0,27,34,79.4,5,27,4,5,2
e925926a,Shakhtar,Heorhiy Sudakov,8,UKR,CM,20-013,76,0,1,0,0,0,0,0,0,50,2,1,0,0.0,0.0,0.2,1,1,35,41,85.4,4,24,0,1,1
e925926a,Shakhtar,Oleh Ocheretko,27,UKR,CM,19-112,14,0,0,0,0,1,0,0,0,9,2,0,0,0.1,0.1,0.0,1,0,4,6,66.7,1,6,1,2,1
e925926a,Shakhtar,Artem Bondarenko,21,UKR,CM,22-024,73,0,0,0,0,0,0,0,0,43,2,1,0,0.0,0.0,0.0,2,0,29,34,85.3,2,21,2,1,1
e925926a,Shakhtar,Neven Đurasek,17,CRO,CM,24-030,17,0,0,0,0,0,0,0,0,12,0,2,0,0.0,0.0,0.0,0,0,9,9,100.0,2,7,1,0,0
e925926a,Shakhtar,Maryan Shved,9,UKR,RM,25-060,60,0,0,0,0,2,1,0,0,32,3,2,2,0.0,0.0,0.0,1,0,13,20,65.0,1,13,3,1,1
e925926a,Shakhtar,Ivan Petryak,34,UKR,RM,28-185,30,0,0,0,0,0,0,0,0,11,1,0,2,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,1,0
e925926a,Shakhtar,Taras Stepanenko,6,UKR,DM,33-037,90,0,0,0,0,0,0,0,0,68,4,1,0,0.0,0.0,0.0,1,0,48,56,85.7,4,33,0,0,0
e925926a,Shakhtar,Yukhym Konoplia,26,UKR,LB,23-019,90,0,0,0,0,0,0,0,0,62,3,0,3,0.0,0.0,0.0,1,1,41,50,82.0,3,34,3,2,0
e925926a,Shakhtar,Mykola Matviyenko,22,UKR,CB,26-135,90,0,0,0,0,0,0,0,0,75,1,0,2,0.0,0.0,0.0,1,0,61,68,89.7,2,54,0,0,0
e925926a,Shakhtar,Valerii Bondar,5,UKR,CB,23-199,90,0,0,0,0,0,0,0,0,77,1,1,2,0.0,0.0,0.0,1,0,63,71,88.7,0,43,0,0,0
e925926a,Shakhtar,Lucas Taylor,23,BRA,RB,27-157,90,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.0,0,0,34,42,81.0,1,18,0,2,1
e925926a,Shakhtar,Anatolii Trubin,81,UKR,GK,21-044,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,37,50,74.0,0,26,0,0,0
e925926a,Celtic,Kyogo Furuhashi,8,JPN,FW,27-237,67,0,0,0,0,1,1,0,0,12,0,0,2,0.3,0.3,0.0,1,0,4,6,66.7,1,8,0,1,0
e925926a,Celtic,Giorgos Giakoumakis,7,GRE,FW,27-279,23,0,0,0,0,1,0,0,0,7,0,0,0,0.2,0.2,0.1,1,0,3,5,60.0,0,5,0,0,0
e925926a,Celtic,Jota,17,POR,LW,23-168,85,0,0,0,0,5,2,0,0,54,0,2,1,0.3,0.3,0.2,10,0,28,37,75.7,1,40,6,9,8
e925926a,Celtic,Liel Abada,11,ISR,RW,20-346,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,5,0,0,0
e925926a,Celtic,Sead Haksabanović,9,MNE,RW,23-133,45,0,0,0,0,0,0,0,0,27,0,1,1,0.0,0.0,0.0,0,0,16,23,69.6,1,21,2,2,0
e925926a,Celtic,Daizen Maeda,38,JPN,"RW,LW",24-329,45,0,0,0,0,2,0,0,0,17,2,2,0,0.3,0.3,0.1,1,0,7,9,77.8,1,9,0,2,0
e925926a,Celtic,Matt O'Riley,33,DEN,AM,21-297,67,0,0,0,0,4,2,0,0,41,1,1,2,0.2,0.2,0.3,3,0,24,31,77.4,3,18,0,1,0
e925926a,Celtic,Aaron Mooy,13,AUS,"AM,DM",31-364,23,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,2,0,23,26,88.5,2,21,0,0,0
e925926a,Celtic,Reo Hatate,41,JPN,DM,24-297,67,0,0,0,0,0,0,0,0,52,1,0,2,0.0,0.0,0.0,1,0,33,44,75.0,7,28,1,3,1
e925926a,Celtic,David Turnbull,14,SCO,"DM,AM",23-066,23,0,0,0,0,1,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,12,66.7,1,7,0,0,0
e925926a,Celtic,Callum McGregor,42,SCO,DM,29-092,90,0,0,0,0,0,0,0,0,80,1,2,2,0.0,0.0,0.0,3,0,65,70,92.9,8,48,1,1,1
e925926a,Celtic,Greg Taylor,3,SCO,LB,24-313,90,0,0,0,0,0,0,0,0,91,3,2,1,0.0,0.0,0.4,4,0,72,82,87.8,11,57,1,2,1
e925926a,Celtic,Moritz Jenz,6,GER,CB,23-137,90,0,0,0,0,1,1,1,0,123,2,2,4,0.1,0.1,0.0,1,0,109,114,95.6,8,92,2,0,0
e925926a,Celtic,Cameron Carter-Vickers,20,USA,CB,24-257,90,0,0,0,0,1,0,0,0,101,1,1,1,0.1,0.1,0.0,0,0,90,95,94.7,8,81,2,0,0
e925926a,Celtic,Josip Juranović,88,CRO,RB,27-029,90,0,0,0,0,0,0,0,0,71,2,0,0,0.0,0.0,0.1,2,0,52,63,82.5,7,40,1,1,1
e925926a,Celtic,Joe Hart,1,ENG,GK,35-148,90,0,0,0,0,0,0,0,0,29,0,1,0,0.0,0.0,0.0,0,0,27,28,96.4,0,17,0,0,0
