match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2f87030c,Trabzonspor,Maxi Gómez,30,URU,FW,26-032,60,0,0,0,0,1,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,5,9,55.6,0,11,0,1,1
2f87030c,Trabzonspor,Abdülkadir Ömür,10,TUR,RW,23-082,18,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,11,13,84.6,2,9,3,0,0
2f87030c,Trabzonspor,Umut Bozok,9,TUR,FW,25-361,12,0,0,0,0,1,1,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,4,1,0,0
2f87030c,Trabzonspor,Djaniny,21,CPV,"LW,FW,RW",31-178,78,0,0,0,0,1,0,1,0,40,0,0,0,0.2,0.2,0.2,6,0,26,34,76.5,4,30,5,2,1
2f87030c,Trabzonspor,Montassir Lahtimi,80,MAR,RW,21-167,12,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,3,0,9,9,100.0,2,8,1,1,1
2f87030c,Trabzonspor,Trézéguet,27,EGY,"LW,RW",27-349,90,1,1,0,0,6,3,0,0,53,0,1,2,0.4,0.4,0.4,5,1,33,37,89.2,4,29,4,0,0
2f87030c,Trabzonspor,Anastasios Bakasetas,11,GRE,AM,29-079,90,0,1,0,0,1,0,0,0,74,1,0,1,0.0,0.0,0.2,6,1,57,67,85.1,12,51,4,3,2
2f87030c,Trabzonspor,Emmanouil Siopis,6,GRE,DM,28-124,90,0,0,0,0,1,0,0,0,62,1,0,0,0.0,0.0,0.1,4,0,49,51,96.1,3,30,0,2,1
2f87030c,Trabzonspor,Marek Hamšík,17,SVK,DM,35-050,60,1,0,0,0,2,1,0,0,69,1,0,2,0.4,0.4,0.1,3,0,53,65,81.5,8,37,1,0,0
2f87030c,Trabzonspor,Enis Bardhi,29,MKD,DM,27-075,30,0,0,0,0,3,1,0,0,25,0,0,0,0.1,0.1,0.0,0,0,21,22,95.5,3,18,0,0,0
2f87030c,Trabzonspor,Evren Eren Elmalı,18,TUR,LB,22-070,90,0,0,0,0,1,0,1,0,64,1,0,1,0.0,0.0,0.0,0,0,47,56,83.9,5,41,0,2,1
2f87030c,Trabzonspor,Stefano Denswil,24,SUR,CB,29-131,90,0,0,0,0,0,0,0,0,61,2,0,0,0.0,0.0,0.0,1,1,49,55,89.1,2,41,0,0,0
2f87030c,Trabzonspor,Marc Bartra,3,ESP,"CB,RB",31-243,90,0,0,0,0,1,0,0,0,92,1,1,1,0.1,0.1,0.1,1,0,70,80,87.5,4,56,0,2,2
2f87030c,Trabzonspor,Jens Stryger Larsen,19,DEN,RB,31-206,68,0,0,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.0,2,0,56,65,86.2,3,39,0,0,0
2f87030c,Trabzonspor,Vitor Hugo,13,BRA,CB,31-118,22,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,7,0,0,0
2f87030c,Trabzonspor,Uğurcan Çakır,1,TUR,GK,26-163,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,23,31,74.2,0,13,0,0,0
2f87030c,Red Star,Aleksandar Pešić,72,SRB,FW,30-117,58,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,11,1,0,0
2f87030c,Red Star,Kalifa Coulibaly,70,MLI,FW,31-025,32,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,1,1
2f87030c,Red Star,Kings Kangwa,20,ZAM,"LM,CM,DM",23-162,62,0,0,0,0,2,0,2,1,38,1,3,0,0.0,0.0,0.0,2,0,20,26,76.9,4,16,0,1,1
2f87030c,Red Star,Sékou Sanogo,35,CIV,CM,33-133,58,0,0,0,0,0,0,1,0,27,0,1,0,0.0,0.0,0.0,0,0,18,21,85.7,0,12,0,0,0
2f87030c,Red Star,Ibrahim Mustapha,18,GHA,"RW,AM",22-089,32,0,1,0,0,0,0,0,0,17,2,0,1,0.0,0.0,0.1,1,1,8,12,66.7,0,11,2,0,0
2f87030c,Red Star,Guélor Kanga,8,GAB,"CM,DM",32-014,83,0,0,0,0,1,0,0,0,74,0,1,0,0.0,0.0,0.0,2,0,57,69,82.6,10,36,0,3,1
2f87030c,Red Star,Radovan Pankov,6,SRB,DM,27-041,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0
2f87030c,Red Star,Osman Bukari,11,GHA,"RM,RW",23-276,69,0,0,0,0,1,1,0,0,30,0,0,1,0.0,0.0,0.0,3,0,19,22,86.4,2,15,0,1,0
2f87030c,Red Star,Veljko Nikolić,22,SRB,DM,23-017,21,1,0,0,0,1,1,0,0,22,2,0,0,0.1,0.1,0.0,0,0,15,19,78.9,2,12,0,2,2
2f87030c,Red Star,Milan Rodić,23,SRB,LB,31-166,90,0,0,0,0,1,0,0,0,40,0,1,1,0.0,0.0,0.0,1,0,25,32,78.1,4,13,1,0,0
2f87030c,Red Star,Aleksandar Dragović,15,AUT,CB,31-193,90,0,0,0,0,0,0,0,0,53,2,1,1,0.0,0.0,0.0,0,0,40,45,88.9,2,22,0,0,0
2f87030c,Red Star,Nemanja Milunović,19,SRB,CB,33-107,90,0,0,0,0,0,0,0,0,58,1,3,4,0.0,0.0,0.0,0,0,36,44,81.8,7,24,0,1,1
2f87030c,Red Star,Strahinja Eraković,25,SRB,"RB,CB",21-236,90,0,0,0,0,0,0,0,0,46,1,2,3,0.0,0.0,0.0,0,0,28,36,77.8,6,20,2,0,0
2f87030c,Red Star,Slavoljub Srnić,55,SRB,RB,30-246,45,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.0,1,0,15,22,68.2,2,12,0,0,0
2f87030c,Red Star,Aleksandar Katai,10,SRB,"AM,LW",31-221,45,0,0,0,0,0,0,1,0,20,0,0,1,0.0,0.0,0.0,1,1,9,14,64.3,1,8,0,1,0
2f87030c,Red Star,Milan Borjan,82,CAN,GK,34-327,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,20,31,64.5,0,16,0,0,0
