match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5b886548,Roma,Tammy Abraham,9,ENG,FW,25-158,60,0,1,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.6,2,1,7,11,63.6,1,9,1,0,0
5b886548,Roma,Andrea Belotti,11,ITA,FW,29-079,30,0,0,0,0,1,0,0,0,14,0,0,1,0.0,0.0,0.0,0,0,6,9,66.7,1,12,2,2,0
5b886548,Roma,Lorenzo Pellegrini,7,ITA,AM,26-263,60,0,0,0,0,1,0,0,0,20,0,0,1,0.4,0.4,0.0,1,0,9,12,75.0,0,10,0,3,2
5b886548,Roma,Georginio Wijnaldum,25,NED,AM,32-118,30,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,2,9,1,1,0
5b886548,Roma,Paulo Dybala,21,ARG,AM,29-114,87,0,1,0,0,2,0,0,0,40,1,1,2,0.5,0.5,1.0,5,2,17,24,70.8,4,24,2,4,1
5b886548,Roma,Edoardo Bove,52,ITA,AM,20-297,3,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0
5b886548,Roma,Nemanja Matić,8,SRB,CM,34-220,90,0,0,0,0,0,0,1,0,70,3,3,3,0.0,0.0,0.0,0,0,41,53,77.4,3,37,3,2,1
5b886548,Roma,Bryan Cristante,4,ITA,CM,28-006,90,0,0,0,0,2,1,0,0,53,2,1,2,0.1,0.1,0.0,1,1,28,42,66.7,2,29,0,0,0
5b886548,Roma,Stephan El Shaarawy,92,ITA,WB,30-133,59,1,0,0,0,1,1,0,0,43,1,0,1,0.6,0.6,0.0,0,0,27,35,77.1,1,25,2,2,1
5b886548,Roma,Leonardo Spinazzola,37,ITA,WB,29-349,31,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,1,0,11,13,84.6,0,13,4,2,0
5b886548,Roma,Rick Karsdorp,2,NED,WB,28-026,90,0,0,0,0,0,0,0,0,51,1,0,1,0.0,0.0,0.1,3,0,33,47,70.2,2,33,2,1,1
5b886548,Roma,Diego Llorente,14,ESP,CB,29-205,45,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,18,72.2,0,17,0,1,0
5b886548,Roma,Marash Kumbulla,24,ALB,CB,23-029,45,1,0,0,0,2,1,0,0,28,2,2,0,0.6,0.6,0.0,0,0,16,19,84.2,0,20,0,0,0
