match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5c6990ab,Real Sociedad,Carlos Fernández,9,ESP,FW,26-165,72,0,0,0,0,2,0,1,0,24,2,0,1,0.2,0.2,0.1,2,0,10,14,71.4,1,15,0,2,1
5c6990ab,Real Sociedad,Ander Guevara,16,ESP,RM,25-119,18,0,0,0,0,1,1,0,0,10,0,0,1,0.1,0.1,0.0,1,0,4,7,57.1,1,3,0,0,0
5c6990ab,Real Sociedad,Alexander Sørloth,19,NOR,FW,26-333,81,0,0,0,0,3,0,0,0,26,0,0,0,0.2,0.2,0.0,0,0,12,17,70.6,0,13,2,3,1
5c6990ab,Real Sociedad,Jon Magunazelaia,34,ESP,FW,22-113,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,1,5,0,0,0
5c6990ab,Real Sociedad,Pablo Marín,42,ESP,AM,19-123,57,0,0,0,0,3,2,0,0,42,0,0,2,0.4,0.4,0.0,2,0,26,32,81.3,3,30,1,2,1
5c6990ab,Real Sociedad,Roberto Navarro,17,ESP,"FW,AM",20-205,33,0,0,0,0,1,0,0,0,19,1,1,2,0.0,0.0,0.1,1,0,8,12,66.7,1,10,2,1,0
5c6990ab,Real Sociedad,Mikel Merino,8,ESP,"LM,CM",26-134,90,0,0,0,0,1,0,0,0,71,2,1,0,0.0,0.0,0.1,2,0,43,61,70.5,10,34,2,1,0
5c6990ab,Real Sociedad,Martín Zubimendi,3,ESP,"CM,AM",23-274,90,0,0,0,0,1,0,0,0,53,0,1,1,0.1,0.1,0.0,2,0,31,46,67.4,1,33,1,2,0
5c6990ab,Real Sociedad,Brais Méndez,23,ESP,"RM,LM",25-300,81,0,0,0,0,0,0,1,0,51,2,0,3,0.0,0.0,0.2,4,0,30,40,75.0,4,28,3,2,1
5c6990ab,Real Sociedad,Igor Zubeldia,5,ESP,LM,25-218,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
5c6990ab,Real Sociedad,Diego Rico,15,ESP,LB,29-253,90,0,0,0,0,0,0,0,0,70,4,0,0,0.0,0.0,0.1,4,0,41,56,73.2,6,30,1,3,1
5c6990ab,Real Sociedad,Jon Pacheco,20,ESP,CB,21-299,90,0,0,0,0,0,0,0,0,60,1,2,3,0.0,0.0,0.0,2,0,43,49,87.8,2,34,0,0,0
5c6990ab,Real Sociedad,Robin Le Normand,24,ESP,CB,25-357,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.0,0,0,33,41,80.5,0,23,0,0,0
5c6990ab,Real Sociedad,Andoni Gorosabel,18,ESP,RB,26-091,57,0,0,0,0,1,1,0,0,25,0,1,0,0.0,0.0,0.0,2,0,16,22,72.7,3,12,3,0,0
5c6990ab,Real Sociedad,Aritz Elustondo,6,ESP,RB,28-220,33,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,0,3,0,0,0
5c6990ab,Real Sociedad,Álex Remiro,1,ESP,GK,27-224,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,26,41,63.4,0,25,0,0,0
5c6990ab,Manchester Utd,Cristiano Ronaldo,7,POR,"FW,RW",37-271,90,0,1,0,0,2,0,1,0,31,0,0,1,0.4,0.4,0.2,1,1,14,22,63.6,4,12,1,1,0
5c6990ab,Manchester Utd,Alejandro Garnacho,49,ARG,LW,18-125,82,1,0,0,0,2,1,0,0,27,0,2,1,0.3,0.3,0.0,0,0,13,18,72.2,1,16,3,1,1
5c6990ab,Manchester Utd,Harry Maguire,5,ENG,FW,29-243,8,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
5c6990ab,Manchester Utd,Bruno Fernandes,8,POR,"RW,RM",28-056,90,0,0,0,0,0,0,0,0,60,1,3,2,0.0,0.0,0.1,3,1,39,50,78.0,6,31,3,3,2
5c6990ab,Manchester Utd,Donny van de Beek,34,NED,AM,25-199,57,0,0,0,0,0,0,0,0,18,1,0,1,0.0,0.0,0.0,1,0,9,14,64.3,1,10,0,0,0
5c6990ab,Manchester Utd,Marcus Rashford,10,ENG,"AM,LW",25-003,33,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,9,14,64.3,0,10,0,2,0
5c6990ab,Manchester Utd,Christian Eriksen,14,DEN,"DM,CM",30-262,82,0,0,0,0,0,0,0,0,46,1,1,1,0.0,0.0,0.0,1,0,30,40,75.0,4,29,0,0,0
5c6990ab,Manchester Utd,Fred,17,BRA,LM,29-243,8,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,10,13,76.9,3,10,0,0,0
5c6990ab,Manchester Utd,Casemiro,18,BRA,"DM,CM",30-253,90,0,0,0,0,0,0,0,0,43,4,2,2,0.0,0.0,0.0,0,0,23,28,82.1,3,12,1,0,0
5c6990ab,Manchester Utd,Luke Shaw,23,ENG,"LB,CB",27-114,90,0,0,0,0,0,0,0,0,86,1,3,1,0.0,0.0,0.0,0,0,54,74,73.0,4,51,6,2,2
5c6990ab,Manchester Utd,Lisandro Martínez,6,ARG,CB,24-289,90,0,0,0,0,0,0,1,0,79,1,3,1,0.0,0.0,0.0,0,0,54,65,83.1,3,33,0,0,0
5c6990ab,Manchester Utd,Victor Lindelöf,2,SWE,CB,28-109,57,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,30,30,100.0,1,20,0,0,0
5c6990ab,Manchester Utd,Scott McTominay,39,SCO,CM,25-330,33,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,9,13,69.2,1,6,0,0,0
5c6990ab,Manchester Utd,Diogo Dalot,20,POR,"RB,CB",23-230,90,0,0,0,0,0,0,1,0,93,6,6,1,0.0,0.0,0.0,0,0,57,72,79.2,7,56,1,2,0
5c6990ab,Manchester Utd,David de Gea,1,ESP,GK,31-361,90,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,0,0,35,46,76.1,0,28,0,0,0
