match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
db4c2e9d,Union Berlin,Sheraldo Becker,27,SUR,FW,28-014,84,0,0,0,0,4,3,1,0,30,2,0,1,0.4,0.4,0.0,1,0,9,20,45.0,0,16,5,1,1
db4c2e9d,Union Berlin,Jamie Leweling,40,GER,FW,21-362,6,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,4,1,3,2
db4c2e9d,Union Berlin,Kevin Behrens,17,GER,FW,32-020,64,0,0,0,0,0,0,0,0,32,2,0,3,0.0,0.0,0.0,1,0,13,21,61.9,4,17,0,0,0
db4c2e9d,Union Berlin,Jordan Pefok,45,USA,FW,26-303,26,0,0,0,0,1,0,0,0,8,0,0,0,0.1,0.1,0.0,1,0,1,4,25.0,0,3,1,0,0
db4c2e9d,Union Berlin,Aïssa Laïdouni,20,TUN,CM,26-072,64,0,0,0,0,0,0,0,0,16,3,0,2,0.0,0.0,0.0,0,0,4,6,66.7,1,7,0,1,1
db4c2e9d,Union Berlin,Morten Thorsby,2,NOR,CM,26-294,26,0,0,0,0,1,0,0,0,18,2,2,0,0.1,0.1,0.0,1,0,4,9,44.4,1,1,0,0,0
db4c2e9d,Union Berlin,Rani Khedira,8,GER,CM,29-027,90,0,0,0,0,0,0,0,0,26,2,1,2,0.0,0.0,0.3,2,0,15,18,83.3,0,8,0,0,0
db4c2e9d,Union Berlin,Janik Haberer,19,GER,CM,28-327,90,0,1,0,0,0,0,0,0,33,2,0,4,0.0,0.0,0.1,3,1,15,21,71.4,0,10,0,4,1
db4c2e9d,Union Berlin,Jérôme Roussillon,26,FRA,WB,30-048,89,0,0,0,0,0,0,0,0,24,2,1,0,0.0,0.0,0.1,1,0,8,14,57.1,1,9,2,1,1
db4c2e9d,Union Berlin,Niko Gießelmann,23,GER,WB,31-150,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,1,0,0,0
db4c2e9d,Union Berlin,Josip Juranović,18,CRO,WB,27-191,89,1,1,0,0,1,1,0,0,39,3,0,0,0.1,0.1,0.4,5,3,18,29,62.1,0,5,1,0,0
db4c2e9d,Union Berlin,Christopher Trimmel,28,AUT,WB,35-364,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0
db4c2e9d,Union Berlin,Diogo Leite,4,POR,CB,24-031,90,0,0,0,0,0,0,0,0,38,1,1,0,0.0,0.0,0.0,0,0,24,28,85.7,4,10,0,0,0
