match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
00ab5d89,Real Sociedad,Jon Karrikaburu,33,ESP,FW,19-361,60,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,0,0,8,11,72.7,1,7,2,0,0
00ab5d89,Real Sociedad,Alexander Sørloth,19,NOR,FW,26-284,30,1,0,0,0,2,2,0,0,15,1,0,0,0.3,0.3,0.1,2,0,9,12,75.0,1,7,2,0,0
00ab5d89,Real Sociedad,Mohamed Ali Cho,11,FRA,LW,18-239,60,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,13,0,6,2
00ab5d89,Real Sociedad,Takefusa Kubo,14,JPN,"LW,RW",21-103,30,0,1,0,0,2,0,0,0,23,0,0,0,0.2,0.2,0.2,1,0,11,18,61.1,1,17,2,1,0
00ab5d89,Real Sociedad,Brais Méndez,23,ESP,"RW,AM",25-251,90,0,0,0,0,2,1,0,0,89,4,3,3,0.1,0.1,0.2,5,0,55,71,77.5,4,60,1,1,1
00ab5d89,Real Sociedad,Asier Illarramendi,4,ESP,LM,32-191,74,0,0,0,0,0,0,0,0,80,1,1,2,0.0,0.0,0.0,2,0,63,73,86.3,8,47,3,1,1
00ab5d89,Real Sociedad,Beñat Turrientes,22,ESP,"LM,DM",20-227,16,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0
00ab5d89,Real Sociedad,Ander Guevara,16,ESP,"CM,DM",25-070,90,1,0,0,0,1,1,0,0,83,2,0,1,0.0,0.0,0.0,2,0,67,78,85.9,3,61,1,0,0
00ab5d89,Real Sociedad,Mikel Merino,8,ESP,RM,26-085,60,0,0,0,0,0,0,0,0,49,1,1,1,0.0,0.0,0.4,2,0,36,43,83.7,1,31,2,2,1
00ab5d89,Real Sociedad,Roberto Navarro,17,ESP,"RM,LW",20-156,30,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,1,1,9,14,64.3,2,17,1,5,2
00ab5d89,Real Sociedad,Diego Rico,15,ESP,LB,29-204,90,0,0,0,0,2,0,0,0,86,3,2,2,0.0,0.0,0.2,3,1,60,74,81.1,9,46,3,4,1
00ab5d89,Real Sociedad,Igor Zubeldia,5,ESP,CB,25-169,90,0,0,0,0,0,0,1,0,88,3,1,0,0.0,0.0,0.0,0,0,71,84,84.5,4,60,1,0,0
00ab5d89,Real Sociedad,Aritz Elustondo,6,ESP,CB,28-171,90,0,0,0,0,2,0,0,0,103,3,2,1,0.4,0.4,0.0,0,0,80,90,88.9,7,77,1,0,0
00ab5d89,Real Sociedad,Alex Sola,2,ESP,RB,23-098,74,0,0,0,0,0,0,0,0,90,1,0,0,0.0,0.0,0.0,0,0,69,78,88.5,5,69,2,4,2
00ab5d89,Real Sociedad,Andoni Gorosabel,18,ESP,RB,26-042,16,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,2,9,0,0,0
00ab5d89,Real Sociedad,Álex Remiro,1,ESP,GK,27-175,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,26,31,83.9,0,21,0,0,0
00ab5d89,AC Omonia,Karim Ansarifard,18,IRN,FW,32-165,64,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,9,14,64.3,0,12,0,2,1
00ab5d89,AC Omonia,Bruno Felipe Souza da Silva,7,BRA,FW,28-112,26,1,0,0,0,2,1,0,0,12,0,0,0,0.2,0.2,0.0,0,0,4,6,66.7,0,7,1,2,2
00ab5d89,AC Omonia,Loizos Loizou,10,CYP,FW,19-059,90,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,6,10,60.0,1,16,2,8,2
00ab5d89,AC Omonia,Mix Diskerud,42,USA,CM,31-348,64,0,0,0,0,0,0,1,0,21,1,1,1,0.0,0.0,0.0,0,0,9,11,81.8,1,13,1,1,1
00ab5d89,AC Omonia,Fotios Papoulis,13,CYP,CM,37-236,26,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,3,1,1,0
00ab5d89,AC Omonia,Fouad Bachirou,19,COM,CM,32-153,90,0,0,0,0,0,0,1,0,35,1,3,1,0.0,0.0,0.0,0,0,14,23,60.9,1,14,1,2,2
00ab5d89,AC Omonia,Moreto Cassamã,8,GNB,CM,24-211,12,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,5,40.0,1,1,0,0,0
00ab5d89,AC Omonia,Charalampos Charalampous,76,CYP,CM,20-164,78,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,22,29,75.9,1,23,1,5,3
00ab5d89,AC Omonia,Fotios Kitsos,14,GRE,WB,19-168,90,0,0,0,0,0,0,0,0,53,7,1,0,0.0,0.0,0.0,0,0,19,36,52.8,0,25,1,8,4
00ab5d89,AC Omonia,Paris Psaltis,2,CYP,WB,25-307,64,0,0,0,0,0,0,0,0,32,1,1,2,0.0,0.0,0.0,0,0,14,26,53.8,2,13,2,1,1
00ab5d89,AC Omonia,Adam Matthews,3,WAL,WB,30-245,26,0,0,0,0,0,0,0,0,12,3,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,5,2,0,0
00ab5d89,AC Omonia,Nikolas Panayiotou,30,CYP,CB,22-126,90,0,0,0,0,0,0,0,0,48,5,1,1,0.0,0.0,0.0,0,0,22,37,59.5,1,26,0,0,0
00ab5d89,AC Omonia,Héctor Yuste,6,ESP,CB,34-246,49,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,12,13,92.3,0,7,0,1,1
00ab5d89,AC Omonia,Ádám Lang,22,HUN,CB,29-241,41,0,0,0,0,0,0,1,0,25,0,1,0,0.0,0.0,0.0,1,1,12,16,75.0,0,7,0,0,0
00ab5d89,AC Omonia,Nemanja Miletić,73,SRB,CB,31-242,90,0,1,0,0,0,0,0,0,43,1,1,0,0.0,0.0,0.0,1,1,19,33,57.6,3,18,0,1,1
00ab5d89,AC Omonia,Fabiano,40,BRA,GK,34-198,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,5,26,19.2,0,13,0,0,0
