match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
102d138c,Zürich,Tosin Aiyegun,15,BEN,FW,24-102,90,0,1,0,0,3,2,0,0,35,1,0,0,0.8,0.8,0.4,6,2,18,25,72.0,1,21,7,10,7
102d138c,Zürich,Fabian Rohner,23,SUI,"FW,WB",24-050,90,0,0,0,0,0,0,0,0,27,1,1,0,0.0,0.0,0.6,3,0,16,20,80.0,5,19,2,3,2
102d138c,Zürich,Antonio Marchesano,10,SUI,AM,31-261,70,0,0,0,0,2,1,0,0,41,0,0,0,0.1,0.1,0.0,1,0,20,32,62.5,1,28,1,3,0
102d138c,Zürich,Donis Avdijaj,18,KVX,AM,26-042,20,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,2,0,3,5,60.0,1,5,0,0,0
102d138c,Zürich,Ole Selnæs,8,NOR,CM,28-091,90,0,0,0,0,0,0,0,0,68,3,3,3,0.0,0.0,0.0,3,0,54,58,93.1,5,53,2,1,1
102d138c,Zürich,Blerim Džemaili,21,SUI,CM,36-177,56,0,0,0,0,1,1,0,0,31,1,0,0,0.0,0.0,0.0,1,0,21,26,80.8,2,25,1,0,0
102d138c,Zürich,Karol Mets,28,EST,CB,29-143,34,0,0,0,0,0,0,0,0,24,0,2,0,0.0,0.0,0.0,0,0,20,21,95.2,0,17,0,0,0
102d138c,Zürich,Adrián Guerrero,3,ESP,WB,24-251,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,3,0,30,35,85.7,3,29,3,3,1
102d138c,Zürich,Nikola Boranijašević,19,SRB,WB,30-140,56,0,0,0,0,0,0,0,0,47,1,1,0,0.0,0.0,0.0,0,0,30,38,78.9,3,18,2,2,1
102d138c,Zürich,Jonathan Okita,11,COD,"FW,WB",27-001,34,1,0,0,0,3,1,0,0,18,0,0,2,0.4,0.4,0.0,2,0,5,10,50.0,1,14,0,3,1
102d138c,Zürich,Fidan Aliti,6,KVX,CB,29-003,56,0,0,0,0,1,0,0,0,45,2,1,0,0.0,0.0,0.1,0,0,31,38,81.6,7,33,0,0,0
102d138c,Zürich,Marc Hornschuh,16,GER,CM,31-218,34,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,7,0,0,0
102d138c,Zürich,Mirlind Kryeziu,31,KVX,CB,25-253,70,0,0,0,0,0,0,0,0,59,0,1,2,0.0,0.0,0.0,0,0,47,52,90.4,0,47,0,0,0
102d138c,Zürich,Nikola Katić,24,BIH,CB,25-361,20,0,0,0,0,0,0,0,0,22,0,2,0,0.0,0.0,0.0,0,0,15,17,88.2,0,14,0,1,0
102d138c,Zürich,Lindrit Kamberi,2,SUI,CB,22-364,90,0,0,0,0,0,0,0,0,68,1,1,1,0.0,0.0,0.0,1,0,49,60,81.7,5,50,0,2,1
102d138c,Zürich,Yanick Brecher,25,SUI,GK,29-134,90,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.0,0,0,33,39,84.6,0,25,0,0,0
102d138c,PSV Eindhoven,Yorbe Vertessen,32,BEL,FW,21-271,60,2,0,0,0,3,2,0,0,14,0,0,0,0.4,0.4,0.0,1,0,5,6,83.3,1,8,1,0,0
102d138c,PSV Eindhoven,Guus Til,20,NED,AM,24-288,30,0,0,0,0,1,1,0,0,23,0,0,0,0.1,0.1,0.0,0,0,16,17,94.1,2,19,0,0,0
102d138c,PSV Eindhoven,Cody Gakpo,11,NED,LW,23-152,60,2,1,0,0,5,2,0,0,36,0,0,0,0.3,0.3,0.3,3,2,16,22,72.7,3,24,3,2,1
102d138c,PSV Eindhoven,Anwar El Ghazi,21,NED,FW,27-156,30,0,0,0,0,1,0,0,0,17,0,0,1,0.0,0.0,0.0,1,0,11,14,78.6,2,15,1,1,1
102d138c,PSV Eindhoven,Ismael Saibari,28,MAR,RW,21-251,90,0,0,0,0,1,1,0,0,64,1,0,1,0.0,0.0,0.0,3,0,48,55,87.3,5,56,8,3,2
102d138c,PSV Eindhoven,Xavi Simons,7,NED,AM,19-168,60,1,0,0,0,1,1,0,0,36,4,0,1,0.3,0.3,0.0,3,1,17,23,73.9,1,23,3,4,3
102d138c,PSV Eindhoven,Johan Bakayoko,27,BEL,LW,19-169,30,0,0,0,0,2,0,0,0,20,1,0,0,0.2,0.2,0.0,1,0,11,13,84.6,1,14,0,1,0
102d138c,PSV Eindhoven,Joey Veerman,23,NED,DM,23-321,90,0,1,0,0,0,0,0,0,88,3,0,6,0.0,0.0,0.1,4,1,60,71,84.5,11,59,1,0,0
102d138c,PSV Eindhoven,Ibrahim Sangaré,6,CIV,DM,24-308,90,0,0,0,0,2,1,0,0,66,4,2,1,0.1,0.1,0.0,2,0,51,56,91.1,9,51,0,1,1
102d138c,PSV Eindhoven,Philipp Max,31,GER,LB,29-006,66,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.1,1,0,35,43,81.4,4,35,3,1,0
102d138c,PSV Eindhoven,Ki-Jana Hoever,2,NED,RB,20-261,24,0,0,0,0,0,0,0,0,25,1,0,0,0.0,0.0,0.1,1,0,16,24,66.7,2,18,1,0,0
102d138c,PSV Eindhoven,Armando Obispo,4,NED,CB,23-215,45,0,1,0,0,0,0,0,0,44,1,2,2,0.0,0.0,0.2,2,1,35,38,92.1,1,33,0,0,0
102d138c,PSV Eindhoven,Jordan Teze,3,NED,CB,23-006,45,0,0,0,0,0,0,0,0,31,0,3,0,0.0,0.0,0.0,0,0,24,26,92.3,0,21,1,0,0
102d138c,PSV Eindhoven,André Ramalho,5,BRA,CB,30-232,90,0,0,0,0,0,0,0,0,82,4,2,1,0.0,0.0,0.0,1,1,64,73,87.7,4,55,1,0,0
102d138c,PSV Eindhoven,Phillipp Mwene,29,AUT,"RB,LB",28-250,90,0,0,0,0,0,0,0,0,66,1,1,1,0.0,0.0,0.1,2,0,57,63,90.5,4,49,1,0,0
102d138c,PSV Eindhoven,Walter Benítez,1,ARG,GK,29-260,90,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,12,22,54.5,0,20,0,0,0
