match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
28a23be1,Roma,Tammy Abraham,9,ENG,FW,25-221,90,0,1,0,0,2,2,1,0,36,3,0,1,0.3,0.3,0.1,4,1,12,24,50.0,1,22,0,2,1
28a23be1,Roma,Andrea Belotti,11,ITA,FW,29-142,75,0,0,0,0,3,1,0,0,23,0,1,1,0.1,0.1,0.0,1,0,6,8,75.0,0,15,1,1,0
28a23be1,Roma,Paulo Dybala,21,ARG,AM,29-177,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,6,1,1,1
28a23be1,Roma,Lorenzo Pellegrini,7,ITA,AM,26-326,90,0,0,0,0,0,0,0,0,44,5,1,0,0.0,0.0,0.5,3,0,25,33,75.8,3,28,2,1,0
28a23be1,Roma,Nemanja Matić,8,SRB,CM,34-283,90,0,0,0,0,1,0,0,0,51,2,0,1,0.0,0.0,0.0,2,0,35,42,83.3,3,31,3,1,1
28a23be1,Roma,Edoardo Bove,52,ITA,CM,20-360,75,1,0,0,0,2,1,0,0,30,0,0,1,0.3,0.3,0.2,3,0,16,22,72.7,4,19,0,1,1
28a23be1,Roma,Georginio Wijnaldum,25,NED,CM,32-181,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,5,0,1,1
28a23be1,Roma,Leonardo Spinazzola,37,ITA,WB,30-047,90,0,0,0,0,0,0,1,0,53,2,0,1,0.0,0.0,0.0,1,0,32,46,69.6,1,34,2,1,1
28a23be1,Roma,Zeki Çelik,19,TUR,WB,26-083,90,0,0,0,0,2,0,0,0,43,1,3,1,0.1,0.1,0.0,0,0,22,29,75.9,0,19,0,0,0
28a23be1,Roma,Roger Ibanez,3,BRA,CB,24-169,90,0,0,0,0,1,1,1,0,52,0,3,2,0.4,0.4,0.0,2,0,39,41,95.1,3,36,0,0,0
28a23be1,Roma,Bryan Cristante,4,ITA,CB,28-069,90,0,0,0,0,1,0,0,0,74,0,1,1,0.3,0.3,0.0,0,0,61,69,88.4,0,58,0,0,0
28a23be1,Roma,Gianluca Mancini,23,ITA,CB,27-024,90,0,0,0,0,0,0,1,0,54,0,3,0,0.0,0.0,0.0,0,0,37,46,80.4,3,42,0,0,0
28a23be1,Roma,Rui Patrício,1,POR,GK,35-085,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,16,26,61.5,0,13,0,0,0
28a23be1,Leverkusen,Adam Hložek,23,CZE,FW,20-290,71,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.2,1,0,14,19,73.7,2,18,2,1,1
28a23be1,Leverkusen,Sardar Azmoun,9,IRN,FW,28-130,19,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,6,0,0,0
28a23be1,Leverkusen,Florian Wirtz,27,GER,AM,20-008,90,0,0,0,0,2,0,0,0,91,1,0,1,0.2,0.2,0.1,6,0,63,79,79.7,1,65,1,5,3
28a23be1,Leverkusen,Moussa Diaby,19,FRA,AM,23-308,71,0,0,0,0,0,0,1,0,39,0,0,2,0.0,0.0,0.0,1,0,29,35,82.9,1,37,3,0,0
28a23be1,Leverkusen,Amine Adli,21,MAR,AM,23-001,19,0,0,0,0,2,0,0,0,21,0,0,1,0.1,0.1,0.0,2,0,14,16,87.5,1,18,1,2,1
28a23be1,Leverkusen,Robert Andrich,8,GER,CM,28-231,89,0,0,0,0,2,1,1,0,55,1,0,0,0.2,0.2,0.0,2,0,40,51,78.4,2,38,0,0,0
28a23be1,Leverkusen,Nadiem Amiri,11,GER,CM,26-196,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
28a23be1,Leverkusen,Exequiel Palacios,25,ARG,CM,24-218,90,0,0,0,0,1,0,0,0,84,4,3,0,0.0,0.0,0.0,1,0,65,72,90.3,10,72,1,0,0
28a23be1,Leverkusen,Piero Hincapié,3,ECU,"CB,WB",21-122,90,0,0,0,0,1,0,0,0,60,4,0,0,0.0,0.0,0.0,1,0,47,54,87.0,3,47,5,1,1
28a23be1,Leverkusen,Jeremie Frimpong,30,NED,WB,22-152,90,0,0,0,0,1,0,0,0,61,2,0,2,0.3,0.3,0.1,3,0,36,45,80.0,0,41,3,4,0
28a23be1,Leverkusen,Edmond Tapsoba,12,BFA,CB,24-098,90,0,0,0,0,1,0,0,0,102,3,3,2,0.0,0.0,0.0,0,0,76,90,84.4,6,69,4,3,3
28a23be1,Leverkusen,Jonathan Tah,4,GER,CB,27-089,90,0,0,0,0,0,0,1,0,66,2,0,0,0.0,0.0,0.0,0,0,58,61,95.1,3,54,0,0,0
28a23be1,Leverkusen,Odilon Kossounou,6,CIV,CB,22-127,35,0,0,0,0,0,0,0,0,36,0,1,0,0.0,0.0,0.0,0,0,28,32,87.5,1,26,0,0,0
28a23be1,Leverkusen,Mitchel Bakker,5,NED,WB,22-325,55,0,0,0,0,0,0,0,0,42,0,0,2,0.0,0.0,0.0,1,0,25,35,71.4,4,30,3,2,1
28a23be1,Leverkusen,Lukáš Hrádecký,1,FIN,GK,33-168,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,27,31,87.1,0,24,0,0,0
