match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
4a1aa454,Olympiacos,Hwang Ui-jo,18,KOR,FW,30-018,90,0,0,0,0,3,2,0,0,19,0,1,0,0.2,0.2,0.0,2,0,5,7,71.4,1,9,2,1,0
4a1aa454,Olympiacos,Josh Bowler,20,ENG,LW,23-194,62,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,0,0,7,10,70.0,1,15,2,4,0
4a1aa454,Olympiacos,Youssef El-Arabi,11,MAR,AM,35-224,28,0,0,0,0,1,0,0,0,13,0,0,3,0.0,0.0,0.0,2,0,5,5,100.0,0,7,0,1,0
4a1aa454,Olympiacos,Giorgos Masouras,19,GRE,RW,28-257,62,0,0,0,0,0,0,0,0,24,0,0,2,0.0,0.0,0.1,2,0,12,16,75.0,2,21,1,1,0
4a1aa454,Olympiacos,Garry Rodrigues,77,CPV,RW,31-292,28,0,0,0,0,0,0,1,0,9,0,0,1,0.0,0.0,0.0,0,0,6,8,75.0,1,8,2,1,0
4a1aa454,Olympiacos,Pep Biel,21,ESP,"AM,LW",26-010,90,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.1,3,0,19,27,70.4,2,20,0,6,1
4a1aa454,Olympiacos,Andreas Bouchalakis,5,GRE,DM,29-163,45,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.1,2,0,26,29,89.7,2,20,0,0,0
4a1aa454,Olympiacos,Oleg Reabciuk,45,MDA,LB,24-242,45,0,0,0,0,0,0,0,0,27,4,1,0,0.0,0.0,0.0,0,0,13,18,72.2,0,7,1,0,0
4a1aa454,Olympiacos,Yann M'Vila,6,FRA,DM,32-078,90,0,0,0,0,3,0,0,0,81,0,4,2,0.1,0.1,0.0,1,0,61,71,85.9,3,45,0,1,1
4a1aa454,Olympiacos,Panagiotis Retsos,4,GRE,LB,24-037,45,0,0,0,0,0,0,0,0,39,0,2,0,0.0,0.0,0.0,0,0,25,34,73.5,1,17,1,2,1
4a1aa454,Olympiacos,Pierre Kunde,8,CMR,DM,27-051,45,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,0,0,33,39,84.6,8,27,2,0,0
4a1aa454,Olympiacos,Pape Abou Cissé,66,SEN,CB,27-001,90,0,0,0,0,0,0,0,0,86,2,1,2,0.0,0.0,0.0,0,0,66,79,83.5,5,63,1,0,0
4a1aa454,Olympiacos,Ousseynou Ba,24,SEN,CB,26-308,90,0,0,0,0,0,0,0,0,86,0,1,3,0.0,0.0,0.0,0,0,73,79,92.4,3,56,0,1,0
4a1aa454,Olympiacos,Šime Vrsaljko,2,CRO,RB,30-248,70,0,0,0,0,0,0,0,0,53,0,3,0,0.0,0.0,0.0,0,0,37,46,80.4,3,27,2,0,0
4a1aa454,Olympiacos,Pipa,26,ESP,RB,24-232,20,0,0,0,0,0,0,0,0,14,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,1,11,1,3,2
4a1aa454,Olympiacos,Tomáš Vaclík,1,CZE,GK,33-170,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,0,0,35,41,85.4,0,25,0,0,0
4a1aa454,Freiburg,Daniel Kyereh,11,GHA,FW,26-191,61,0,1,0,0,2,2,0,0,29,1,1,0,0.2,0.2,0.3,1,1,16,20,80.0,2,20,2,2,0
4a1aa454,Freiburg,Jeong Woo-yeong,29,KOR,"RM,FW",22-360,29,0,0,0,0,1,0,0,0,7,0,0,0,0.2,0.2,0.0,1,0,2,4,50.0,0,6,1,1,1
4a1aa454,Freiburg,Michael Gregoritsch,38,AUT,FW,28-150,61,2,0,0,0,5,3,0,0,20,0,0,0,1.2,1.2,0.1,3,0,10,12,83.3,3,13,0,0,0
4a1aa454,Freiburg,Kevin Schade,20,GER,FW,20-292,29,0,0,0,0,0,0,0,0,14,0,0,1,0.0,0.0,0.2,1,0,7,10,70.0,2,12,1,1,0
4a1aa454,Freiburg,Vincenzo Grifo,32,ITA,LM,29-161,77,0,1,0,0,2,0,0,0,65,1,0,0,0.1,0.1,0.3,7,3,50,61,82.0,8,35,3,1,1
4a1aa454,Freiburg,Yannik Keitel,14,GER,LM,22-212,13,0,0,0,0,1,0,0,0,7,0,1,0,0.2,0.2,0.0,0,0,3,4,75.0,0,4,1,1,1
4a1aa454,Freiburg,Nicolas Höfler,27,GER,CM,32-190,90,1,0,0,0,1,1,1,0,79,0,2,0,0.1,0.1,0.0,1,0,66,73,90.4,4,51,0,1,0
4a1aa454,Freiburg,Maximilian Eggestein,8,GER,CM,25-281,90,0,0,0,0,1,1,0,0,67,2,1,1,0.0,0.0,0.0,1,0,51,59,86.4,1,44,2,1,1
4a1aa454,Freiburg,Ritsu Doan,42,JPN,RM,24-091,68,0,0,0,0,3,1,0,0,30,1,1,0,0.2,0.2,0.0,8,1,14,19,73.7,1,21,5,3,2
4a1aa454,Freiburg,Nils Petersen,18,GER,FW,33-283,22,0,0,0,0,0,0,0,0,12,1,2,0,0.0,0.0,0.0,0,0,5,6,83.3,0,6,0,0,0
4a1aa454,Freiburg,Christian Günter,30,GER,LB,29-199,90,0,0,0,0,0,0,0,0,64,4,2,1,0.0,0.0,0.2,1,0,42,54,77.8,2,36,1,0,0
4a1aa454,Freiburg,Philipp Lienhart,3,AUT,CB,26-066,90,0,0,0,0,0,0,1,0,95,4,0,0,0.0,0.0,0.0,0,0,76,87,87.4,4,66,1,0,0
4a1aa454,Freiburg,Matthias Ginter,28,GER,CB,28-239,90,0,1,0,0,0,0,0,0,86,1,5,2,0.0,0.0,0.6,2,1,67,74,90.5,6,56,2,0,0
4a1aa454,Freiburg,Kiliann Sildillia,25,FRA,RB,20-122,77,0,0,0,0,0,0,0,0,45,3,4,1,0.0,0.0,0.0,0,0,25,34,73.5,4,20,1,2,1
4a1aa454,Freiburg,Lukas Kübler,17,GER,RB,30-016,13,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,7,8,87.5,2,3,1,0,0
4a1aa454,Freiburg,Mark Flekken,26,NED,GK,29-094,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,39,66.7,0,29,0,0,0
