match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
58c8819c,Ludogorets,Thiago,9,BRA,FW,21-123,65,0,0,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.0,1,0,5,9,55.6,0,6,2,2,1
58c8819c,Ludogorets,Matías Tissera,10,ARG,FW,26-051,25,0,0,0,0,1,0,0,0,6,1,0,0,0.1,0.1,0.0,1,0,2,2,100.0,0,3,1,1,0
58c8819c,Ludogorets,Rick,73,BRA,LW,23-055,73,0,0,0,0,1,0,0,0,32,1,1,0,0.1,0.1,0.0,1,0,13,20,65.0,2,22,2,2,0
58c8819c,Ludogorets,Spas Delev,90,BUL,LW,33-035,17,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,0,4,0,0,0
58c8819c,Ludogorets,Bernard Tekpetey,37,GHA,RW,25-054,90,0,0,0,0,7,1,0,0,52,1,0,0,0.2,0.2,0.6,6,0,21,36,58.3,3,26,6,8,5
58c8819c,Ludogorets,Cauly Oliveira Souza,95,BRA,AM,27-042,90,0,0,0,0,2,1,0,0,59,3,0,0,0.3,0.3,0.0,5,0,41,50,82.0,7,38,4,4,3
58c8819c,Ludogorets,Pedrinho,30,BRA,DM,24-290,83,0,0,0,0,1,1,0,0,70,2,2,2,0.0,0.0,0.0,2,0,55,61,90.2,5,32,1,1,0
58c8819c,Ludogorets,Claude Gonçalves,8,POR,DM,28-201,7,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,3,0,0,0
58c8819c,Ludogorets,Jakub Piotrowski,6,POL,DM,25-023,73,0,0,0,0,0,0,0,0,64,1,4,1,0.0,0.0,0.0,3,0,53,57,93.0,3,44,2,1,1
58c8819c,Ludogorets,Nonato,20,BRA,DM,24-238,17,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,12,17,70.6,1,15,1,0,0
58c8819c,Ludogorets,Cicinho,4,BUL,LB,33-305,90,0,0,0,0,0,0,1,0,71,2,4,1,0.0,0.0,0.0,1,0,51,57,89.5,2,24,3,4,0
58c8819c,Ludogorets,Anton Nedyalkov,3,BUL,CB,29-180,90,0,0,0,0,1,1,0,0,90,0,0,0,0.0,0.0,0.0,0,0,76,86,88.4,5,47,1,0,0
58c8819c,Ludogorets,Olivier Verdon,24,BEN,CB,27-022,90,0,0,0,0,0,0,1,0,68,0,0,0,0.0,0.0,0.0,2,0,51,64,79.7,1,38,1,1,0
58c8819c,Ludogorets,Aslak Witry,16,NOR,RB,26-231,83,0,0,0,0,0,0,0,0,57,3,4,0,0.0,0.0,0.0,0,0,38,50,76.0,2,13,1,0,0
58c8819c,Ludogorets,Denny Gropper,14,ISR,RB,23-225,7,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,4,4,100.0,0,1,0,0,0
58c8819c,Ludogorets,Sergio Padt,1,NED,GK,32-143,90,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.0,0,0,36,41,87.8,0,21,0,0,0
58c8819c,Betis,Willian José,12,BRA,FW,30-338,83,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,1,0,19,24,79.2,1,19,2,1,0
58c8819c,Betis,Borja Iglesias,9,ESP,FW,29-283,7,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,3,3,100.0,0,3,0,0,0
58c8819c,Betis,Rodri,28,ESP,LW,22-164,90,0,0,0,0,0,0,0,0,55,0,1,1,0.0,0.0,0.0,0,0,35,46,76.1,1,38,4,3,2
58c8819c,Betis,Joaquín,17,ESP,RW,41-098,26,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,10,11,90.9,1,9,0,0,0
58c8819c,Betis,Luiz Henrique,11,BRA,RW,21-298,64,0,1,0,0,1,0,0,0,23,3,0,0,0.1,0.1,0.1,1,1,7,13,53.8,1,19,0,1,0
58c8819c,Betis,Sergio Canales,10,ESP,AM,31-253,90,0,0,0,0,1,0,0,0,76,2,3,0,0.0,0.0,0.1,1,0,55,66,83.3,9,40,2,1,0
58c8819c,Betis,Guido Rodríguez,5,ARG,DM,28-198,73,0,0,0,0,1,0,0,0,45,0,2,2,0.1,0.1,0.0,0,0,36,39,92.3,5,24,0,1,1
58c8819c,Betis,Enrique,40,ESP,DM,19-041,17,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
58c8819c,Betis,Paul Akouokou,4,CIV,DM,24-311,45,0,0,0,0,0,0,1,0,25,0,1,0,0.0,0.0,0.0,0,0,21,22,95.5,1,14,1,0,0
58c8819c,Betis,Nabil Fekir,8,FRA,DM,29-101,45,1,0,0,0,1,1,0,0,33,0,0,1,0.1,0.1,0.0,1,0,21,27,77.8,3,16,0,0,0
58c8819c,Betis,Juan Miranda,33,ESP,LB,22-281,45,0,0,0,0,0,0,0,0,36,1,0,1,0.0,0.0,0.0,0,0,27,32,84.4,0,22,1,0,0
58c8819c,Betis,Álex Moreno,15,ESP,LB,29-141,45,0,0,0,0,0,0,0,0,40,2,1,2,0.0,0.0,0.0,1,1,22,27,81.5,2,16,0,3,2
58c8819c,Betis,Víctor Ruiz,6,ESP,CB,33-275,90,0,0,0,0,0,0,0,0,66,1,4,2,0.0,0.0,0.0,1,0,51,55,92.7,2,39,1,1,1
58c8819c,Betis,Édgar González,3,ESP,CB,25-209,90,0,0,0,0,0,0,0,0,62,2,1,2,0.0,0.0,0.1,1,0,40,47,85.1,3,36,0,0,0
58c8819c,Betis,Aitor Ruibal,24,ESP,RB,26-219,90,0,0,0,0,0,0,0,0,60,3,4,1,0.0,0.0,0.0,0,0,38,52,73.1,1,33,0,0,0
58c8819c,Betis,Claudio Bravo,1,CHI,GK,39-197,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,17,33,51.5,0,15,0,0,0
