match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
61b7a47e,Sevilla,Youssef En-Nesyri,15,MAR,FW,25-351,120,0,0,0,0,5,1,0,0,30,4,0,1,0.3,0.3,0.1,0,0,3,10,30.0,0,12,0,2,0
61b7a47e,Sevilla,Bryan Gil,25,ESP,LW,22-096,99,0,1,0,0,3,2,0,0,50,3,1,1,0.2,0.2,0.1,5,1,26,33,78.8,2,40,5,7,1
61b7a47e,Sevilla,Gonzalo Montiel,2,ARG,RB,26-137,21,0,0,0,0,0,0,1,0,12,0,1,2,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,0,0
61b7a47e,Sevilla,Lucas Ocampos,55,ARG,RW,28-311,69,0,0,0,0,2,2,0,0,37,2,0,1,0.1,0.1,0.0,4,0,18,24,75.0,5,30,2,6,1
61b7a47e,Sevilla,Érik Lamela,17,ARG,"RW,LW",31-075,51,1,1,0,0,1,1,0,0,38,0,1,3,0.0,0.0,0.1,3,1,24,25,96.0,2,25,1,2,0
61b7a47e,Sevilla,Óliver Torres,21,ESP,AM,28-189,61,0,0,0,0,0,0,0,0,64,4,0,4,0.0,0.0,0.1,7,0,41,51,80.4,12,47,2,3,2
61b7a47e,Sevilla,Suso,7,ESP,AM,29-180,56,1,0,0,0,3,2,1,0,54,1,0,0,0.1,0.1,0.1,4,1,34,48,70.8,5,35,1,2,2
61b7a47e,Sevilla,Karim Rekik,4,NED,LB,28-167,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,0,0,0,0
61b7a47e,Sevilla,Ivan Rakitić,10,CRO,DM,35-069,120,0,0,0,0,7,0,0,0,119,4,0,2,0.3,0.3,0.3,11,0,85,106,80.2,11,77,5,0,0
61b7a47e,Sevilla,Fernando,20,BRA,DM,35-297,120,0,0,0,0,0,0,0,0,84,2,1,4,0.0,0.0,0.0,4,0,65,73,89.0,15,66,3,0,0
61b7a47e,Sevilla,Marcos Acuña,19,ARG,LB,31-202,114,0,0,0,0,2,1,2,1,95,3,0,2,0.0,0.0,0.1,3,0,66,84,78.6,7,62,5,4,2
61b7a47e,Sevilla,Nemanja Gudelj,6,SRB,CB,31-183,120,0,0,0,0,3,0,0,0,53,4,1,0,0.1,0.1,0.0,1,1,30,38,78.9,3,26,1,0,0
61b7a47e,Sevilla,Loïc Bade,44,FRA,CB,23-037,120,0,0,0,0,2,1,0,0,60,2,2,2,0.2,0.2,0.0,2,0,38,47,80.9,4,35,0,0,0
61b7a47e,Sevilla,Jesús Navas,16,ESP,"RB,RW",37-178,104,0,0,0,0,0,0,0,0,109,1,1,1,0.0,0.0,0.2,7,0,72,99,72.7,12,82,4,3,1
61b7a47e,Sevilla,Papu Gómez,24,ARG,"RW,LW",35-092,16,0,0,0,0,0,0,0,0,14,3,0,1,0.0,0.0,0.0,0,0,4,5,80.0,1,5,0,3,1
61b7a47e,Sevilla,Yassine Bounou,13,MAR,GK,32-043,120,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,0,20,0,0,0
61b7a47e,Juventus,Moise Kean,18,ITA,FW,23-079,63,0,0,0,0,1,1,1,0,19,1,0,0,0.1,0.1,0.2,3,0,6,6,100.0,0,8,1,4,1
61b7a47e,Juventus,Dušan Vlahović,9,SRB,FW,23-110,57,1,0,0,0,3,3,0,0,20,0,0,0,0.4,0.4,0.0,1,0,8,11,72.7,2,14,2,3,0
61b7a47e,Juventus,Ángel Di María,22,ARG,FW,35-093,63,0,0,0,0,2,0,0,0,30,1,0,1,0.4,0.4,0.1,2,0,18,21,85.7,1,26,1,1,0
61b7a47e,Juventus,Federico Chiesa,7,ITA,"RM,RW",25-205,57,0,0,0,0,3,1,0,0,18,1,0,0,0.2,0.2,0.1,3,1,9,12,75.0,2,9,0,0,0
61b7a47e,Juventus,Adrien Rabiot,25,FRA,"DM,LM",28-045,120,0,1,0,0,2,1,0,0,63,5,1,2,0.2,0.2,0.4,5,1,27,43,62.8,8,41,4,4,3
61b7a47e,Juventus,Manuel Locatelli,5,ITA,"DM,CM",25-130,85,0,0,0,0,0,0,0,0,46,1,1,3,0.0,0.0,0.0,0,0,21,31,67.7,0,30,0,1,0
61b7a47e,Juventus,Fabio Miretti,20,ITA,"RM,CM",19-288,35,0,0,0,0,0,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,9,16,56.3,1,15,0,2,0
61b7a47e,Juventus,Nicolò Fagioli,44,ITA,DM,22-095,40,0,0,0,0,1,0,0,0,17,2,0,1,0.0,0.0,0.1,4,0,8,10,80.0,1,14,0,1,1
61b7a47e,Juventus,Leandro Paredes,32,ARG,"CM,DM",28-323,80,0,0,0,0,1,0,1,0,56,4,0,0,0.1,0.1,0.1,3,0,38,51,74.5,4,34,2,4,3
61b7a47e,Juventus,Samuel Iling-Junior,43,ENG,"WB,LB",19-226,85,0,0,0,0,0,0,0,0,34,3,0,1,0.0,0.0,0.0,0,0,16,27,59.3,1,23,2,1,1
61b7a47e,Juventus,Filip Kostić,17,SRB,LB,30-198,35,0,0,0,0,2,0,0,0,23,0,1,0,0.2,0.2,0.0,3,0,14,20,70.0,1,11,1,0,0
61b7a47e,Juventus,Juan Cuadrado,11,COL,"WB,RB",34-357,104,0,0,0,0,0,0,0,0,68,5,1,0,0.0,0.0,0.0,1,0,38,53,71.7,2,40,3,3,1
61b7a47e,Juventus,Arkadiusz Milik,14,POL,LW,29-079,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,1,0,2,4,50.0,0,4,0,0,0
61b7a47e,Juventus,Danilo,6,BRA,"CB,RB",31-307,120,0,0,0,0,0,0,1,0,90,8,2,1,0.0,0.0,0.1,5,0,44,66,66.7,5,43,3,1,0
