match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
764d8a90,Juventus,Dušan Vlahović,9,SRB,FW,23-103,60,0,0,0,0,1,0,0,0,8,0,0,0,0.7,0.7,0.1,1,0,3,4,75.0,1,7,0,2,0
764d8a90,Juventus,Arkadiusz Milik,14,POL,FW,29-072,30,0,0,0,0,1,0,0,0,7,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,0,4,0,0,0
764d8a90,Juventus,Ángel Di María,22,ARG,"FW,AM",35-086,69,0,0,0,0,0,0,0,0,48,0,0,0,0.0,0.0,0.0,2,0,27,40,67.5,5,37,1,2,0
764d8a90,Juventus,Paul Pogba,10,FRA,AM,30-057,21,0,1,0,0,1,0,0,0,19,0,1,0,0.2,0.2,0.8,2,1,10,15,66.7,4,14,2,2,1
764d8a90,Juventus,Adrien Rabiot,25,FRA,DM,28-038,90,0,0,0,0,1,0,1,0,48,0,0,1,0.2,0.2,0.0,2,0,35,40,87.5,3,34,1,1,1
764d8a90,Juventus,Manuel Locatelli,5,ITA,DM,25-123,90,0,0,0,0,1,0,1,0,75,5,0,1,0.0,0.0,0.0,3,0,58,67,86.6,11,56,1,0,0
764d8a90,Juventus,Fabio Miretti,20,ITA,DM,19-281,45,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,0,0,7,12,58.3,1,8,0,0,0
764d8a90,Juventus,Federico Chiesa,7,ITA,"RW,DM",25-198,45,0,0,0,0,1,0,1,0,25,0,0,0,0.0,0.0,0.0,1,0,18,21,85.7,0,21,2,2,0
764d8a90,Juventus,Filip Kostić,17,SRB,WB,30-191,45,0,0,0,0,1,0,0,0,20,0,0,0,0.1,0.1,0.7,1,0,13,17,76.5,3,16,3,2,2
764d8a90,Juventus,Samuel Iling-Junior,43,ENG,"LW,WB",19-219,45,0,0,0,0,1,1,0,0,25,1,2,0,0.1,0.1,0.0,1,0,8,18,44.4,1,17,1,5,3
764d8a90,Juventus,Juan Cuadrado,11,COL,"WB,RB",34-350,90,0,0,0,0,1,0,0,0,66,1,1,0,0.0,0.0,0.2,2,0,50,62,80.6,3,56,4,4,2
764d8a90,Juventus,Alex Sandro,12,BRA,"CB,LB",32-105,90,0,0,0,0,0,0,0,0,87,2,3,1,0.0,0.0,0.0,0,0,65,75,86.7,3,62,2,2,1
764d8a90,Juventus,Leonardo Bonucci,19,ITA,CB,36-010,60,0,0,0,0,0,0,0,0,51,0,0,1,0.0,0.0,0.0,0,0,44,47,93.6,3,37,0,0,0
764d8a90,Juventus,Federico Gatti,15,ITA,CB,24-321,30,1,0,0,0,1,1,0,0,21,0,0,0,0.8,0.8,0.0,0,0,16,19,84.2,1,14,0,0,0
764d8a90,Juventus,Danilo,6,BRA,CB,31-300,90,0,0,0,0,1,0,0,0,101,4,4,1,0.0,0.0,0.2,2,0,64,76,84.2,2,68,0,0,0
764d8a90,Juventus,Wojciech Szczęsny,1,POL,GK,33-023,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,31,35,88.6,0,25,0,0,0
