match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
191d3ab1,Dortmund,Niclas Füllkrug,14,GER,FW,31-033,90,0,1,0,0,5,1,0,0,38,0,0,0,0.4,0.4,0.4,2,1,21,28,75.0,4,25,1,0,0
191d3ab1,Dortmund,Jadon Sancho,10,ENG,LW,23-354,74,1,0,0,0,1,1,0,0,46,2,0,1,0.0,0.0,0.2,4,0,22,29,75.9,3,30,2,7,2
191d3ab1,Dortmund,Marco Reus,11,GER,LW,34-287,16,1,0,0,0,1,1,0,0,8,1,0,0,0.4,0.4,0.0,1,0,2,5,40.0,0,1,0,1,1
191d3ab1,Dortmund,Donyell Malen,21,NED,RW,25-064,69,0,0,0,0,4,2,0,0,47,3,0,0,0.4,0.4,0.3,3,0,24,32,75.0,5,32,4,1,1
191d3ab1,Dortmund,Karim Adeyemi,27,GER,RW,22-055,21,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,2,5,40.0,1,3,0,0,0
191d3ab1,Dortmund,Julian Brandt,19,GER,AM,27-316,57,0,1,0,0,1,1,0,0,37,1,0,2,0.0,0.0,0.1,6,1,21,30,70.0,4,19,0,1,0
191d3ab1,Dortmund,Felix Nmecha,8,GER,AM,23-155,33,0,0,0,0,0,0,1,0,18,1,0,0,0.0,0.0,0.0,0,0,9,13,69.2,1,11,0,0,0
191d3ab1,Dortmund,Marcel Sabitzer,20,AUT,DM,29-362,90,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.1,3,1,36,39,92.3,7,35,2,2,1
191d3ab1,Dortmund,Salih Özcan,6,TUR,DM,26-062,90,0,0,0,0,1,0,0,0,56,3,2,1,0.1,0.1,0.0,1,0,35,43,81.4,2,29,2,1,0
191d3ab1,Dortmund,Ian Maatsen,22,NED,LB,22-003,90,0,0,0,0,1,1,0,0,58,1,1,2,0.1,0.1,0.0,2,0,39,48,81.3,3,31,1,0,0
191d3ab1,Dortmund,Mats Hummels,15,GER,CB,35-088,90,0,0,0,0,1,0,0,0,83,5,5,2,0.1,0.1,0.0,0,0,50,65,76.9,3,51,0,1,1
191d3ab1,Dortmund,Emre Can,23,GER,CB,30-061,90,0,0,0,0,0,0,0,0,60,3,1,0,0.0,0.0,0.0,0,0,45,53,84.9,1,38,0,0,0
191d3ab1,Dortmund,Niklas Süle,25,GER,RB,28-192,90,0,0,0,0,0,0,1,0,51,4,1,0,0.0,0.0,0.1,2,0,32,41,78.0,6,19,1,0,0
191d3ab1,Dortmund,Gregor Kobel,1,SUI,GK,26-098,90,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,1,1,48,58,82.8,0,36,0,0,0
191d3ab1,PSV Eindhoven,Luuk de Jong,9,NED,FW,33-199,90,0,0,0,0,6,2,0,0,22,0,0,1,1.0,1.0,0.0,3,0,9,12,75.0,1,14,3,0,0
191d3ab1,PSV Eindhoven,Malik Tillman,10,USA,"LW,RM,CM",21-290,90,0,0,0,0,0,0,0,0,57,1,2,4,0.0,0.0,0.0,2,0,35,41,85.4,8,41,2,9,4
191d3ab1,PSV Eindhoven,Johan Bakayoko,11,BEL,"RW,RM",20-328,90,0,0,0,0,3,2,0,0,56,4,1,0,0.2,0.2,0.2,5,0,31,41,75.6,4,41,7,8,5
191d3ab1,PSV Eindhoven,Mauro Júnior,17,BRA,LM,24-312,85,0,0,0,0,0,0,0,0,53,0,2,1,0.0,0.0,0.4,3,0,35,41,85.4,2,31,1,1,0
191d3ab1,PSV Eindhoven,Isaac Babadi,26,NED,"CM,LM",18-342,5,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,3,0,1,0
191d3ab1,PSV Eindhoven,Joey Veerman,23,NED,CM,25-115,81,0,0,0,0,0,0,0,0,74,4,0,1,0.0,0.0,0.1,6,0,55,66,83.3,9,50,1,2,2
191d3ab1,PSV Eindhoven,Ricardo Pepi,14,USA,"FW,RM",21-064,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,5,40.0,1,2,0,0,0
191d3ab1,PSV Eindhoven,Guus Til,20,NED,RM,26-082,45,0,0,0,0,1,1,0,0,14,0,0,1,0.0,0.0,0.0,1,0,9,13,69.2,1,10,0,0,0
191d3ab1,PSV Eindhoven,Hirving Lozano,27,MEX,"LW,LM",28-227,45,0,0,0,0,3,1,0,0,29,0,0,0,0.1,0.1,0.0,2,0,15,22,68.2,3,22,5,6,2
191d3ab1,PSV Eindhoven,Sergiño Dest,8,USA,LB,23-131,90,0,0,0,0,1,0,0,0,72,0,1,1,0.0,0.0,0.1,2,0,53,63,84.1,6,47,6,6,3
191d3ab1,PSV Eindhoven,Olivier Boscagli,18,FRA,CB,26-116,90,0,0,0,0,1,0,0,0,88,3,1,0,0.0,0.0,0.0,6,0,62,75,82.7,5,59,0,0,0
191d3ab1,PSV Eindhoven,Jerdy Schouten,22,NED,CB,27-061,90,0,0,0,0,0,0,0,0,65,3,2,1,0.0,0.0,0.0,0,0,50,52,96.2,6,42,0,1,0
191d3ab1,PSV Eindhoven,Jordan Teze,3,NED,RB,24-165,90,0,0,0,0,2,1,0,0,76,2,1,2,0.1,0.1,0.5,3,0,49,65,75.4,10,40,0,1,0
191d3ab1,PSV Eindhoven,Walter Benítez,1,ARG,GK,31-054,90,0,0,0,0,0,0,0,0,31,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,0,11,0,0,0
