match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a3365e90,Napoli,Giacomo Raspadori,81,ITA,"FW,CM",23-263,90,0,0,0,0,3,0,0,0,42,2,0,1,0.1,0.1,0.4,6,0,26,31,83.9,5,27,1,2,1
a3365e90,Napoli,Khvicha Kvaratskhelia,77,GEO,LW,22-269,90,0,0,0,0,5,2,0,0,72,0,0,3,0.3,0.3,0.3,9,1,43,55,78.2,7,48,8,7,6
a3365e90,Napoli,Matteo Politano,21,ITA,RW,30-097,86,1,0,0,0,5,1,0,0,60,0,0,1,0.3,0.3,0.0,11,1,40,51,78.4,6,39,4,5,2
a3365e90,Napoli,Jesper Lindstrøm,29,DEN,RW,23-252,4,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,9,11,81.8,0,10,1,1,1
a3365e90,Napoli,Piotr Zieliński,20,POL,LM,29-172,89,0,0,0,0,2,1,0,0,81,0,0,0,0.4,0.4,0.3,7,0,62,77,80.5,12,45,3,3,2
a3365e90,Napoli,Jens Cajuste,24,SWE,LM,24-090,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,1,0,0,0
a3365e90,Napoli,Stanislav Lobotka,68,SVK,CM,28-348,76,0,0,0,0,0,0,0,0,76,0,0,1,0.0,0.0,0.1,3,0,63,71,88.7,8,45,0,0,0
a3365e90,Napoli,Giovanni Simeone,18,ARG,FW,28-126,14,0,0,0,0,2,0,1,0,11,0,0,0,0.2,0.2,0.0,1,0,6,7,85.7,1,8,2,1,0
a3365e90,Napoli,Andre-Frank Zambo Anguissa,99,CMR,RM,27-357,90,0,0,0,0,2,0,0,0,90,2,0,2,0.2,0.2,0.0,4,0,69,83,83.1,8,52,5,2,2
a3365e90,Napoli,Mário Rui,6,POR,LB,32-165,76,0,0,0,0,1,0,0,0,78,1,0,0,0.0,0.0,0.0,2,0,56,72,77.8,5,46,1,0,0
a3365e90,Napoli,Mathías Olivera,17,URU,LB,26-008,14,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,4,0,16,17,94.1,3,14,1,0,0
a3365e90,Napoli,Natan,3,BRA,CB,22-275,90,0,0,0,0,1,0,0,0,91,1,0,3,0.1,0.1,0.1,2,0,67,80,83.8,9,54,1,0,0
a3365e90,Napoli,Amir Rrahmani,13,KVX,CB,29-257,90,0,0,0,0,4,1,0,0,116,1,2,1,0.2,0.2,0.0,0,0,90,100,90.0,4,64,0,0,0
a3365e90,Napoli,Giovanni Di Lorenzo,22,ITA,RB,30-096,90,0,0,0,0,2,0,0,0,124,1,2,0,0.1,0.1,0.0,3,0,104,120,86.7,11,73,3,1,1
a3365e90,Napoli,Alex Meret,1,ITA,GK,26-231,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,30,100.0,0,15,0,0,0
a3365e90,Union Berlin,David Datro Fofana,11,CIV,FW,20-321,90,1,0,0,0,3,2,0,0,32,1,0,1,0.4,0.4,0.2,3,0,9,11,81.8,2,20,2,6,4
a3365e90,Union Berlin,Sheraldo Becker,27,SUR,FW,28-272,90,0,0,0,0,4,2,0,0,31,0,0,0,0.3,0.3,0.2,5,1,9,20,45.0,3,16,6,2,0
a3365e90,Union Berlin,Aïssa Laïdouni,20,TUN,CM,26-330,69,0,0,0,0,1,0,0,0,41,1,1,1,0.0,0.0,0.0,2,0,22,29,75.9,6,23,0,1,0
a3365e90,Union Berlin,Alex Král,33,CZE,CM,25-173,21,0,0,0,0,1,0,0,0,13,2,0,0,0.0,0.0,0.0,0,0,4,9,44.4,2,5,1,0,0
a3365e90,Union Berlin,Rani Khedira,8,GER,CM,29-285,69,0,0,0,0,0,0,0,0,23,1,1,1,0.0,0.0,0.0,1,0,17,20,85.0,2,8,0,0,0
a3365e90,Union Berlin,Lucas Tousart,29,FRA,CM,26-193,21,0,0,0,0,1,0,1,0,10,2,0,0,0.1,0.1,0.0,1,0,1,5,20.0,0,4,0,0,0
a3365e90,Union Berlin,Janik Haberer,19,GER,CM,29-220,78,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.0,3,0,12,15,80.0,2,9,0,0,0
a3365e90,Union Berlin,Brenden Aaronson,7,USA,CM,23-017,12,0,0,0,0,1,0,0,0,15,1,1,1,0.1,0.1,0.0,1,0,4,8,50.0,0,5,0,1,0
a3365e90,Union Berlin,Jérôme Roussillon,26,FRA,WB,30-306,79,0,0,0,0,0,0,0,0,31,1,0,1,0.0,0.0,0.1,3,0,19,24,79.2,1,12,1,1,1
a3365e90,Union Berlin,Robin Gosens,6,GER,WB,29-126,11,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,4,5,80.0,1,1,0,0,0
a3365e90,Union Berlin,Josip Juranović,18,CRO,WB,28-084,63,0,0,0,0,2,0,0,0,33,2,1,4,0.1,0.1,0.0,2,0,14,22,63.6,0,9,0,1,1
a3365e90,Union Berlin,Christopher Trimmel,28,AUT,WB,36-257,27,0,0,0,0,1,1,0,0,14,0,0,0,0.0,0.0,0.0,1,0,4,9,44.4,0,1,0,0,0
a3365e90,Union Berlin,Diogo Leite,4,POR,CB,24-289,90,0,0,0,0,0,0,0,0,55,1,1,2,0.0,0.0,0.0,3,0,33,42,78.6,5,22,0,1,1
a3365e90,Union Berlin,Leonardo Bonucci,23,ITA,CB,36-191,90,0,0,0,0,0,0,1,0,38,0,1,1,0.0,0.0,0.0,0,0,15,24,62.5,0,14,0,0,0
a3365e90,Union Berlin,Paul Jaeckel,3,GER,CB,25-109,90,0,0,0,0,0,0,1,0,34,0,2,4,0.0,0.0,0.0,1,0,18,23,78.3,0,12,0,1,1
a3365e90,Union Berlin,Frederik Rønnow,1,DEN,GK,31-096,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,18,35,51.4,0,21,0,0,0
