match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
aa674584,Atlético Madrid,Ángel Correa,10,ARG,FW,28-279,62,0,0,0,0,1,0,0,0,26,1,0,1,0.0,0.0,0.1,4,1,17,20,85.0,0,18,1,0,0
aa674584,Atlético Madrid,Álvaro Morata,19,ESP,FW,31-051,28,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,1,0,3,4,75.0,0,3,0,0,0
aa674584,Atlético Madrid,Antoine Griezmann,7,FRA,FW,32-267,45,1,0,0,0,2,1,0,0,26,0,0,1,0.3,0.3,0.0,4,0,19,21,90.5,2,15,1,2,0
aa674584,Atlético Madrid,Memphis,9,NED,FW,29-303,45,0,0,0,0,1,1,0,0,22,0,0,1,0.1,0.1,0.0,3,0,15,16,93.8,4,13,1,3,1
aa674584,Atlético Madrid,Saúl Ñíguez,8,ESP,CM,29-022,90,0,0,0,0,3,0,0,0,66,2,0,4,0.1,0.1,0.1,2,0,42,50,84.0,3,28,0,0,0
aa674584,Atlético Madrid,Axel Witsel,20,BEL,CM,34-335,62,0,0,0,0,1,0,0,0,67,0,0,0,0.0,0.0,0.0,0,0,61,66,92.4,3,52,1,0,0
aa674584,Atlético Madrid,Koke,6,ESP,CM,31-339,28,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,24,26,92.3,1,15,0,0,0
aa674584,Atlético Madrid,Rodrigo De Paul,5,ARG,CM,29-203,90,0,0,0,0,1,0,0,0,79,1,0,4,0.2,0.2,0.1,3,0,51,64,79.7,5,50,2,2,2
aa674584,Atlético Madrid,Samuel Lino,12,BRA,WB,23-355,90,1,1,0,0,4,2,0,0,62,1,1,2,0.3,0.3,0.2,5,1,43,48,89.6,4,45,4,3,2
aa674584,Atlético Madrid,Nahuel Molina,16,ARG,WB,25-251,90,0,0,0,0,1,0,0,0,85,1,0,4,0.0,0.0,0.2,3,0,55,74,74.3,1,51,1,0,0
aa674584,Atlético Madrid,Mario Hermoso,22,ESP,CB,28-178,90,0,0,0,0,0,0,0,0,105,2,1,1,0.0,0.0,0.0,0,0,83,94,88.3,2,77,2,2,1
aa674584,Atlético Madrid,José María Giménez,2,URU,CB,28-327,45,0,0,0,0,1,0,1,0,52,0,0,1,0.1,0.1,0.0,1,0,39,45,86.7,1,26,0,0,0
aa674584,Atlético Madrid,Çağlar Söyüncü,4,TUR,CB,27-204,45,0,0,0,0,0,0,0,0,41,0,0,0,0.0,0.0,0.1,0,0,35,38,92.1,0,29,0,0,0
aa674584,Atlético Madrid,Stefan Savić,15,MNE,CB,32-339,67,0,0,0,0,0,0,0,0,89,0,1,0,0.0,0.0,0.0,0,0,83,89,93.3,0,71,0,0,0
aa674584,Atlético Madrid,César Azpilicueta,3,ESP,CB,34-107,23,0,0,0,0,0,0,0,0,28,0,2,0,0.0,0.0,0.0,0,0,21,22,95.5,0,13,0,0,0
aa674584,Atlético Madrid,Jan Oblak,13,SVN,GK,30-340,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,1,0,36,39,92.3,0,25,0,0,0
aa674584,Lazio,Ciro Immobile,17,ITA,FW,33-296,62,0,0,0,0,1,0,0,0,20,0,0,1,0.2,0.2,0.1,1,0,6,12,50.0,0,5,0,0,0
aa674584,Lazio,Valentín Castellanos,19,ARG,FW,25-071,28,0,0,0,0,1,1,0,0,12,0,0,0,0.1,0.1,0.0,0,0,5,10,50.0,1,9,1,0,0
aa674584,Lazio,Mattia Zaccagni,20,ITA,LW,28-180,90,0,0,0,0,2,0,0,0,38,0,2,2,0.1,0.1,0.0,4,0,22,28,78.6,2,27,0,2,2
aa674584,Lazio,Pedro,9,ESP,RW,36-138,57,0,0,0,0,0,0,1,0,28,0,0,0,0.0,0.0,0.0,1,0,21,25,84.0,2,15,1,2,2
aa674584,Lazio,Felipe Anderson,7,BRA,RW,30-242,33,0,0,0,0,1,1,0,0,27,2,1,1,0.1,0.1,0.2,2,0,17,20,85.0,4,12,3,1,1
aa674584,Lazio,Luis Alberto,10,ESP,LM,31-076,63,0,0,0,0,0,0,0,0,49,0,1,1,0.0,0.0,0.2,3,0,36,46,78.3,6,21,1,0,0
aa674584,Lazio,Daichi Kamada,6,JPN,LM,27-130,27,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,0,0,20,21,95.2,4,13,0,0,0
aa674584,Lazio,Matías Vecino,5,URU,CM,32-111,90,0,0,0,0,0,0,0,0,67,1,2,0,0.0,0.0,0.0,0,0,46,57,80.7,4,34,2,0,0
aa674584,Lazio,Mattéo Guendouzi,8,FRA,RM,24-243,90,0,0,0,0,3,1,1,0,56,1,1,0,0.4,0.4,0.1,3,0,39,45,86.7,3,32,0,1,0
aa674584,Lazio,Elseid Hysaj,23,ALB,LB,29-296,69,0,0,0,0,0,0,0,0,55,0,2,0,0.0,0.0,0.0,1,0,46,49,93.9,3,33,2,1,0
aa674584,Lazio,Luca Pellegrini,3,ITA,LB,24-281,21,0,0,0,0,1,0,0,0,24,0,0,0,0.0,0.0,0.0,0,0,17,20,85.0,2,11,1,1,0
aa674584,Lazio,Mario Gila,34,ESP,CB,23-106,90,0,0,0,0,1,1,0,0,75,2,0,0,0.0,0.0,0.0,0,0,60,67,89.6,2,42,0,0,0
aa674584,Lazio,Nicolò Casale,15,ITA,CB,25-302,90,0,0,0,0,0,0,0,0,63,0,0,1,0.0,0.0,0.0,0,0,52,53,98.1,1,38,0,0,0
aa674584,Lazio,Adam Marušić,77,MNE,RB,31-057,57,0,0,0,0,0,0,1,0,31,0,1,1,0.0,0.0,0.0,0,0,21,29,72.4,2,20,1,0,0
aa674584,Lazio,Manuel Lazzari,29,ITA,RB,30-014,33,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,19,23,82.6,0,16,1,1,1
aa674584,Lazio,Ivan Provedel,94,ITA,GK,29-271,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,24,0,0,0
