match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
ba0599dd,Braga,Simon Banza,23,COD,FW,27-072,66,0,1,0,0,2,1,0,0,15,0,0,1,0.2,0.2,0.1,2,1,4,8,50.0,1,10,1,2,1
ba0599dd,Braga,Abel Ruiz,9,ESP,FW,23-269,24,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,3,4,75.0,1,3,0,0,0
ba0599dd,Braga,Álvaro djaló,14,ESP,LW,24-069,90,1,0,0,0,1,1,0,0,37,2,0,0,0.1,0.1,0.4,5,0,15,20,75.0,3,26,3,5,2
ba0599dd,Braga,Ricardo Horta,21,POR,RW,29-039,90,0,0,0,0,6,1,0,0,50,1,1,0,0.4,0.4,0.1,4,0,39,41,95.1,5,39,0,1,1
ba0599dd,Braga,Rodrigo Zalazar,16,URU,AM,24-073,90,0,0,0,0,1,0,0,0,69,3,0,3,0.0,0.0,0.5,6,0,49,57,86.0,6,43,1,3,2
ba0599dd,Braga,Almoatasem Al Musrati,8,LBY,DM,27-201,77,0,0,0,0,2,0,0,0,78,2,0,1,0.1,0.1,0.0,1,0,61,71,85.9,10,61,1,1,0
ba0599dd,Braga,João Moutinho,28,POR,DM,37-046,13,0,0,0,0,1,0,0,0,24,0,0,0,0.1,0.1,0.0,2,0,22,22,100.0,4,18,3,2,2
ba0599dd,Braga,Vitor Carvalho,18,BRA,DM,26-150,65,0,0,0,0,1,0,0,0,51,1,0,0,0.1,0.1,0.0,2,0,48,48,100.0,1,42,0,1,0
ba0599dd,Braga,Bruma,7,POR,DM,29-000,25,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,16,16,100.0,2,15,2,0,0
ba0599dd,Braga,Cristian Borja,26,COL,LB,30-248,90,0,0,0,0,0,0,0,0,51,2,0,1,0.0,0.0,0.1,3,0,40,45,88.9,3,38,3,0,0
ba0599dd,Braga,Sikou Niakaté,4,MLI,CB,24-106,90,0,0,0,0,0,0,0,0,60,2,0,0,0.0,0.0,0.0,0,0,44,50,88.0,5,40,0,0,0
ba0599dd,Braga,Serdar Saatçı,5,TUR,CB,20-252,90,0,0,0,0,0,0,0,0,55,5,1,0,0.0,0.0,0.0,0,0,42,45,93.3,1,31,0,0,0
ba0599dd,Braga,Joe Mendes,17,SWE,RB,20-297,72,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.1,3,1,27,37,73.0,2,31,9,1,0
ba0599dd,Braga,Diogo Fonseca,47,POR,RB,21-197,18,0,0,0,0,1,0,0,0,27,0,0,0,0.4,0.4,0.0,0,0,12,25,48.0,0,18,1,0,0
ba0599dd,Braga,Matheus,1,BRA,GK,31-097,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,26,32,81.3,0,21,0,0,0
ba0599dd,Real Madrid,Vinicius Júnior,7,BRA,FW,23-104,90,0,1,0,0,2,1,0,0,44,0,0,0,0.1,0.1,0.1,3,2,26,32,81.3,4,39,9,10,4
ba0599dd,Real Madrid,Rodrygo,11,BRA,FW,22-288,70,1,0,0,0,2,1,0,0,27,0,0,0,0.4,0.4,0.0,1,1,15,16,93.8,1,17,1,3,0
ba0599dd,Real Madrid,Aurélien Tchouaméni,18,FRA,CM,23-270,20,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,1,5,0,0,0
