match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
c05cacde,Feyenoord,Santiago Giménez,29,MEX,FW,22-224,90,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,7,0,1,1
c05cacde,Feyenoord,Igor Paixão,14,BRA,LW,23-153,45,0,0,0,0,0,0,0,0,26,0,1,2,0.0,0.0,0.0,0,0,21,22,95.5,1,16,1,0,0
c05cacde,Feyenoord,Ayase Ueda,9,JPN,LW,25-079,45,0,0,0,0,4,0,0,0,12,0,0,0,0.6,0.6,0.0,1,1,4,6,66.7,0,10,2,1,0
c05cacde,Feyenoord,Yankuba Minteh,19,GAM,RW,19-129,63,0,0,0,0,2,1,0,0,48,4,0,0,0.1,0.1,0.0,2,0,19,27,70.4,4,33,7,10,8
c05cacde,Feyenoord,Ondřej Lingr,32,CZE,RW,25-052,27,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,4,11,0,1,1
c05cacde,Feyenoord,Calvin Stengs,10,NED,AM,24-345,69,0,0,0,0,0,0,0,0,58,2,0,0,0.0,0.0,0.2,3,0,31,52,59.6,8,39,0,3,3
c05cacde,Feyenoord,Luka Ivanušec,17,CRO,AM,25-002,21,0,1,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,1,1,17,19,89.5,1,16,1,2,1
c05cacde,Feyenoord,Quinten Timber,8,NED,DM,22-164,77,0,0,0,0,2,1,0,0,39,1,1,2,0.1,0.1,0.1,1,0,22,26,84.6,2,24,2,5,1
c05cacde,Feyenoord,Leo Sauer,25,SVK,DM,17-347,13,0,0,0,0,1,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,7,7,100.0,2,9,1,2,1
c05cacde,Feyenoord,Mats Wieffer,20,NED,DM,24-012,90,1,0,0,0,1,1,0,0,89,3,3,2,0.0,0.0,0.0,3,0,67,76,88.2,13,52,2,2,1
c05cacde,Feyenoord,Quilindschy Hartman,5,NED,LB,22-014,90,0,0,0,0,0,0,0,0,83,1,1,1,0.0,0.0,0.5,2,0,56,76,73.7,8,56,2,0,0
c05cacde,Feyenoord,Dávid Hancko,33,SVK,CB,25-350,90,0,0,0,0,1,0,0,0,88,1,2,0,0.0,0.0,0.0,4,0,71,81,87.7,6,66,0,0,0
c05cacde,Feyenoord,Gernot Trauner,18,AUT,CB,31-248,63,0,0,0,0,0,0,0,0,59,2,0,2,0.0,0.0,0.1,1,0,47,51,92.2,6,40,0,0,0
c05cacde,Feyenoord,Antoni Milambo,27,NED,CB,18-239,27,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.0,3,0,17,18,94.4,3,13,0,1,1
c05cacde,Feyenoord,Lutsharel Geertruida,4,NED,RB,23-133,90,0,0,0,0,1,1,0,0,96,3,2,2,0.2,0.2,0.0,1,0,76,82,92.7,17,60,1,3,2
c05cacde,Feyenoord,Justin Bijlow,1,NED,GK,25-310,90,0,0,0,0,0,0,0,0,26,0,0,1,0.0,0.0,0.0,0,0,19,23,82.6,0,15,0,0,0
c05cacde,Atlético Madrid,Antoine Griezmann,7,FRA,FW,32-252,90,0,0,0,0,2,1,0,0,58,1,1,1,0.1,0.1,0.6,6,0,33,45,73.3,8,28,6,3,1
c05cacde,Atlético Madrid,Álvaro Morata,19,ESP,FW,31-036,73,0,0,0,0,4,1,0,0,36,0,0,1,1.0,1.0,0.0,0,0,17,24,70.8,1,23,4,5,1
c05cacde,Atlético Madrid,Memphis,9,NED,FW,29-288,17,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,11,0,3,1
c05cacde,Atlético Madrid,Rodrigo De Paul,5,ARG,CM,29-188,73,0,0,0,0,1,0,0,0,60,0,0,4,0.1,0.1,0.0,1,0,43,51,84.3,3,20,0,1,0
c05cacde,Atlético Madrid,Saúl Ñíguez,8,ESP,CM,29-007,17,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,0,0,11,12,91.7,1,9,0,0,0
