match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
2ec5d613,Rennes,Arnaud Kalimuendo,9,FRA,FW,21-293,34,0,0,0,0,0,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,9,12,75.0,1,12,1,1,0
2ec5d613,Rennes,Adrien Truffert,3,FRA,LB,21-354,56,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.1,3,0,23,29,79.3,2,20,1,3,2
2ec5d613,Rennes,Martin Terrier,7,FRA,"LW,FW",26-250,62,0,0,0,0,3,0,0,0,33,1,0,5,0.2,0.2,0.0,2,1,15,21,71.4,2,21,2,3,1
2ec5d613,Rennes,Ibrahim Salah,34,MAR,FW,22-071,28,1,0,0,0,2,1,0,0,7,0,0,0,1.0,1.0,0.0,0,0,1,3,33.3,0,6,1,0,0
2ec5d613,Rennes,Benjamin Bourigeaud,14,FRA,RW,29-299,62,0,0,0,0,2,0,1,0,27,1,0,2,0.1,0.1,0.0,1,0,17,22,77.3,5,22,1,0,0
2ec5d613,Rennes,Ludovic Blas,11,FRA,"RW,LW",25-313,28,1,0,1,1,2,0,0,0,12,1,0,1,0.9,0.1,0.0,2,1,6,7,85.7,0,7,1,1,1
2ec5d613,Rennes,Fabian Rieder,32,SUI,"AM,LW",21-266,61,1,0,0,0,1,1,0,0,37,1,1,2,0.0,0.0,0.0,4,0,21,28,75.0,3,30,2,3,0
2ec5d613,Rennes,Baptiste Santamaria,8,FRA,DM,28-245,29,0,0,0,0,0,0,1,0,10,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,3,0,0,0
2ec5d613,Rennes,Nemanja Matić,21,SRB,DM,35-100,89,0,0,0,0,0,0,0,0,71,1,2,0,0.0,0.0,0.0,1,1,47,64,73.4,2,48,0,3,0
2ec5d613,Rennes,Lorenz Assignon,22,TOG,"RW,DM",23-140,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
2ec5d613,Rennes,Enzo Le Fée,28,FRA,"DM,LW",23-279,90,0,0,0,0,0,0,0,0,42,2,0,0,0.0,0.0,0.1,1,0,24,30,80.0,3,36,1,1,0
2ec5d613,Rennes,Arthur Theate,5,BEL,"CB,LB",23-168,90,0,0,0,0,0,0,0,0,40,3,2,0,0.0,0.0,0.0,0,0,27,32,84.4,1,26,1,0,0
2ec5d613,Rennes,Jeanuël Belocian,16,FRA,CB,18-265,32,0,0,0,0,0,0,0,1,26,0,0,0,0.0,0.0,0.0,0,0,25,25,100.0,0,25,0,0,0
2ec5d613,Rennes,Christopher Wooh,15,CMR,CB,22-052,90,0,0,0,0,0,0,1,0,42,0,3,0,0.0,0.0,0.0,0,0,28,30,93.3,2,26,0,0,0
2ec5d613,Rennes,Guela Doué,17,CIV,RB,21-023,90,0,0,0,0,0,0,0,0,45,1,0,0,0.0,0.0,0.3,3,0,30,41,73.2,5,29,3,3,3
2ec5d613,Rennes,Gauthier Gallon,1,FRA,GK,30-200,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,31,45,68.9,0,28,0,0,0
2ec5d613,Panathinaikos,Fotis Ioannidis,7,GRE,FW,23-303,90,1,0,1,1,1,0,0,0,31,0,0,2,0.9,0.2,0.0,2,1,15,19,78.9,1,22,1,2,1
2ec5d613,Panathinaikos,Sebastián Palacios,34,ARG,LW,31-293,71,0,0,0,0,0,0,0,0,33,2,1,0,0.0,0.0,0.0,0,0,18,26,69.2,1,27,3,1,0
2ec5d613,Panathinaikos,Daniel Mancini,17,ARG,LW,26-363,19,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,14,18,77.8,2,16,0,0,0
