match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
3554355e,Sparta Prague,Jan Kuchta,9,CZE,FW,27-045,90,1,0,0,0,2,1,1,0,25,0,1,0,0.4,0.4,0.0,3,2,16,19,84.2,3,15,1,1,0
3554355e,Sparta Prague,Victor Olatunji,7,NGA,FW,24-170,65,0,0,0,0,2,1,0,0,12,0,0,1,0.4,0.4,0.0,0,0,2,5,40.0,1,5,0,1,0
3554355e,Sparta Prague,Indrit Tuci,11,ALB,FW,23-161,25,1,1,0,0,1,1,0,0,10,1,0,1,0.2,0.2,0.3,0,0,2,6,33.3,0,5,0,1,0
3554355e,Sparta Prague,Lukáš Haraslín,22,SVK,AM,27-272,86,1,0,0,0,2,1,0,0,29,1,0,1,0.4,0.4,0.0,3,0,11,17,64.7,2,18,2,4,2
3554355e,Sparta Prague,Lukáš Sadílek,18,CZE,AM,27-275,4,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,1,0,8,9,88.9,1,6,1,0,0
3554355e,Sparta Prague,Qazim Laçi,20,ALB,CM,28-034,90,0,1,0,0,3,1,0,0,53,1,0,2,0.2,0.2,0.4,2,2,27,44,61.4,5,25,2,0,0
3554355e,Sparta Prague,Kaan Kairinen,6,FIN,CM,25-062,90,0,1,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.6,3,1,34,44,77.3,6,21,0,0,0
3554355e,Sparta Prague,Tomáš Wiesner,28,CZE,WB,26-220,71,0,0,0,0,0,0,0,0,42,2,2,0,0.0,0.0,0.0,1,0,18,28,64.3,2,20,2,1,0
3554355e,Sparta Prague,Jaroslav Zelený,30,CZE,WB,31-186,19,0,1,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.2,1,1,8,11,72.7,3,7,0,1,0
3554355e,Sparta Prague,Ángelo Preciado,2,ECU,WB,26-004,90,1,0,0,0,1,1,1,0,46,3,1,2,0.6,0.6,0.3,2,0,21,32,65.6,4,18,5,1,1
3554355e,Sparta Prague,Asger Sørensen,25,DEN,CB,27-262,90,0,0,0,0,0,0,1,0,54,1,1,0,0.0,0.0,0.0,0,0,40,48,83.3,3,23,3,0,0
3554355e,Sparta Prague,Filip Panák,27,CZE,CB,28-112,90,0,0,0,0,0,0,0,0,58,2,3,0,0.0,0.0,0.0,0,0,33,47,70.2,5,19,0,0,0
3554355e,Sparta Prague,Martin Vitík,41,CZE,CB,21-032,90,0,0,0,0,0,0,0,0,31,0,2,4,0.0,0.0,0.0,0,0,15,21,71.4,1,9,1,0,0
3554355e,Sparta Prague,Peter Vindahl Jensen,1,DEN,GK,26-006,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,1,0,17,31,54.8,0,18,0,0,0
3554355e,Galatasaray,Mauro Icardi,9,ARG,FW,31-003,90,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.2,4,0,16,18,88.9,3,10,0,0,0
3554355e,Galatasaray,Kerem Aktürkoğlu,7,TUR,LW,25-124,61,0,0,0,0,1,0,0,0,26,0,1,1,0.3,0.3,0.1,2,0,10,13,76.9,2,20,1,2,1
3554355e,Galatasaray,Wilfried Zaha,14,CIV,LW,31-104,29,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,2,0,8,12,66.7,0,11,1,1,1
3554355e,Galatasaray,Barış Alper Yılmaz,53,TUR,RW,23-275,90,0,0,0,0,1,0,0,0,43,1,1,1,0.0,0.0,0.0,1,0,23,29,79.3,3,24,4,4,1
3554355e,Galatasaray,Dries Mertens,10,BEL,AM,36-292,61,0,0,0,0,2,0,0,0,28,3,0,0,0.1,0.1,0.4,4,0,11,20,55.0,2,16,4,1,1
3554355e,Galatasaray,Sérgio Oliveira,27,POR,AM,31-265,29,0,0,0,0,1,0,0,0,25,1,0,0,0.0,0.0,0.0,1,0,17,21,81.0,1,14,0,0,0
3554355e,Galatasaray,Lucas Torreira,34,URU,DM,28-011,82,0,0,0,0,1,0,0,0,57,1,1,2,0.1,0.1,0.0,1,0,39,41,95.1,2,24,0,1,0
3554355e,Galatasaray,Carlos Vinícius,95,BRA,DM,28-334,8,0,0,0,0,1,0,1,0,3,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,0,0
3554355e,Galatasaray,Kerem Demirbay,8,GER,DM,30-234,74,0,0,0,0,0,0,1,0,45,1,1,0,0.0,0.0,0.0,0,0,29,39,74.4,3,25,2,1,1
3554355e,Galatasaray,Tetê,20,BRA,DM,24-007,16,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,10,80.0,0,6,0,0,0
3554355e,Galatasaray,Berkan Kutlu,18,TUR,LB,26-028,90,0,0,0,0,0,0,1,0,74,0,0,1,0.0,0.0,0.0,0,0,56,68,82.4,10,41,1,1,1
3554355e,Galatasaray,Abdülkerim Bardakcı,42,TUR,CB,29-168,90,1,0,0,0,1,1,0,0,73,2,1,1,0.3,0.3,0.0,1,0,52,61,85.2,6,33,1,0,0
3554355e,Galatasaray,Davinson Sánchez,6,COL,CB,27-255,90,0,0,0,0,2,1,0,0,64,1,1,1,0.1,0.1,0.0,1,1,40,53,75.5,3,34,0,0,0
3554355e,Galatasaray,Kaan Ayhan,23,TUR,RB,29-104,69,0,0,0,0,0,0,0,1,54,2,2,0,0.0,0.0,0.0,2,0,39,48,81.3,5,25,1,1,1
3554355e,Galatasaray,Fernando Muslera,1,URU,GK,37-251,90,0,0,0,0,0,0,0,0,62,0,0,0,0.0,0.0,0.0,0,0,39,61,63.9,0,37,0,0,0
