match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
43088f40,Freiburg,Michael Gregoritsch,38,AUT,FW,29-226,65,3,1,0,0,5,4,0,0,28,1,0,0,0.7,0.7,0.2,2,2,17,21,81.0,1,14,0,1,0
43088f40,Freiburg,Merlin Röhl,34,GER,"CM,FW",21-148,25,0,0,0,0,0,0,0,0,16,2,0,1,0.0,0.0,0.0,0,0,8,9,88.9,0,10,1,2,0
43088f40,Freiburg,Lucas Höler,9,GER,FW,29-143,66,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.1,5,2,28,33,84.8,5,18,0,0,0
43088f40,Freiburg,Junior Adamu,20,AUT,FW,22-177,24,0,0,0,0,0,0,0,0,14,2,0,0,0.0,0.0,0.0,2,1,5,7,71.4,0,4,2,2,1
43088f40,Freiburg,Vincenzo Grifo,32,ITA,LM,30-237,77,0,0,0,0,1,0,0,0,67,2,0,0,0.1,0.1,0.0,4,1,52,60,86.7,4,32,2,1,1
43088f40,Freiburg,Noah Weißhaupt,7,GER,LM,22-071,13,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.0,0,0,6,8,75.0,0,6,0,0,0
43088f40,Freiburg,Nicolas Höfler,27,GER,CM,33-266,77,0,0,0,0,0,0,0,0,60,1,0,0,0.0,0.0,0.0,2,0,49,54,90.7,2,38,0,0,0
43088f40,Freiburg,Roland Sallai,22,HUN,FW,26-192,13,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,9,10,90.0,1,7,1,0,0
43088f40,Freiburg,Maximilian Eggestein,8,GER,CM,26-357,90,0,1,0,0,3,0,0,0,77,1,0,1,0.1,0.1,0.2,2,0,65,70,92.9,10,50,1,0,0
43088f40,Freiburg,Ritsu Doan,42,JPN,RM,25-167,90,1,1,0,0,1,1,0,0,47,1,0,1,0.1,0.1,0.2,2,1,27,39,69.2,3,27,3,2,2
43088f40,Freiburg,Jordy Makengo,33,FRA,LB,22-119,90,0,1,0,0,0,0,0,0,49,5,3,0,0.0,0.0,0.2,1,1,33,41,80.5,1,28,1,2,2
43088f40,Freiburg,Philipp Lienhart,3,AUT,CB,27-142,65,0,0,0,0,0,0,0,0,45,0,1,1,0.0,0.0,0.0,0,0,36,40,90.0,0,24,0,0,0
43088f40,Freiburg,Manuel Gulde,5,GER,CB,32-291,25,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,1,1,13,14,92.9,0,7,0,0,0
43088f40,Freiburg,Matthias Ginter,28,GER,CB,29-315,90,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,1,0,42,47,89.4,1,30,0,0,0
43088f40,Freiburg,Kiliann Sildillia,25,FRA,RB,21-198,90,1,0,0,0,1,1,0,0,66,0,0,2,0.2,0.2,0.0,1,1,47,60,78.3,7,43,5,1,0
43088f40,Freiburg,Noah Atubolu,1,GER,GK,21-189,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,32,42,76.2,0,25,0,0,0
43088f40,Olympiacos,Ayoub El Kaabi,9,MAR,FW,30-157,83,0,0,0,0,1,0,0,0,29,0,0,0,0.0,0.0,0.4,1,0,16,21,76.2,2,16,1,2,1
43088f40,Olympiacos,Youssef El-Arabi,11,MAR,FW,36-300,7,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,4,0,0,0
43088f40,Olympiacos,Daniel Podence,56,POR,LW,28-040,49,0,0,0,0,1,0,0,0,21,1,0,0,0.1,0.1,0.0,0,0,11,16,68.8,2,17,3,2,1
43088f40,Olympiacos,Giorgos Masouras,19,GRE,LW,29-333,41,0,0,0,0,1,1,0,0,11,0,0,0,0.4,0.4,0.0,1,0,6,7,85.7,0,9,1,1,0
43088f40,Olympiacos,Kostas Fortounis,7,GRE,RW,31-045,90,0,0,0,0,3,0,0,0,68,1,1,0,0.1,0.1,0.2,3,0,42,59,71.2,2,59,2,2,0
43088f40,Olympiacos,Sotiris Alexandropoulos,15,GRE,AM,22-004,45,0,0,0,0,2,0,0,0,19,0,0,2,0.1,0.1,0.0,1,0,13,14,92.9,1,14,1,0,0
43088f40,Olympiacos,Vicente Iborra,8,ESP,AM,35-318,45,0,0,0,0,0,0,1,0,36,0,1,0,0.0,0.0,0.0,0,0,27,32,84.4,0,29,0,0,0
43088f40,Olympiacos,Santiago Hezze,32,ARG,DM,22-039,83,0,0,0,0,0,0,1,0,52,2,2,1,0.0,0.0,0.0,2,0,32,41,78.0,1,39,0,2,1
43088f40,Olympiacos,João Carvalho,20,POR,DM,26-266,7,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,7,0,0,0
43088f40,Olympiacos,Mohamed Camara,4,GUI,DM,26-275,90,0,0,0,0,0,0,0,0,58,1,2,1,0.0,0.0,0.0,0,0,49,52,94.2,8,44,1,2,0
43088f40,Olympiacos,Francisco Ortega,3,ARG,LB,24-256,90,0,0,0,0,0,0,0,0,47,1,0,1,0.0,0.0,0.0,0,0,34,38,89.5,2,26,1,1,1
