match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
5bade2fe,West Ham,Michail Antonio,9,JAM,FW,34-021,90,1,0,0,0,3,2,1,0,26,0,0,0,0.6,0.6,0.0,1,0,10,13,76.9,1,13,0,2,0
5bade2fe,West Ham,Mohammed Kudus,14,GHA,LW,23-260,90,0,0,0,0,2,1,0,0,36,2,1,2,0.1,0.1,0.3,4,0,23,27,85.2,2,23,4,8,4
5bade2fe,West Ham,Jarrod Bowen,20,ENG,RW,27-120,90,0,1,0,0,4,1,1,0,36,0,0,0,0.5,0.5,0.3,4,1,15,22,68.2,2,22,0,2,0
5bade2fe,West Ham,James Ward-Prowse,7,ENG,"AM,DM",29-169,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.3,4,0,39,49,79.6,5,26,1,0,0
5bade2fe,West Ham,Tomáš Souček,28,CZE,DM,29-051,90,0,0,0,0,1,1,1,0,45,3,0,0,0.0,0.0,0.0,1,0,26,41,63.4,2,19,2,0,0
5bade2fe,West Ham,Edson Álvarez,19,MEX,DM,26-177,83,0,0,0,0,2,0,1,0,68,5,0,2,0.2,0.2,0.0,2,0,45,54,83.3,3,34,2,2,1
5bade2fe,West Ham,Maxwel Cornet,17,CIV,AM,27-204,7,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0
5bade2fe,West Ham,Aaron Cresswell,3,ENG,LB,34-125,90,0,0,0,0,0,0,0,0,66,1,2,2,0.0,0.0,0.1,3,0,46,57,80.7,5,37,0,0,0
5bade2fe,West Ham,Nayef Aguerd,27,MAR,CB,28-019,44,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,24,27,88.9,1,20,1,0,0
5bade2fe,West Ham,Angelo Ogbonna,21,ITA,CB,35-331,46,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.0,0,0,28,29,96.6,2,24,1,0,0
