match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
734e1b51,Freiburg,Lucas Höler,9,GER,FW,29-087,75,0,0,0,0,2,1,0,0,32,1,0,1,0.4,0.4,0.0,0,0,12,21,57.1,0,18,3,0,0
734e1b51,Freiburg,Maximilian Philipp,26,GER,"FW,LM",29-218,15,0,0,0,0,1,0,0,0,6,0,0,0,0.1,0.1,0.0,3,0,5,5,100.0,1,1,0,0,0
734e1b51,Freiburg,Junior Adamu,20,AUT,FW,22-121,45,0,0,0,0,0,0,0,0,12,2,0,1,0.0,0.0,0.0,1,0,4,7,57.1,0,4,0,1,0
734e1b51,Freiburg,Ritsu Doan,42,JPN,RM,25-111,45,0,0,0,0,0,0,0,0,22,2,1,0,0.0,0.0,0.3,3,0,12,16,75.0,1,11,3,3,0
734e1b51,Freiburg,Vincenzo Grifo,32,ITA,LM,30-181,86,0,0,0,0,0,0,0,0,61,0,1,2,0.0,0.0,0.0,2,0,43,54,79.6,1,32,0,1,1
734e1b51,Freiburg,Maximilian Breunig,44,GER,FW,23-052,4,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
734e1b51,Freiburg,Nicolas Höfler,27,GER,CM,33-210,90,0,0,0,0,0,0,1,0,87,3,2,4,0.0,0.0,0.4,2,0,67,74,90.5,6,46,1,2,1
734e1b51,Freiburg,Maximilian Eggestein,8,GER,CM,26-301,75,0,0,0,0,0,0,0,0,38,4,1,1,0.0,0.0,0.0,2,0,30,33,90.9,3,23,1,0,0
734e1b51,Freiburg,Merlin Röhl,34,GER,CM,21-092,15,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.1,1,0,6,8,75.0,1,3,1,1,0
734e1b51,Freiburg,Roland Sallai,22,HUN,"FW,RM",26-136,90,1,0,0,0,5,3,0,0,44,0,0,2,0.5,0.5,0.0,2,0,18,31,58.1,4,24,3,2,0
734e1b51,Freiburg,Lukas Kübler,17,GER,LB,31-036,75,0,0,0,0,1,1,0,0,45,1,1,0,0.4,0.4,0.0,1,1,32,41,78.0,2,21,0,1,1
734e1b51,Freiburg,Noah Weißhaupt,7,GER,LB,22-015,15,0,0,0,0,0,0,0,0,17,1,1,0,0.0,0.0,0.0,0,0,9,15,60.0,1,6,2,2,2
734e1b51,Freiburg,Philipp Lienhart,3,AUT,CB,27-086,90,0,0,0,0,0,0,0,0,92,0,1,1,0.0,0.0,0.0,0,0,72,85,84.7,4,69,0,0,0
734e1b51,Freiburg,Matthias Ginter,28,GER,CB,29-259,90,0,0,0,0,0,0,0,0,103,2,1,1,0.0,0.0,0.0,1,0,75,94,79.8,8,68,2,0,0
734e1b51,Freiburg,Kiliann Sildillia,25,FRA,RB,21-142,90,0,0,0,0,1,0,0,0,70,1,1,0,0.3,0.3,0.0,1,0,49,62,79.0,7,29,0,1,1
734e1b51,Freiburg,Noah Atubolu,1,GER,GK,21-133,90,0,0,0,0,0,0,0,0,64,0,0,0,0.0,0.0,0.0,0,0,50,62,80.6,0,40,0,0,0
734e1b51,West Ham,Jarrod Bowen,20,ENG,"FW,RW",26-289,90,0,1,0,0,4,1,0,0,34,0,0,0,0.4,0.4,0.0,6,2,16,20,80.0,0,20,2,4,3
734e1b51,West Ham,Pablo Fornals,8,ESP,LW,27-225,70,0,0,0,0,0,0,0,0,34,0,3,1,0.0,0.0,0.0,0,0,20,28,71.4,3,23,2,3,1
734e1b51,West Ham,Tomáš Souček,28,CZE,"LW,DM",28-220,20,0,0,0,0,0,0,0,0,18,1,1,1,0.0,0.0,0.0,1,0,8,14,57.1,1,8,2,0,0
734e1b51,West Ham,Mohammed Kudus,14,GHA,RW,23-064,79,0,0,0,0,2,1,0,0,42,2,1,2,0.2,0.2,0.2,2,0,24,31,77.4,3,30,5,3,3
734e1b51,West Ham,Saïd Benrahma,22,ALG,"RW,LW",28-056,11,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,2,0,0,0
734e1b51,West Ham,Lucas Paquetá,10,BRA,AM,26-039,89,1,0,0,0,1,1,0,0,66,1,0,0,0.0,0.0,0.4,6,0,37,54,68.5,7,44,1,5,3
734e1b51,West Ham,Divin Mubama,45,ENG,"FW,AM",18-345,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
734e1b51,West Ham,James Ward-Prowse,7,ENG,DM,28-338,89,0,1,0,0,1,1,0,0,54,0,2,0,0.0,0.0,0.4,3,1,39,48,81.3,5,24,1,0,0
734e1b51,West Ham,Danny Ings,18,ENG,AM,31-074,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
734e1b51,West Ham,Edson Álvarez,19,MEX,DM,25-346,90,0,0,0,0,0,0,1,0,60,1,3,0,0.0,0.0,0.0,0,0,40,47,85.1,4,30,1,0,0
734e1b51,West Ham,Thilo Kehrer,24,GER,LB,27-014,70,0,0,0,0,0,0,0,0,38,0,1,0,0.0,0.0,0.0,0,0,23,31,74.2,2,11,0,0,0
734e1b51,West Ham,Emerson Palmieri,33,ITA,LB,29-063,20,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,7,2,0,0
734e1b51,West Ham,Nayef Aguerd,27,MAR,CB,27-189,90,1,0,0,0,1,1,0,0,85,2,0,0,0.2,0.2,0.0,1,0,58,78,74.4,1,59,0,0,0
