match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
a945ca05,Olympiacos,Ayoub El Kaabi,9,MAR,FW,30-122,89,0,0,0,0,0,0,0,0,21,0,1,0,0.0,0.0,0.1,2,0,11,16,68.8,0,12,2,1,0
a945ca05,Olympiacos,Gustavo Scarpa,10,BRA,"AM,FW",29-294,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
a945ca05,Olympiacos,Kostas Fortounis,7,GRE,LW,31-010,89,1,0,0,0,2,1,0,0,61,0,1,2,0.1,0.1,0.3,8,0,37,46,80.4,9,39,5,7,4
a945ca05,Olympiacos,Stevan Jovetić,22,MNE,"FW,LW",33-358,1,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,2,0,0,0
a945ca05,Olympiacos,Daniel Podence,56,POR,RW,28-005,84,0,0,0,0,1,0,0,0,39,1,0,0,0.1,0.1,0.1,4,0,20,32,62.5,4,25,6,4,3
a945ca05,Olympiacos,Ola Solbakken,98,NOR,RW,25-049,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0
a945ca05,Olympiacos,Sotiris Alexandropoulos,15,GRE,AM,21-334,84,0,0,0,0,4,2,1,0,42,2,0,2,0.4,0.4,0.1,4,0,24,30,80.0,3,25,3,4,2
a945ca05,Olympiacos,Giorgos Masouras,19,GRE,"AM,LW",29-298,6,0,0,0,0,0,0,1,0,3,2,1,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0
a945ca05,Olympiacos,Mohamed Camara,4,GUI,DM,26-240,90,0,0,0,0,3,0,1,0,56,1,2,1,0.1,0.1,0.0,3,1,30,45,66.7,2,28,3,1,0
a945ca05,Olympiacos,Santiago Hezze,32,ARG,DM,22-004,90,0,1,0,0,0,0,0,0,42,2,1,3,0.0,0.0,0.1,2,1,30,35,85.7,4,23,0,0,0
a945ca05,Olympiacos,Francisco Ortega,3,ARG,LB,24-221,90,0,0,0,0,0,0,0,0,43,2,1,3,0.0,0.0,0.0,1,1,26,33,78.8,4,19,2,1,0
a945ca05,Olympiacos,Panagiotis Retsos,45,GRE,CB,25-078,90,0,0,0,0,1,0,1,0,55,2,0,3,0.0,0.0,0.0,0,0,38,39,97.4,0,31,0,0,0
a945ca05,Olympiacos,Jackson Porozo,25,ECU,CB,23-083,90,0,0,0,0,2,1,0,0,49,0,0,0,0.2,0.2,0.0,1,0,34,38,89.5,2,27,1,0,0
a945ca05,Olympiacos,Rodinei,23,BRA,RB,31-270,74,1,0,0,0,2,1,0,0,51,3,1,3,0.1,0.1,0.0,2,1,28,36,77.8,1,27,2,3,0
a945ca05,Olympiacos,Quini,18,ESP,RB,34-032,16,0,0,0,0,0,0,0,0,8,0,1,3,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0
a945ca05,Olympiacos,Alexandros Paschalakis,1,GRE,GK,34-090,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,14,28,50.0,0,10,0,0,0
a945ca05,West Ham,Danny Ings,18,ENG,FW,31-095,57,0,0,0,0,3,1,0,0,17,0,0,0,0.5,0.5,0.0,2,0,6,10,60.0,0,13,0,2,1
a945ca05,West Ham,Lucas Paquetá,10,BRA,"AM,LW",26-060,33,1,0,0,0,1,1,1,0,31,1,0,0,0.1,0.1,0.1,1,0,14,21,66.7,3,21,2,4,1
a945ca05,West Ham,Pablo Fornals,8,ESP,LW,27-246,57,0,0,0,0,1,1,0,0,34,1,1,0,0.0,0.0,0.0,2,0,22,30,73.3,4,20,0,0,0
a945ca05,West Ham,Michail Antonio,9,JAM,FW,33-212,33,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.1,1,0,5,10,50.0,1,5,1,0,0
