match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
cb5a5240,Roma,Romelu Lukaku,90,BEL,FW,30-285,120,0,0,0,0,3,1,0,0,32,0,0,0,0.4,0.4,0.1,3,0,16,25,64.0,1,19,3,2,2
cb5a5240,Roma,Stephan El Shaarawy,92,ITA,LW,31-118,90,0,1,0,0,2,0,0,0,49,0,1,1,0.1,0.1,0.1,4,1,28,38,73.7,2,30,3,2,1
cb5a5240,Roma,Nicola Zalewski,59,POL,LW,22-030,30,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,2,6,0,1,0
cb5a5240,Roma,Paulo Dybala,21,ARG,RW,30-099,101,0,0,0,0,1,0,0,0,52,0,0,0,0.0,0.0,0.0,1,0,30,42,71.4,6,34,3,2,1
cb5a5240,Roma,Tommaso Baldanzi,35,ITA,RW,20-336,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,2,4,50.0,1,5,2,0,0
cb5a5240,Roma,Lorenzo Pellegrini,7,ITA,LM,27-248,70,1,0,0,0,3,1,0,0,49,0,1,4,0.2,0.2,0.3,2,0,27,39,69.2,3,23,2,1,1
cb5a5240,Roma,Houssem Aouar,22,ALG,LM,25-237,50,0,0,0,0,0,0,0,0,21,0,1,1,0.0,0.0,0.0,1,0,18,19,94.7,4,8,3,1,1
cb5a5240,Roma,Leandro Paredes,16,ARG,CM,29-238,120,0,0,0,0,1,0,1,0,110,1,1,3,0.0,0.0,0.1,4,1,91,103,88.3,9,60,1,1,1
cb5a5240,Roma,Bryan Cristante,4,ITA,RM,28-356,120,0,0,0,0,3,0,0,0,66,4,0,2,0.4,0.4,0.0,2,0,35,53,66.0,6,27,3,0,0
cb5a5240,Roma,Leonardo Spinazzola,37,ITA,LB,30-334,105,0,0,0,0,0,0,1,0,82,2,0,0,0.0,0.0,0.1,3,0,58,72,80.6,1,47,5,3,2
