match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
e61bbe7a,Lens,Elye Wahi,9,FRA,FW,21-044,71,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.2,1,0,11,15,73.3,2,13,2,0,0
e61bbe7a,Lens,Wesley Saïd,22,FRA,FW,28-302,19,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,4,0,0,0
e61bbe7a,Lens,David Costa,10,POR,AM,23-041,71,0,0,0,0,2,0,0,0,44,0,2,1,0.1,0.1,0.0,2,0,27,37,73.0,2,35,4,1,1
e61bbe7a,Lens,Angelo Fulgini,11,FRA,AM,27-179,19,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,2,0,10,16,62.5,0,14,0,1,0
e61bbe7a,Lens,Florian Sotoca,7,FRA,AM,33-113,90,0,0,0,0,3,0,0,0,62,5,0,2,0.1,0.1,0.1,3,0,38,51,74.5,8,49,1,0,0
e61bbe7a,Lens,Neil El Aynaoui,23,FRA,CM,22-228,90,0,0,0,0,1,0,0,0,43,1,1,3,0.1,0.1,0.0,0,0,19,26,73.1,3,24,0,2,0
e61bbe7a,Lens,Andy Diouf,18,FRA,CM,20-274,63,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.1,6,0,31,36,86.1,1,42,3,4,1
e61bbe7a,Lens,Salis Abdul Samed,6,GHA,CM,23-326,27,0,0,0,0,0,0,0,0,26,1,1,0,0.0,0.0,0.0,1,0,22,24,91.7,1,24,3,1,1
e61bbe7a,Lens,Przemysław Frankowski,29,POL,WB,28-309,90,0,0,0,0,2,0,0,0,77,1,1,1,0.1,0.1,0.0,0,0,47,66,71.2,4,45,1,3,1
e61bbe7a,Lens,Ruben Aguilar,2,FRA,WB,30-295,62,0,0,0,0,0,0,0,0,44,0,0,2,0.0,0.0,0.0,0,0,31,39,79.5,0,22,0,0,0
e61bbe7a,Lens,Jhoanner Chávez,13,ECU,WB,21-296,28,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,10,10,100.0,0,7,0,0,0
e61bbe7a,Lens,Massadio Haïdara,21,MLI,CB,31-075,88,0,0,0,0,2,0,0,0,66,0,3,2,0.2,0.2,0.0,4,0,46,55,83.6,6,48,4,0,0
e61bbe7a,Lens,Abdukodir Khusanov,25,UZB,CB,19-351,2,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,5,0,0,0
e61bbe7a,Lens,Kevin Danso,4,AUT,CB,25-149,90,0,0,0,0,2,0,1,0,85,1,1,6,0.1,0.1,0.1,3,0,63,66,95.5,5,63,1,0,0
e61bbe7a,Lens,Jonathan Gradit,24,FRA,CB,31-083,90,0,0,0,0,0,0,1,0,81,1,1,1,0.0,0.0,0.0,2,0,67,73,91.8,12,69,2,0,0
e61bbe7a,Lens,Brice Samba,30,FRA,GK,29-296,90,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,30,32,93.8,0,25,0,0,0
e61bbe7a,Freiburg,Lucas Höler,9,GER,FW,29-220,85,0,0,0,0,1,0,0,0,47,2,0,3,0.1,0.1,0.1,3,0,21,31,67.7,1,27,1,2,2
e61bbe7a,Freiburg,Michael Gregoritsch,38,AUT,FW,29-303,5,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,8,37.5,0,5,0,0,0
e61bbe7a,Freiburg,Roland Sallai,22,HUN,FW,26-269,85,0,0,0,0,5,1,0,0,37,2,1,0,0.6,0.6,0.1,5,0,14,21,66.7,4,24,1,1,0
e61bbe7a,Freiburg,Maximilian Philipp,26,GER,FW,29-351,5,0,0,0,0,0,0,1,0,6,0,1,0,0.0,0.0,0.0,0,0,2,4,50.0,1,4,0,0,0
e61bbe7a,Freiburg,Merlin Röhl,34,GER,CM,21-225,78,0,0,0,0,2,0,0,0,40,4,1,2,0.1,0.1,0.0,3,0,24,28,85.7,2,29,3,3,0
e61bbe7a,Freiburg,Vincenzo Grifo,32,ITA,CM,30-314,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0
e61bbe7a,Freiburg,Nicolas Höfler,27,GER,CM,33-343,90,0,0,0,0,2,1,0,0,46,4,1,4,0.1,0.1,0.1,3,0,24,28,85.7,3,25,1,2,0
e61bbe7a,Freiburg,Maximilian Eggestein,8,GER,CM,27-069,90,0,0,0,0,2,0,0,0,43,0,0,2,0.4,0.4,0.1,5,0,27,36,75.0,10,32,4,2,2
e61bbe7a,Freiburg,Jordy Makengo,33,FRA,LB,22-196,90,0,0,0,0,1,0,0,0,32,0,0,3,0.1,0.1,0.0,1,0,18,24,75.0,0,13,0,1,0
e61bbe7a,Freiburg,Manuel Gulde,5,GER,CB,33-003,90,0,0,0,0,0,0,0,0,40,3,1,0,0.0,0.0,0.1,1,0,27,35,77.1,1,22,0,0,0
e61bbe7a,Freiburg,Yannik Keitel,14,GER,CB,24-000,90,0,0,0,0,0,0,0,0,65,0,4,1,0.0,0.0,0.1,1,0,41,52,78.8,5,39,0,0,0
e61bbe7a,Freiburg,Lukas Kübler,17,GER,CB,31-169,90,0,0,0,0,0,0,0,0,55,3,0,0,0.0,0.0,0.0,2,0,43,52,82.7,2,41,1,0,0
e61bbe7a,Freiburg,Ritsu Doan,42,JPN,RB,25-244,90,0,0,0,0,4,2,0,0,45,2,0,0,0.2,0.2,0.6,5,0,24,36,66.7,2,34,2,3,2
e61bbe7a,Freiburg,Noah Atubolu,1,GER,GK,21-266,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,38,52,73.1,0,33,0,0,0
