match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
f94eed97,Qarabağ,Juninho,18,BRA,FW,27-093,73,0,0,0,0,0,0,0,0,24,1,0,1,0.0,0.0,0.1,2,0,10,15,66.7,1,9,1,1,0
f94eed97,Qarabağ,Hamidou Keyta,17,FRA,FW,29-067,47,0,0,0,0,0,0,0,0,14,1,1,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,0,0
f94eed97,Qarabağ,Abdellah Zoubir,10,FRA,LW,32-079,115,0,0,0,0,2,0,0,0,53,2,1,2,0.1,0.1,0.0,2,0,30,39,76.9,1,39,5,6,2
f94eed97,Qarabağ,Redon Xhixha,19,ALB,LW,25-223,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0
f94eed97,Qarabağ,Leandro Andrade,15,CPV,RW,24-151,73,0,0,0,0,3,3,0,0,44,1,0,3,0.2,0.2,0.1,4,0,24,31,77.4,3,28,2,1,0
f94eed97,Qarabağ,Matheus Silva,2,BRA,"RW,RB",26-142,47,1,0,0,0,2,1,0,0,14,1,1,1,0.4,0.4,0.0,1,1,2,4,50.0,0,7,0,1,0
f94eed97,Qarabağ,Yassine Benzia,7,ALG,AM,29-167,59,0,0,0,0,0,0,0,0,43,0,1,0,0.0,0.0,0.2,2,0,30,37,81.1,6,20,0,1,1
f94eed97,Qarabağ,Toral Bayramov,27,AZE,LB,22-364,61,0,0,0,0,0,0,1,0,34,1,1,0,0.0,0.0,0.0,0,0,16,21,76.2,1,12,0,2,0
f94eed97,Qarabağ,Marko Janković,8,MNE,DM,28-228,120,0,0,0,0,1,0,0,0,78,4,2,1,0.1,0.1,0.0,0,0,43,52,82.7,4,43,4,7,6
f94eed97,Qarabağ,Julio Romão,6,BRA,DM,25-330,107,0,0,0,0,0,0,1,0,54,4,0,1,0.0,0.0,0.0,0,0,36,40,90.0,3,31,3,5,2
f94eed97,Qarabağ,Patrick Andrade,66,CPV,DM,31-013,13,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,0,0,0,0
f94eed97,Qarabağ,Elvin Cəfərquliyev,44,AZE,LB,23-119,56,0,0,0,0,0,0,2,1,55,1,0,0,0.0,0.0,0.0,0,0,36,47,76.6,2,28,2,1,0
f94eed97,Qarabağ,Badavi Huseynov,55,AZE,CB,32-226,120,0,1,0,0,0,0,0,0,57,0,0,2,0.0,0.0,0.1,1,1,38,46,82.6,0,29,0,0,0
f94eed97,Qarabağ,Bəhlul Mustafazadə,13,AZE,CB,26-360,120,0,0,0,0,1,0,1,0,55,2,1,2,0.1,0.1,0.0,0,0,25,37,67.6,1,23,0,1,1
f94eed97,Qarabağ,Marko Vešović,29,MNE,RB,32-178,107,0,0,0,0,1,1,1,0,67,2,4,2,0.0,0.0,0.0,3,1,35,48,72.9,3,35,4,4,1
f94eed97,Qarabağ,Nəriman Axundzadə,90,AZE,RW,19-305,13,1,0,0,0,1,1,0,0,2,0,0,0,0.1,0.1,0.0,1,1,0,1,0.0,0,3,0,2,2
f94eed97,Qarabağ,Andrey Lunyov,99,RUS,GK,32-101,120,0,0,0,0,0,0,0,0,58,0,0,0,0.0,0.0,0.0,0,0,28,57,49.1,0,41,0,0,0
f94eed97,Braga,Abel Ruiz,9,ESP,FW,24-025,120,0,0,0,0,2,0,0,0,33,1,0,0,0.1,0.1,0.0,1,0,14,20,70.0,1,17,1,4,1
f94eed97,Braga,Simon Banza,23,COD,FW,27-193,120,1,0,1,1,1,0,1,0,22,0,0,0,0.8,0.1,0.1,3,1,7,12,58.3,1,9,0,1,1
