match_id,team,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
66e789bc,Shakhtar,Danylo Sikan,14,UKR,FW,22-205,61,1,0,0,0,2,2,0,0,19,1,0,0,0.2,0.2,0.0,1,0,7,13,53.8,1,16,0,0,0
66e789bc,Shakhtar,Kevin Kelsy,18,VEN,FW,19-103,29,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.0,0,0,0,5,0.0,0,9,0,2,0
66e789bc,Shakhtar,Newerton,39,BRA,LM,18-157,89,0,0,0,0,2,0,1,0,40,2,0,1,0.3,0.3,0.0,0,0,14,24,58.3,0,28,1,5,1
66e789bc,Shakhtar,Maryan Shved,9,UKR,LM,26-114,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0
66e789bc,Shakhtar,Heorhiy Sudakov,10,UKR,CM,21-067,90,0,0,0,0,0,0,0,0,59,1,4,1,0.0,0.0,0.0,3,1,39,51,76.5,2,38,2,1,1
66e789bc,Shakhtar,Dmytro Kryskiv,8,UKR,CM,23-032,90,0,0,0,0,0,0,0,0,42,2,1,1,0.0,0.0,0.0,1,0,26,34,76.5,3,29,2,1,0
66e789bc,Shakhtar,Oleksandr Zubkov,11,UKR,RM,27-096,90,0,0,0,0,3,0,0,0,37,1,0,0,0.1,0.1,0.4,4,0,23,30,76.7,5,18,2,0,0
66e789bc,Shakhtar,Taras Stepanenko,6,UKR,DM,34-091,72,0,0,0,0,0,0,0,0,30,2,1,0,0.0,0.0,0.0,1,0,21,23,91.3,1,21,0,0,0
66e789bc,Shakhtar,Yehor Nazaryna,29,UKR,DM,26-120,18,0,0,0,0,0,0,0,0,11,0,1,1,0.0,0.0,0.0,0,0,4,6,66.7,0,6,0,0,0
66e789bc,Shakhtar,Mykola Matviyenko,22,UKR,LB,27-189,90,0,0,0,0,1,1,0,0,55,2,0,2,0.1,0.1,0.1,3,0,35,41,85.4,0,30,0,0,0
66e789bc,Shakhtar,Yaroslav Rakitskiy,44,UKR,CB,34-096,90,0,0,0,0,0,0,0,0,59,0,1,2,0.0,0.0,0.1,1,0,32,41,78.0,2,35,0,0,0
66e789bc,Shakhtar,Valerii Bondar,5,UKR,CB,24-253,90,0,0,0,0,0,0,0,0,37,2,0,1,0.0,0.0,0.0,0,0,26,31,83.9,0,24,0,0,0
66e789bc,Shakhtar,Giorgi Gocholeishvili,13,GEO,RB,22-266,90,0,1,0,0,1,1,0,0,54,3,0,0,0.1,0.1,0.1,1,1,27,37,73.0,3,31,3,2,0
66e789bc,Shakhtar,Dmytro Riznyk,31,UKR,GK,24-281,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,1,0,24,37,64.9,0,28,0,0,0
66e789bc,Barcelona,Robert Lewandowski,9,POL,FW,35-078,90,0,0,0,0,2,0,0,0,26,0,0,2,0.1,0.1,0.3,1,0,11,15,73.3,3,16,3,3,2
66e789bc,Barcelona,Ferrán Torres,7,ESP,LW,23-251,58,0,0,0,0,2,0,0,0,37,0,0,0,0.1,0.1,0.0,2,0,22,28,78.6,3,28,1,2,1
66e789bc,Barcelona,João Félix,14,POR,LW,23-362,32,0,0,0,0,2,0,0,0,34,0,0,0,0.2,0.2,0.0,2,0,19,29,65.5,1,30,2,2,1
66e789bc,Barcelona,Raphinha,11,BRA,RW,26-328,58,0,0,0,0,2,0,0,0,42,0,0,0,0.1,0.1,0.0,0,0,25,35,71.4,1,33,2,4,2
66e789bc,Barcelona,Lamine Yamal,27,ESP,RW,16-117,32,0,0,0,0,0,0,0,0,38,0,1,0,0.0,0.0,0.3,5,0,27,35,77.1,1,29,4,7,3
66e789bc,Barcelona,Gavi,6,ESP,"LM,RM",19-094,80,0,0,0,0,1,1,0,0,34,0,0,1,0.2,0.2,0.0,0,0,19,25,76.0,4,19,1,1,1
66e789bc,Barcelona,Fermin López,32,ESP,RM,20-180,10,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,1,0,13,14,92.9,4,12,2,0,0
66e789bc,Barcelona,Oriol Romeu,18,ESP,CM,32-044,58,0,0,0,0,0,0,0,0,44,3,0,2,0.0,0.0,0.0,2,0,34,39,87.2,4,30,1,0,0
66e789bc,Barcelona,Pedri,8,ESP,LM,20-347,32,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,1,0,29,38,76.3,10,31,1,0,0
66e789bc,Barcelona,İlkay Gündoğan,22,GER,"RM,CM",33-014,90,0,0,0,0,2,0,0,0,110,2,0,1,0.1,0.1,0.0,4,0,94,101,93.1,18,84,7,5,3
66e789bc,Barcelona,Marcos Alonso,17,ESP,LB,32-314,59,0,0,0,0,0,0,0,0,50,1,1,2,0.0,0.0,0.0,1,0,36,43,83.7,6,32,0,0,0
66e789bc,Barcelona,Alejandro Balde,3,ESP,LB,20-020,31,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,22,25,88.0,3,22,1,2,0
66e789bc,Barcelona,Andreas Christensen,15,DEN,CB,27-211,90,0,0,0,0,0,0,0,0,118,2,3,2,0.0,0.0,0.0,2,0,106,108,98.1,10,88,4,0,0
66e789bc,Barcelona,Ronald Araújo,4,URU,CB,24-245,90,0,0,0,0,2,0,1,0,108,5,0,1,0.2,0.2,0.0,1,0,94,99,94.9,10,84,1,2,2
66e789bc,Barcelona,João Cancelo,2,POR,RB,29-164,90,0,0,0,0,0,0,0,0,117,5,2,1,0.0,0.0,0.1,3,0,94,106,88.7,14,85,6,3,3
66e789bc,Barcelona,Marc-André ter Stegen,1,GER,GK,31-191,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,25,26,96.2,2,16,0,0,0
